Sumatra Buah Buahan
Run #20,T_amb=75.0
elapsed, t_avg(15), t_bean
00:00.1, 68.0, 67.5
00:02.1, 67.0, 66.2
00:04.1, 72.0, 76.5
00:06.1, 81.7, 85.5
00:08.1, 90.8, 100.8
00:10.1, 109.7, 113.0
00:12.1, 119.4, 123.3
00:14.1, 128.0, 135.5
00:16.1, 139.5, 138.7
00:18.1, 147.0, 155.3
00:20.1, 156.5, 158.0
00:22.1, 160.4, 165.2
00:24.1, 171.9, 172.4
00:26.1, 176.7, 180.5
00:28.1, 184.2, 184.6
00:30.1, 190.9, 195.3
00:32.1, 197.3, 202.6
00:34.1, 207.3, 207.9
00:36.1, 210.4, 205.2
00:38.1, 209.9, 217.4
00:40.1, 222.9, 225.5
00:42.1, 227.7, 232.2
00:44.1, 234.0, 233.2
00:46.1, 239.3, 241.2
00:48.1, 245.7, 248.4
00:50.1, 247.8, 244.4
00:52.1, 251.8, 255.7
00:54.1, 257.9, 259.2
00:56.1, 261.6, 262.9
00:58.1, 264.0, 265.1
01:00.1, 266.5, 266.4
01:02.1, 270.0, 273.6
01:04.1, 273.7, 274.6
01:06.1, 276.0, 278.6
01:08.1, 283.3, 284.0
01:10.1, 288.0, 288.1
01:12.1, 294.3, 296.6
01:14.1, 296.9, 298.4
01:16.1, 301.2, 302.9
01:18.1, 301.5, 298.4
01:20.1, 300.7, 300.6
01:22.1, 298.4, 299.3
01:24.1, 301.1, 302.0
01:26.1, 306.0, 307.4
01:28.1, 307.9, 309.2
01:30.1, 310.2, 309.2
01:32.1, 311.7, 312.4
01:34.1, 312.9, 311.9
01:36.1, 316.0, 313.7
01:38.1, 315.3, 314.6
01:40.1, 314.6, 317.3
01:42.1, 319.0, 317.8
01:44.1, 322.0, 324.1
01:46.1, 326.2, 323.1
01:48.1, 322.9, 323.6
01:50.1, 321.3, 321.8
01:52.1, 324.1, 323.6
01:54.1, 327.1, 329.4
01:56.1, 330.4, 334.4
01:58.1, 335.8, 333.9
02:00.1, 334.7, 334.9
02:02.1, 332.7, 331.7
02:04.1, 333.9, 337.1
02:06.1, 335.6, 331.7
02:08.1, 337.4, 337.6
02:10.1, 341.7, 345.2
02:12.1, 341.0, 338.4
02:14.1, 338.0, 335.8
02:16.1, 338.0, 338.0
02:18.1, 342.7, 342.9
02:20.1, 346.6, 347.0
02:22.1, 348.5, 351.1
02:24.1, 349.6, 348.4
02:26.1, 351.6, 356.0
02:28.1, 355.2, 356.9
02:30.1, 355.5, 355.1
02:32.1, 361.1, 360.1
02:34.1, 361.9, 362.8
02:36.1, 364.8, 363.2
02:38.1, 366.1, 362.8
02:40.1, 364.8, 364.1
02:42.1, 368.5, 369.1
02:44.1, 368.0, 370.9
02:46.1, 368.8, 367.7
02:48.1, 369.5, 369.5
02:50.1, 371.3, 371.8
02:52.1, 372.0, 372.6
02:54.1, 371.6, 369.5
02:56.1, 374.8, 378.9
02:58.1, 376.6, 375.4
03:00.1, 376.3, 378.1
03:02.1, 380.0, 383.4
03:04.1, 381.3, 382.1
03:06.1, 381.9, 381.6
03:08.1, 384.2, 383.0
03:10.1, 383.2, 382.1
03:12.1, 384.9, 388.9
03:14.1, 386.0, 384.8
03:16.1, 386.3, 383.4
03:18.1, 385.5, 384.4
03:20.1, 386.3, 386.1
03:22.1, 388.9, 391.6
03:24.1, 392.1, 391.6
03:26.1, 386.8, 385.2
03:28.1, 388.0, 390.2
03:30.1, 388.4, 387.1
03:32.1, 392.5, 393.4
03:34.1, 393.9, 395.6
03:36.1, 393.1, 392.4
03:38.1, 395.7, 396.5
03:40.1, 396.7, 393.4
03:42.1, 398.7, 401.4
03:44.1, 398.8, 401.9
03:46.1, 397.5, 397.4
03:48.1, 399.0, 400.1
03:50.1, 398.9, 400.6
03:52.1, 401.0, 401.4
03:54.1, 402.8, 400.6
03:56.1, 404.0, 403.7
03:58.1, 404.5, 405.1
04:00.1, 406.6, 405.9
04:02.1, 405.9, 406.4
04:04.1, 406.5, 406.9
04:06.1, 405.9, 404.1
04:08.1, 407.5, 409.1
04:10.1, 410.0, 406.4
04:12.1, 410.2, 412.7
04:14.1, 412.1, 413.6
04:16.1, 411.7, 413.1
04:18.1, 415.7, 414.5
04:20.1, 415.8, 417.2
04:22.1, 414.7, 414.1
04:24.1, 413.6, 411.4
04:26.1, 412.0, 414.1
04:28.1, 413.1, 410.9
04:30.1, 411.8, 413.1
04:32.1, 412.4, 412.7
04:34.1, 414.9, 417.6
04:36.1, 413.6, 414.9
04:38.1, 414.8, 413.6
04:40.1, 415.4, 419.0
04:42.1, 417.0, 417.6
04:44.1, 416.8, 419.0
04:46.1, 419.7, 419.9
04:48.1, 420.2, 419.4
04:50.1, 421.7, 423.1
04:52.1, 423.0, 423.9
04:54.1, 423.1, 424.4
04:56.1, 423.2, 424.4
04:58.1, 425.7, 426.6
05:00.1, 427.4, 428.4
05:02.1, 428.2, 429.8
05:04.1, 430.3, 427.1
05:06.1, 431.8, 433.4
05:08.1, 432.4, 431.1
05:10.1, 433.1, 432.1
05:12.1, 432.5, 432.1
05:14.1, 434.4, 437.0
05:16.1, 435.4, 441.5
05:18.1, 437.9, 439.2
05:20.1, 437.7, 437.0
05:22.1, 438.2, 438.8
05:24.1, 437.9, 437.4
05:26.1, 437.8, 435.6
05:28.1, 437.9, 441.1
05:30.1, 441.8, 442.4
05:32.1, 440.7, 444.6
05:34.1, 443.4, 443.3
05:36.1, 443.6, 441.5
05:38.1, 443.4, 446.4
05:40.1, 445.0, 442.9
05:42.1, 445.8, 445.1
05:44.1, 447.2, 445.6
05:46.1, 448.0, 448.7
05:48.1, 451.0, 452.3
05:50.1, 450.3, 450.9
05:52.1, 451.8, 451.4
05:54.1, 450.4, 449.6
05:56.1, 452.7, 450.1
05:58.1, 451.6, 450.5
06:00.1, 447.9, 448.7
06:02.1, 448.0, 450.5
06:04.1, 450.3, 448.2
06:06.1, 447.7, 450.5
06:08.1, 450.9, 451.9
