Sumatra Buah Buahan
Run #03,T_amb=80.0
elapsed, t_avg(15), t_bean
00:00.1, 68.0, 68.5
00:02.1, 74.9, 88.7
00:04.1, 108.6, 122.5
00:06.1, 134.5, 148.1
00:08.1, 159.5, 171.5
00:10.1, 188.1, 195.8
00:12.1, 225.0, 197.6
00:14.1, 219.3, 203.0
00:16.1, 226.6, 207.9
00:18.1, 210.8, 223.2
00:20.1, 242.5, 243.5
00:22.1, 238.8, 239.4
00:24.1, 249.8, 255.7
00:26.1, 248.2, 243.5
00:28.1, 255.8, 253.4
00:30.1, 275.8, 298.4
00:32.1, 289.6, 288.9
00:34.1, 289.7, 281.3
00:36.1, 287.7, 289.9
00:38.1, 297.7, 290.8
00:40.1, 282.5, 293.9
00:42.1, 274.1, 267.8
00:44.1, 275.3, 296.6
00:46.1, 271.3, 267.8
00:48.1, 267.1, 268.2
00:50.1, 267.6, 263.3
00:52.1, 266.1, 266.9
00:54.1, 271.8, 284.9
00:56.1, 283.6, 285.8
00:58.1, 289.9, 279.1
01:00.1, 279.5, 277.2
01:02.1, 288.1, 285.4
01:04.1, 284.9, 275.0
01:06.1, 282.6, 286.7
01:08.1, 287.0, 283.1
01:10.1, 282.9, 275.4
01:12.1, 280.0, 279.5
01:14.1, 294.9, 297.1
01:16.1, 290.9, 290.8
01:18.1, 280.5, 279.9
01:20.1, 286.3, 284.0
01:22.1, 296.1, 315.1
01:24.1, 294.0, 284.4
01:26.1, 293.5, 289.9
01:28.1, 298.9, 299.3
01:30.1, 301.9, 307.9
01:32.1, 312.0, 313.2
01:34.1, 321.5, 316.9
01:36.1, 328.2, 339.8
01:38.1, 327.3, 315.1
01:40.1, 307.9, 302.9
01:42.1, 314.6, 310.1
01:44.1, 317.7, 311.0
01:46.1, 303.0, 300.6
01:48.1, 302.2, 302.4
01:50.1, 306.2, 305.6
01:52.1, 307.8, 314.6
01:54.1, 320.4, 324.1
01:56.1, 327.6, 332.1
01:58.1, 338.3, 342.5
02:00.1, 343.9, 347.4
02:02.1, 353.3, 352.9
02:04.1, 337.8, 337.6
02:06.1, 332.1, 328.6
02:08.1, 336.9, 342.5
02:10.1, 341.8, 344.3
02:12.1, 342.2, 338.0
02:14.1, 355.4, 358.2
02:16.1, 354.1, 346.6
02:18.1, 355.4, 366.4
02:20.1, 363.9, 361.9
02:22.1, 347.6, 346.1
02:24.1, 342.9, 343.4
02:26.1, 340.9, 344.8
02:28.1, 351.5, 359.6
02:30.1, 360.0, 358.2
02:32.1, 360.5, 364.1
02:34.1, 370.2, 364.6
02:36.1, 365.2, 361.4
02:38.1, 361.6, 361.9
02:40.1, 362.2, 371.8
02:42.1, 365.0, 363.2
02:44.1, 356.6, 355.6
02:46.1, 372.6, 379.9
02:48.1, 370.1, 360.1
02:50.1, 357.7, 356.9
02:52.1, 361.3, 364.1
02:54.1, 369.3, 370.4
02:56.1, 374.2, 375.4
02:58.1, 366.5, 360.1
03:00.1, 361.9, 363.6
03:02.1, 367.4, 371.3
03:04.1, 371.0, 369.5
03:06.1, 373.6, 375.8
03:08.1, 379.5, 377.6
03:10.1, 381.5, 385.2
03:12.1, 384.5, 387.5
03:14.1, 386.3, 379.4
03:16.1, 372.1, 371.3
03:18.1, 371.1, 368.6
03:20.1, 374.5, 372.2
03:22.1, 376.5, 371.3
03:24.1, 371.2, 370.9
03:26.1, 375.0, 371.3
03:28.1, 376.6, 376.7
03:30.1, 381.4, 386.1
03:32.1, 388.3, 384.4
03:34.1, 382.9, 378.9
03:36.1, 384.2, 382.6
03:38.1, 388.4, 389.8
03:40.1, 392.1, 395.1
03:42.1, 393.1, 392.9
03:44.1, 396.4, 395.6
03:46.1, 395.4, 397.9
03:48.1, 397.2, 391.1
03:50.1, 397.4, 410.9
03:52.1, 405.4, 399.2
03:54.1, 401.5, 398.3
03:56.1, 401.7, 399.6
03:58.1, 400.5, 395.6
04:00.1, 398.0, 397.4
04:02.1, 399.8, 399.6
04:04.1, 406.5, 410.0
04:06.1, 408.6, 407.3
04:08.1, 407.1, 406.9
04:10.1, 406.1, 405.1
04:12.1, 409.0, 409.6
04:14.1, 408.9, 405.9
04:16.1, 412.5, 413.6
04:18.1, 414.3, 419.4
04:20.1, 416.1, 414.9
04:22.1, 414.1, 414.1
04:24.1, 412.5, 412.2
04:26.1, 413.3, 411.8
04:28.1, 417.3, 421.2
04:30.1, 421.0, 419.9
04:32.1, 420.7, 419.4
04:34.1, 421.9, 423.1
04:36.1, 420.6, 419.4
04:38.1, 418.8, 418.1
04:40.1, 419.8, 419.4
04:42.1, 422.2, 424.9
04:44.1, 424.6, 424.4
04:46.1, 427.5, 430.7
04:48.1, 427.0, 431.6
04:50.1, 430.4, 428.4
04:52.1, 428.1, 427.1
04:54.1, 430.4, 431.6
04:56.1, 429.4, 427.1
04:58.1, 427.1, 426.6
05:00.1, 429.0, 430.7
05:02.1, 429.3, 432.9
05:04.1, 431.7, 433.4
05:06.1, 431.6, 432.1
05:08.1, 433.2, 435.2
05:10.1, 436.7, 433.4
05:12.1, 435.4, 437.9
05:14.1, 437.8, 439.7
05:16.1, 437.9, 436.1
05:18.1, 436.5, 435.2
05:20.1, 436.6, 435.6
05:22.1, 438.2, 437.4
05:24.1, 438.0, 439.2
05:26.1, 441.2, 442.4
05:28.1, 443.0, 441.1
05:30.1, 441.8, 441.1
05:32.1, 441.8, 441.1
05:34.1, 441.8, 441.1
05:36.1, 442.5, 441.5
05:38.1, 445.1, 442.9
05:40.1, 444.9, 442.9
05:42.1, 445.5, 445.6
05:44.1, 446.0, 446.0
05:46.1, 445.6, 449.6
05:48.1, 450.2, 446.4
05:50.1, 449.1, 449.6
05:52.1, 449.6, 455.0
05:54.1, 451.9, 450.1
05:56.1, 451.7, 449.6
05:58.1, 451.5, 452.3
06:00.1, 451.5, 449.6
06:02.1, 452.2, 450.9
06:04.1, 454.0, 457.7
06:06.1, 454.2, 457.2
06:08.1, 456.4, 455.9
06:10.1, 456.1, 455.4
06:12.1, 457.2, 455.0
