Sumatra Buah Buahan
Run #00,T_amb=71.5
elapsed, t_avg(15), t_bean
00:00.1, 68.1, 69.3
00:02.1, 69.0, 72.5
00:04.1, 76.1, 79.7
00:06.1, 81.9, 86.9
00:08.1, 90.9, 94.1
00:10.1, 96.8, 97.2
00:12.1, 106.9, 109.4
00:14.1, 117.5, 122.5
00:16.1, 128.7, 135.9
00:18.1, 136.3, 141.8
00:20.1, 145.0, 148.6
00:22.1, 154.5, 157.1
00:24.1, 160.6, 162.1
00:26.1, 163.8, 164.8
00:28.1, 169.4, 177.3
00:30.1, 183.3, 183.7
00:32.1, 190.5, 191.8
00:34.1, 194.6, 172.8
00:36.1, 201.2, 207.1
00:38.1, 210.2, 212.4
00:40.1, 212.3, 215.2
00:42.1, 221.2, 223.2
00:44.1, 222.7, 222.8
00:46.1, 229.0, 230.4
00:48.1, 234.0, 233.6
00:50.1, 237.7, 239.4
00:52.1, 240.0, 246.7
00:54.1, 249.0, 249.3
00:56.1, 251.2, 253.8
00:58.1, 254.9, 256.1
01:00.1, 258.7, 256.6
01:02.1, 261.6, 265.1
01:04.1, 268.7, 270.1
01:06.1, 271.2, 272.3
01:08.1, 271.9, 276.4
01:10.1, 278.2, 279.9
01:12.1, 281.5, 281.8
01:14.1, 282.3, 285.4
01:16.1, 285.0, 287.1
01:18.1, 285.1, 283.1
01:20.1, 289.4, 292.6
01:22.1, 295.3, 294.8
01:24.1, 294.6, 298.4
01:26.1, 300.1, 302.4
01:28.1, 304.7, 306.1
01:30.1, 302.8, 302.0
01:32.1, 305.9, 309.2
01:34.1, 310.9, 312.8
01:36.1, 313.2, 315.9
01:38.1, 315.1, 316.4
01:40.1, 316.1, 317.8
01:42.1, 319.9, 324.1
01:44.1, 323.8, 324.5
01:46.1, 322.2, 324.1
01:48.1, 325.4, 326.3
01:50.1, 328.8, 329.4
01:52.1, 332.3, 334.4
01:54.1, 334.0, 335.8
01:56.1, 333.4, 336.2
01:58.1, 337.3, 336.2
02:00.1, 335.8, 337.6
02:02.1, 335.9, 336.2
02:04.1, 340.7, 340.7
02:06.1, 342.3, 343.9
02:08.1, 342.5, 343.9
02:10.1, 343.8, 343.9
02:12.1, 344.3, 346.6
02:14.1, 347.2, 347.0
02:16.1, 350.1, 354.2
02:18.1, 349.9, 353.3
02:20.1, 353.9, 353.8
02:22.1, 353.1, 353.8
02:24.1, 353.6, 355.6
02:26.1, 358.5, 358.2
02:28.1, 357.4, 356.9
02:30.1, 357.5, 357.8
02:32.1, 359.3, 364.6
02:34.1, 361.2, 364.6
02:36.1, 364.0, 364.6
02:38.1, 362.8, 363.2
02:40.1, 364.5, 365.0
02:42.1, 367.1, 369.9
02:44.1, 369.0, 369.5
02:46.1, 369.6, 369.5
02:48.1, 372.7, 372.6
02:50.1, 372.4, 374.0
02:52.1, 372.7, 373.1
02:54.1, 374.9, 377.1
02:56.1, 373.2, 373.1
02:58.1, 373.9, 374.9
03:00.1, 375.9, 378.5
03:02.1, 377.9, 374.9
03:04.1, 373.4, 376.2
03:06.1, 380.8, 381.6
03:08.1, 380.8, 383.0
03:10.1, 383.7, 384.4
03:12.1, 384.3, 386.1
03:14.1, 385.9, 385.2
03:16.1, 385.2, 388.4
03:18.1, 386.8, 387.5
03:20.1, 387.6, 386.6
03:22.1, 388.7, 387.9
03:24.1, 389.8, 390.6
03:26.1, 391.4, 392.4
03:28.1, 391.9, 378.5
03:30.1, 392.9, 393.4
03:32.1, 396.1, 393.4
03:34.1, 396.0, 396.9
03:36.1, 398.5, 397.9
03:38.1, 398.9, 400.6
03:40.1, 398.5, 400.6
03:42.1, 400.9, 400.1
03:44.1, 401.1, 401.9
03:46.1, 401.0, 401.0
03:48.1, 404.3, 407.8
03:50.1, 407.2, 407.8
03:52.1, 405.8, 405.1
03:54.1, 405.5, 408.2
03:56.1, 405.4, 408.6
03:58.1, 406.8, 406.4
04:00.1, 408.2, 407.8
04:02.1, 407.2, 407.3
04:04.1, 408.1, 408.6
04:06.1, 410.8, 412.2
04:08.1, 412.8, 415.4
04:10.1, 413.0, 410.9
04:12.1, 410.4, 411.8
04:14.1, 413.8, 416.8
04:16.1, 417.3, 417.6
04:18.1, 414.0, 414.1
04:20.1, 416.5, 416.3
04:22.1, 418.3, 417.6
04:24.1, 418.4, 419.0
04:26.1, 420.1, 419.0
04:28.1, 420.0, 410.4
04:30.1, 419.6, 419.0
04:32.1, 419.0, 416.8
04:34.1, 421.0, 419.4
04:36.1, 422.7, 424.9
04:38.1, 424.2, 426.2
04:40.1, 424.4, 424.9
04:42.1, 425.4, 424.9
04:44.1, 426.4, 427.6
04:46.1, 425.9, 427.6
04:48.1, 426.6, 427.1
04:50.1, 428.5, 433.4
04:52.1, 431.5, 430.7
04:54.1, 432.3, 436.6
04:56.1, 434.2, 435.2
04:58.1, 436.6, 436.1
05:00.1, 436.1, 436.6
05:02.1, 436.5, 437.0
05:04.1, 436.4, 434.8
05:06.1, 435.6, 437.4
05:08.1, 437.0, 438.4
05:10.1, 438.8, 437.9
05:12.1, 438.5, 440.1
05:14.1, 439.9, 441.1
05:16.1, 441.6, 436.6
05:18.1, 440.1, 441.1
05:20.1, 443.6, 446.0
05:22.1, 442.8, 441.9
05:24.1, 442.2, 442.9
05:26.1, 443.2, 444.2
05:28.1, 442.2, 444.2
05:30.1, 445.1, 448.7
05:32.1, 446.3, 448.7
05:34.1, 445.7, 443.8
05:36.1, 447.0, 448.2
05:38.1, 446.8, 446.9
05:40.1, 443.4, 443.8
05:42.1, 448.5, 453.6
05:44.1, 451.6, 450.5
05:46.1, 449.1, 448.7
05:48.1, 451.2, 450.9
05:50.1, 451.8, 452.3
05:52.1, 452.4, 452.8
05:54.1, 452.8, 454.6
05:56.1, 453.0, 451.9
05:58.1, 453.5, 453.2
06:00.1, 453.2, 456.4
06:02.1, 453.6, 453.6
06:04.1, 455.5, 455.4
06:06.1, 456.4, 459.5
06:08.1, 457.1, 459.5
06:10.1, 457.4, 456.8
06:12.1, 455.1, 459.1
06:14.1, 456.9, 458.1
06:16.1, 458.6, 457.2
06:18.1, 459.9, 457.7
06:20.1, 459.1, 459.5
06:22.1, 462.8, 462.6
06:24.1, 462.6, 456.4
06:26.1, 461.6, 462.2
06:28.1, 460.5, 448.7
06:30.1, 461.6, 462.2
06:32.1, 463.5, 463.1
06:34.1, 464.6, 460.9
06:36.1, 466.8, 465.8
06:38.1, 464.3, 466.7
06:40.1, 467.1, 467.6
06:42.1, 469.2, 466.7
06:44.1, 466.9, 466.2
06:46.1, 466.6, 468.1
06:48.1, 467.3, 468.9
06:50.1, 468.5, 458.1
06:52.1, 469.2, 469.9
06:54.1, 470.7, 472.6
06:56.1, 469.8, 470.3
06:58.1, 470.5, 470.3
07:00.1, 471.0, 473.9
07:02.1, 470.1, 471.2
07:04.1, 472.2, 472.1
07:06.1, 474.6, 475.7
07:08.1, 471.6, 474.4
07:10.1, 474.3, 473.0
07:12.1, 472.0, 473.4
07:14.1, 473.6, 474.4
07:16.1, 475.8, 476.6
07:18.1, 472.3, 472.1
07:20.1, 476.8, 477.1
07:22.1, 479.4, 479.3
07:24.1, 476.2, 477.1
07:26.1, 477.8, 477.9
07:28.1, 478.0, 475.2
07:30.1, 477.1, 478.4
07:32.1, 480.9, 478.9
07:34.1, 477.1, 482.4
07:36.1, 477.7, 477.9
07:38.1, 477.9, 481.1
07:40.1, 478.8, 477.5
07:42.1, 477.9, 481.6
07:44.1, 480.7, 480.6
07:46.1, 480.4, 479.8
07:48.1, 479.3, 480.6
07:50.1, 480.6, 468.9
07:52.1, 483.0, 480.6
07:54.1, 483.6, 483.4
07:56.1, 483.4, 483.4
07:58.1, 484.7, 486.1
08:00.1, 482.4, 482.9
08:02.1, 483.8, 483.8
08:04.1, 485.5, 489.2
08:06.1, 489.2, 491.0
08:08.1, 487.9, 487.9
08:10.1, 488.0, 485.1
08:12.1, 484.6, 484.2
08:14.1, 486.5, 486.9
08:16.1, 487.6, 489.2
08:18.1, 487.2, 485.1
08:20.1, 487.1, 487.9
08:22.1, 489.4, 490.6
08:24.1, 488.5, 487.9
08:26.1, 488.8, 487.9
08:28.1, 486.7, 461.3
08:30.1, 488.6, 488.3
08:32.1, 493.4, 493.7
08:34.1, 490.9, 490.6
08:36.1, 491.1, 491.0
08:38.1, 491.1, 488.8
08:40.1, 490.0, 489.6
08:42.1, 489.7, 491.4
