Sumatra Buah Buahan
Run #32,T_amb=72.0
elapsed, t_avg(15), t_bean
00:00.1, 67.9, 67.1
00:02.1, 68.9, 72.0
00:04.1, 78.0, 83.8
00:06.1, 87.7, 90.5
00:08.1, 104.4, 108.5
00:10.1, 116.7, 122.0
00:12.1, 122.5, 124.7
00:14.1, 137.3, 137.3
00:16.1, 147.3, 149.9
00:18.1, 155.8, 162.9
00:20.1, 166.2, 169.2
00:22.1, 174.9, 180.1
00:24.1, 183.6, 187.7
00:26.1, 192.7, 194.9
00:28.1, 196.8, 198.9
00:30.1, 211.2, 214.7
00:32.1, 218.4, 220.1
00:34.1, 225.0, 232.7
00:36.1, 231.4, 235.4
00:38.1, 235.9, 234.5
00:40.1, 238.9, 242.6
00:42.1, 240.2, 240.8
00:44.1, 241.9, 242.6
00:46.1, 243.8, 240.8
00:48.1, 240.0, 242.6
00:50.1, 241.4, 245.8
00:52.1, 245.6, 247.1
00:54.1, 249.1, 246.7
00:56.1, 250.6, 250.7
00:58.1, 254.4, 255.7
01:00.1, 258.4, 255.7
01:02.1, 260.1, 264.2
01:04.1, 264.8, 267.4
01:06.1, 267.3, 270.9
01:08.1, 271.3, 272.8
01:10.1, 274.0, 275.4
01:12.1, 280.5, 285.4
01:14.1, 284.4, 282.6
01:16.1, 283.5, 284.0
01:18.1, 286.2, 289.9
01:20.1, 288.0, 285.4
01:22.1, 288.2, 287.1
01:24.1, 288.6, 289.4
01:26.1, 291.2, 295.2
01:28.1, 293.1, 295.7
01:30.1, 299.1, 299.8
01:32.1, 301.3, 304.7
01:34.1, 305.8, 311.4
01:36.1, 308.2, 304.7
01:38.1, 309.2, 311.0
01:40.1, 313.4, 317.3
01:42.1, 315.0, 316.4
01:44.1, 318.1, 318.2
01:46.1, 319.8, 320.4
01:48.1, 322.8, 323.6
01:50.1, 324.8, 325.9
01:52.1, 327.4, 328.6
01:54.1, 329.0, 329.0
01:56.1, 332.7, 334.4
01:58.1, 333.5, 332.6
02:00.1, 337.1, 337.1
02:02.1, 338.9, 337.6
02:04.1, 340.1, 342.1
02:06.1, 341.3, 341.1
02:08.1, 342.5, 341.1
02:10.1, 344.5, 344.3
02:12.1, 346.2, 345.6
02:14.1, 347.7, 349.2
02:16.1, 350.6, 351.9
02:18.1, 351.7, 352.4
02:20.1, 354.5, 355.1
02:22.1, 354.0, 355.6
02:24.1, 356.7, 356.4
02:26.1, 358.8, 359.1
02:28.1, 358.9, 357.8
02:30.1, 358.9, 358.7
02:32.1, 360.8, 361.9
02:34.1, 362.2, 362.3
02:36.1, 362.9, 364.1
02:38.1, 363.2, 365.4
02:40.1, 367.2, 366.4
02:42.1, 368.6, 370.4
02:44.1, 370.0, 368.6
02:46.1, 370.0, 371.8
02:48.1, 367.8, 367.2
02:50.1, 366.9, 367.2
02:52.1, 365.4, 360.9
02:54.1, 361.9, 361.9
02:56.1, 363.5, 362.8
02:58.1, 366.1, 365.0
03:00.1, 366.4, 367.7
03:02.1, 369.3, 373.6
03:04.1, 370.4, 372.6
03:06.1, 371.5, 373.6
