Sumatra Buah Buahan
Run #07,T_amb=74.4
elapsed, t_avg(15), t_bean
00:00.1, 68.5, 75.7
00:02.1, 78.6, 86.9
00:04.1, 97.5, 109.0
00:06.1, 110.0, 115.2
00:08.1, 138.9, 141.3
00:10.1, 135.5, 136.8
00:12.1, 141.4, 138.7
00:14.1, 137.0, 138.7
00:16.1, 142.6, 149.9
00:18.1, 154.6, 162.5
00:20.1, 169.8, 166.1
00:22.1, 173.7, 180.1
00:24.1, 182.2, 180.9
00:26.1, 192.1, 196.2
00:28.1, 211.7, 214.7
00:30.1, 223.4, 226.4
00:32.1, 228.7, 222.3
00:34.1, 223.3, 224.2
00:36.1, 226.7, 228.2
00:38.1, 229.2, 230.4
00:40.1, 228.7, 225.5
00:42.1, 229.5, 235.8
00:44.1, 238.9, 238.6
00:46.1, 246.7, 247.1
00:48.1, 250.0, 252.5
00:50.1, 253.6, 250.7
00:52.1, 260.9, 266.0
00:54.1, 267.7, 268.2
00:56.1, 264.0, 266.0
00:58.1, 273.9, 277.2
01:00.1, 273.0, 270.5
01:02.1, 275.5, 281.3
01:04.1, 277.5, 281.3
01:06.1, 284.8, 292.6
01:08.1, 291.9, 292.1
01:10.1, 296.9, 300.6
01:12.1, 295.4, 292.6
01:14.1, 293.8, 291.2
01:16.1, 298.5, 300.2
01:18.1, 300.8, 302.0
01:20.1, 303.3, 306.9
01:22.1, 304.2, 307.4
01:24.1, 310.5, 310.6
01:26.1, 308.4, 315.9
01:28.1, 314.1, 311.0
01:30.1, 320.2, 325.9
01:32.1, 323.7, 319.1
01:34.1, 318.9, 320.0
01:36.1, 323.6, 326.3
01:38.1, 322.9, 322.2
01:40.1, 328.6, 331.7
01:42.1, 328.9, 327.2
01:44.1, 333.2, 337.1
01:46.1, 330.4, 328.6
01:48.1, 331.3, 332.6
01:50.1, 332.2, 338.4
01:52.1, 342.2, 350.1
01:54.1, 339.4, 336.6
01:56.1, 336.3, 337.6
01:58.1, 335.9, 335.8
02:00.1, 346.9, 348.4
02:02.1, 361.6, 372.6
02:04.1, 369.0, 364.1
02:06.1, 374.0, 363.6
02:08.1, 366.0, 359.6
02:10.1, 363.5, 358.7
02:12.1, 370.5, 367.2
02:14.1, 368.8, 364.1
02:16.1, 365.6, 363.6
02:18.1, 359.1, 357.4
02:20.1, 362.7, 371.3
02:22.1, 364.3, 360.1
02:24.1, 348.4, 341.6
02:26.1, 345.6, 346.1
02:28.1, 347.9, 349.2
02:30.1, 359.0, 365.9
02:32.1, 359.4, 358.2
02:34.1, 361.1, 360.9
