Sumatra Buah Buahan
Run #30,T_amb=73.3
elapsed, t_avg(15), t_bean
00:00.1, 68.6, 77.0
00:02.1, 78.7, 80.6
00:04.1, 85.0, 88.7
00:06.1, 92.0, 94.5
00:08.1, 99.8, 101.8
00:10.1, 110.0, 118.4
00:12.1, 120.9, 124.2
00:14.1, 125.3, 129.7
00:16.1, 132.8, 132.8
00:18.1, 139.2, 150.8
00:20.1, 154.6, 159.3
00:22.1, 160.4, 161.6
00:24.1, 163.0, 166.1
00:26.1, 173.3, 180.9
00:28.1, 180.6, 178.7
00:30.1, 183.8, 188.6
00:32.1, 192.5, 196.2
00:34.1, 197.3, 199.8
00:36.1, 202.8, 207.1
00:38.1, 209.0, 210.7
00:40.1, 213.9, 217.8
00:42.1, 223.3, 224.6
00:44.1, 226.4, 226.8
00:46.1, 231.2, 234.5
00:48.1, 238.6, 243.1
00:50.1, 245.6, 247.6
00:52.1, 250.1, 253.8
00:54.1, 255.4, 254.8
00:56.1, 256.6, 256.1
00:58.1, 259.2, 260.1
01:00.1, 261.8, 262.9
01:02.1, 264.7, 266.4
01:04.1, 270.1, 271.4
01:06.1, 271.1, 271.9
01:08.1, 278.6, 279.5
01:10.1, 279.9, 280.9
01:12.1, 293.8, 294.8
01:14.1, 302.1, 303.4
01:16.1, 308.6, 302.0
01:18.1, 304.9, 305.6
01:20.1, 306.6, 311.4
01:22.1, 311.6, 308.3
01:24.1, 312.2, 311.0
01:26.1, 312.4, 313.2
01:28.1, 312.6, 313.2
01:30.1, 317.5, 319.6
01:32.1, 318.4, 322.7
01:34.1, 320.2, 319.6
01:36.1, 320.5, 317.8
01:38.1, 316.1, 316.4
01:40.1, 318.1, 316.4
01:42.1, 319.2, 327.6
01:44.1, 324.8, 320.0
01:46.1, 319.2, 320.0
01:48.1, 322.8, 324.1
01:50.1, 325.9, 324.9
01:52.1, 327.7, 328.6
01:54.1, 331.1, 329.9
01:56.1, 335.0, 332.6
01:58.1, 335.8, 335.8
02:00.1, 338.2, 335.8
02:02.1, 333.1, 334.4
02:04.1, 340.7, 340.7
02:06.1, 341.5, 340.2
02:08.1, 344.2, 343.9
02:10.1, 342.8, 341.6
02:12.1, 345.2, 347.0
02:14.1, 347.0, 345.6
02:16.1, 347.2, 347.4
02:18.1, 349.5, 352.4
02:20.1, 351.0, 351.5
02:22.1, 351.3, 349.2
02:24.1, 350.7, 350.1
02:26.1, 350.1, 349.2
02:28.1, 353.6, 353.8
02:30.1, 353.7, 353.8
02:32.1, 358.6, 359.1
02:34.1, 356.6, 355.1
02:36.1, 359.8, 359.1
02:38.1, 361.8, 361.4
02:40.1, 360.6, 358.7
02:42.1, 362.1, 365.0
02:44.1, 369.6, 372.2
02:46.1, 370.7, 370.9
02:48.1, 372.6, 371.8
02:50.1, 369.2, 367.2
02:52.1, 370.1, 366.8
02:54.1, 367.9, 368.1
02:56.1, 369.2, 369.5
02:58.1, 371.7, 374.0
03:00.1, 373.6, 368.6
