Sumatra Buah Buahan
Run #13,T_amb=73.4
elapsed, t_avg(15), t_bean
00:00.1, 68.1, 68.9
00:02.1, 68.2, 70.2
00:04.1, 74.6, 78.8
00:06.1, 85.3, 91.0
00:08.1, 99.4, 100.4
00:10.1, 109.9, 121.1
00:12.1, 121.7, 126.5
00:14.1, 133.3, 139.6
00:16.1, 139.4, 143.2
00:18.1, 146.2, 145.4
00:20.1, 153.0, 158.0
00:22.1, 164.4, 171.1
00:24.1, 172.0, 172.4
00:26.1, 179.2, 182.3
00:28.1, 184.4, 185.9
00:30.1, 193.9, 196.2
00:32.1, 200.1, 203.9
00:34.1, 207.3, 213.3
00:36.1, 213.2, 213.3
00:38.1, 216.2, 220.1
00:40.1, 224.1, 226.4
00:42.1, 226.9, 228.7
00:44.1, 231.7, 233.6
00:46.1, 235.8, 235.8
00:48.1, 240.5, 243.5
00:50.1, 246.8, 247.1
00:52.1, 249.6, 251.2
00:54.1, 252.9, 253.8
00:56.1, 258.8, 260.6
00:58.1, 259.4, 260.1
01:00.1, 263.4, 265.6
01:02.1, 267.4, 268.7
01:04.1, 272.7, 272.8
01:06.1, 274.4, 274.6
01:08.1, 277.6, 277.7
01:10.1, 278.8, 279.9
01:12.1, 280.4, 282.6
01:14.1, 284.8, 287.1
01:16.1, 288.5, 289.4
01:18.1, 291.1, 292.1
01:20.1, 294.1, 296.1
01:22.1, 297.8, 298.9
01:24.1, 299.3, 300.6
01:26.1, 301.4, 303.8
01:28.1, 304.6, 305.6
01:30.1, 305.5, 306.1
01:32.1, 307.7, 308.8
01:34.1, 310.7, 311.9
01:36.1, 312.3, 314.6
01:38.1, 314.7, 315.1
01:40.1, 315.3, 313.7
01:42.1, 317.3, 318.6
01:44.1, 319.2, 319.6
01:46.1, 320.7, 322.7
01:48.1, 322.2, 323.6
01:50.1, 324.7, 324.9
01:52.1, 326.7, 328.1
01:54.1, 327.6, 326.8
01:56.1, 330.7, 331.7
01:58.1, 332.6, 333.5
02:00.1, 333.6, 333.9
02:02.1, 334.2, 333.5
02:04.1, 336.1, 336.6
02:06.1, 339.0, 340.2
02:08.1, 340.3, 340.7
02:10.1, 341.8, 341.6
02:12.1, 342.3, 343.4
02:14.1, 345.7, 347.9
02:16.1, 348.5, 349.2
02:18.1, 348.2, 348.8
02:20.1, 348.9, 347.0
02:22.1, 348.9, 350.1
02:24.1, 350.8, 352.4
02:26.1, 351.8, 353.8
02:28.1, 353.6, 355.1
02:30.1, 354.1, 354.2
02:32.1, 356.3, 358.2
02:34.1, 357.7, 357.4
02:36.1, 357.7, 359.6
02:38.1, 359.1, 359.6
02:40.1, 359.4, 361.4
02:42.1, 360.5, 361.9
02:44.1, 363.2, 362.3
02:46.1, 364.2, 365.9
02:48.1, 365.3, 365.4
02:50.1, 366.1, 366.8
02:52.1, 368.6, 369.9
02:54.1, 368.4, 367.2
02:56.1, 369.4, 369.9
02:58.1, 371.7, 371.8
03:00.1, 371.8, 373.1
03:02.1, 374.4, 374.0
03:04.1, 374.4, 374.4
03:06.1, 374.7, 373.1
03:08.1, 375.2, 377.1
03:10.1, 376.2, 377.6
03:12.1, 376.2, 377.1
03:14.1, 377.1, 378.1
03:16.1, 378.4, 380.8
03:18.1, 379.5, 380.3
03:20.1, 379.8, 382.1
03:22.1, 382.3, 382.1
03:24.1, 385.1, 387.5
03:26.1, 384.4, 383.0
03:28.1, 385.3, 387.1
03:30.1, 386.1, 386.6
03:32.1, 386.5, 386.6
03:34.1, 387.3, 387.1
03:36.1, 387.2, 387.5
03:38.1, 388.6, 390.6
03:40.1, 389.5, 389.8
03:42.1, 390.9, 390.2
03:44.1, 392.4, 392.4
03:46.1, 391.8, 393.4
03:48.1, 392.7, 393.8
03:50.1, 393.4, 393.8
03:52.1, 393.8, 392.9
03:54.1, 394.7, 393.4
03:56.1, 394.2, 393.4
03:58.1, 395.8, 396.1
04:00.1, 396.7, 396.1
04:02.1, 396.3, 396.1
04:04.1, 397.8, 397.4
04:06.1, 398.8, 399.2
04:08.1, 398.8, 398.3
04:10.1, 399.5, 399.6
04:12.1, 400.9, 402.4
04:14.1, 402.5, 402.4
04:16.1, 402.3, 400.6
04:18.1, 403.4, 404.1
04:20.1, 404.0, 405.1
04:22.1, 404.8, 404.1
04:24.1, 405.3, 404.6
04:26.1, 405.3, 404.6
04:28.1, 406.2, 407.3
04:30.1, 408.1, 409.1
04:32.1, 408.9, 407.3
04:34.1, 408.1, 410.4
04:36.1, 408.6, 410.9
04:38.1, 409.3, 409.6
04:40.1, 410.1, 410.4
04:42.1, 410.4, 410.0
04:44.1, 410.6, 410.9
04:46.1, 412.9, 414.9
04:48.1, 412.1, 412.2
04:50.1, 413.2, 414.1
04:52.1, 413.9, 413.6
04:54.1, 414.2, 414.5
04:56.1, 413.8, 412.2
04:58.1, 413.6, 413.1
05:00.1, 414.4, 417.2
05:02.1, 416.0, 416.8
05:04.1, 416.7, 418.6
05:06.1, 416.8, 415.9
05:08.1, 416.7, 416.8
05:10.1, 417.0, 416.8
05:12.1, 417.1, 417.6
05:14.1, 417.7, 418.1
05:16.1, 419.6, 419.0
05:18.1, 419.6, 419.9
05:20.1, 420.6, 421.7
05:22.1, 423.4, 422.1
05:24.1, 422.2, 421.2
05:26.1, 422.1, 423.9
05:28.1, 421.6, 422.1
05:30.1, 422.5, 423.1
05:32.1, 422.3, 421.7
05:34.1, 423.0, 424.4
05:36.1, 424.4, 423.5
05:38.1, 425.2, 424.9
05:40.1, 426.6, 429.4
05:42.1, 426.1, 429.4
05:44.1, 427.6, 428.4
05:46.1, 428.3, 426.2
05:48.1, 428.0, 428.9
05:50.1, 428.6, 429.8
05:52.1, 428.8, 430.7
05:54.1, 431.4, 431.6
05:56.1, 433.7, 432.5
05:58.1, 430.8, 429.8
06:00.1, 432.0, 431.1
06:02.1, 432.0, 434.8
06:04.1, 432.6, 432.5
06:06.1, 432.4, 433.4
06:08.1, 434.7, 433.4
06:10.1, 435.9, 436.6
06:12.1, 432.4, 432.5
06:14.1, 436.4, 439.2
06:16.1, 436.8, 438.4
06:18.1, 437.5, 437.0
06:20.1, 439.0, 437.9
06:22.1, 438.6, 436.6
06:24.1, 438.3, 437.0
06:26.1, 438.6, 438.8
06:28.1, 437.2, 438.4
06:30.1, 440.4, 438.4
06:32.1, 439.0, 438.8
06:34.1, 441.9, 442.9
