Sumatra Buah Buahan
Run #25,T_amb=73.3
elapsed, t_avg(15), t_bean
00:00.1, 68.3, 73.0
00:02.1, 76.1, 87.8
00:04.1, 89.8, 97.2
00:06.1, 104.0, 109.4
00:08.1, 115.7, 115.2
00:10.1, 125.4, 130.1
00:12.1, 135.0, 138.2
00:14.1, 146.0, 159.8
00:16.1, 154.4, 160.2
00:18.1, 166.7, 174.7
00:20.1, 175.8, 179.6
00:22.1, 184.2, 188.2
00:24.1, 193.3, 195.3
00:26.1, 200.1, 201.2
00:28.1, 203.4, 208.8
00:30.1, 207.9, 206.6
00:32.1, 210.7, 212.4
00:34.1, 211.5, 210.7
00:36.1, 211.4, 214.7
00:38.1, 215.7, 213.3
00:40.1, 216.4, 221.9
00:42.1, 219.8, 219.7
00:44.1, 219.6, 220.1
00:46.1, 226.5, 228.2
00:48.1, 231.1, 232.2
00:50.1, 239.2, 244.4
00:52.1, 245.5, 248.0
00:54.1, 250.6, 252.5
00:56.1, 256.6, 261.9
00:58.1, 262.0, 267.8
01:00.1, 267.3, 273.6
01:02.1, 270.3, 273.2
01:04.1, 274.9, 271.9
01:06.1, 264.0, 268.7
01:08.1, 265.4, 262.9
01:10.1, 264.6, 265.6
01:12.1, 264.7, 259.2
01:14.1, 261.8, 266.4
01:16.1, 267.6, 263.8
01:18.1, 262.3, 266.4
01:20.1, 269.2, 273.2
01:22.1, 275.8, 277.2
01:24.1, 282.9, 283.6
01:26.1, 285.7, 287.6
01:28.1, 289.9, 294.4
01:30.1, 293.3, 297.5
01:32.1, 297.1, 302.9
01:34.1, 303.5, 302.0
01:36.1, 303.8, 305.6
01:38.1, 304.2, 303.4
01:40.1, 306.9, 307.4
01:42.1, 309.3, 310.1
01:44.1, 313.5, 315.1
01:46.1, 315.4, 315.1
01:48.1, 317.2, 319.1
01:50.1, 318.4, 317.3
01:52.1, 320.4, 320.9
01:54.1, 322.7, 325.9
01:56.1, 325.8, 324.1
01:58.1, 328.2, 327.2
02:00.1, 329.6, 333.1
02:02.1, 332.6, 333.5
02:04.1, 334.2, 333.9
02:06.1, 333.7, 331.7
02:08.1, 337.3, 338.0
02:10.1, 338.4, 340.7
02:12.1, 339.9, 338.9
02:14.1, 341.8, 342.9
02:16.1, 344.8, 344.8
02:18.1, 345.4, 347.4
02:20.1, 347.4, 349.2
02:22.1, 349.6, 353.3
02:24.1, 352.9, 354.2
02:26.1, 355.6, 355.1
02:28.1, 354.5, 354.6
02:30.1, 355.7, 355.1
02:32.1, 357.1, 357.8
02:34.1, 359.4, 361.9
02:36.1, 360.9, 364.1
02:38.1, 362.0, 364.6
02:40.1, 361.2, 363.2
02:42.1, 364.0, 365.0
02:44.1, 364.7, 365.0
02:46.1, 366.1, 372.2
02:48.1, 368.4, 368.1
02:50.1, 369.2, 369.9
02:52.1, 370.0, 371.3
02:54.1, 372.0, 372.2
02:56.1, 374.0, 375.4
02:58.1, 374.7, 373.1
