Sumatra Buah Buahan
Run #08,T_amb=74.4
elapsed, t_avg(15), t_bean
00:00.1, 68.1, 69.3
00:02.1, 74.7, 81.0
00:04.1, 93.5, 103.5
00:06.1, 110.2, 113.9
00:08.1, 115.3, 123.3
00:10.1, 163.9, 185.0
00:12.1, 178.7, 169.2
00:14.1, 172.8, 175.6
00:16.1, 185.9, 197.6
00:18.1, 196.2, 197.2
00:20.1, 199.8, 210.7
00:22.1, 212.6, 213.3
00:24.1, 209.8, 203.4
00:26.1, 204.4, 204.3
00:28.1, 204.3, 201.2
00:30.1, 201.2, 198.1
00:32.1, 204.2, 214.2
00:34.1, 226.8, 234.9
00:36.1, 226.4, 223.2
00:38.1, 223.3, 222.8
00:40.1, 223.2, 223.7
00:42.1, 240.0, 248.9
00:44.1, 245.3, 241.7
00:46.1, 239.2, 239.0
00:48.1, 240.6, 242.6
00:50.1, 251.8, 271.9
00:52.1, 266.0, 262.9
00:54.1, 267.3, 266.4
00:56.1, 267.3, 267.4
00:58.1, 264.9, 265.6
01:00.1, 269.1, 270.9
01:02.1, 273.1, 274.1
01:04.1, 276.9, 275.9
01:06.1, 277.1, 276.8
01:08.1, 280.9, 290.3
01:10.1, 287.4, 294.4
01:12.1, 302.6, 297.9
01:14.1, 297.7, 292.1
01:16.1, 297.0, 298.9
01:18.1, 296.2, 294.8
01:20.1, 297.3, 300.6
01:22.1, 298.9, 297.5
01:24.1, 301.7, 300.6
01:26.1, 303.9, 309.6
01:28.1, 309.0, 304.7
01:30.1, 307.7, 310.6
01:32.1, 312.9, 309.6
01:34.1, 314.1, 315.9
01:36.1, 315.9, 315.9
01:38.1, 318.1, 318.6
01:40.1, 318.7, 319.6
01:42.1, 321.1, 322.7
01:44.1, 322.5, 322.2
01:46.1, 324.7, 326.3
01:48.1, 327.5, 327.2
01:50.1, 327.4, 324.9
01:52.1, 329.0, 329.0
01:54.1, 331.2, 330.8
01:56.1, 332.8, 334.9
01:58.1, 333.9, 332.6
02:00.1, 337.2, 337.6
02:02.1, 339.3, 341.1
02:04.1, 339.7, 339.4
02:06.1, 343.6, 345.2
02:08.1, 345.9, 344.3
02:10.1, 348.0, 348.4
02:12.1, 348.1, 347.4
02:14.1, 349.1, 348.8
02:16.1, 350.1, 349.2
02:18.1, 349.9, 349.7
02:20.1, 354.4, 360.1
02:22.1, 358.6, 353.3
02:24.1, 358.9, 359.6
02:26.1, 363.0, 362.3
02:28.1, 363.1, 360.9
02:30.1, 361.1, 362.3
02:32.1, 362.7, 360.1
02:34.1, 361.1, 364.6
02:36.1, 367.2, 367.7
02:38.1, 369.0, 369.5
02:40.1, 365.6, 365.9
02:42.1, 372.3, 374.4
02:44.1, 374.4, 373.6
02:46.1, 374.3, 372.6
02:48.1, 373.5, 371.8
02:50.1, 374.7, 378.5
02:52.1, 377.0, 379.4
02:54.1, 376.9, 376.2
02:56.1, 381.5, 378.1
02:58.1, 379.3, 380.3
03:00.1, 380.5, 383.4
03:02.1, 384.1, 381.6
03:04.1, 382.9, 385.7
03:06.1, 387.5, 389.3
03:08.1, 389.0, 390.6
03:10.1, 385.7, 381.6
03:12.1, 383.1, 381.6
03:14.1, 383.6, 380.3
03:16.1, 383.7, 383.4
03:18.1, 381.1, 380.8
03:20.1, 383.7, 384.8
03:22.1, 385.3, 386.6
03:24.1, 384.0, 383.9
03:26.1, 387.0, 387.1
03:28.1, 386.7, 389.8
03:30.1, 389.6, 391.6
03:32.1, 389.4, 389.8
03:34.1, 389.2, 390.6
03:36.1, 388.4, 387.5
03:38.1, 389.3, 386.1
03:40.1, 387.3, 387.5
03:42.1, 387.3, 386.1
03:44.1, 390.5, 392.9
03:46.1, 399.1, 398.8
03:48.1, 399.5, 395.6
03:50.1, 395.2, 393.4
03:52.1, 393.2, 392.0
03:54.1, 395.0, 400.6
03:56.1, 397.7, 397.9
03:58.1, 403.8, 403.2
04:00.1, 398.4, 400.6
04:02.1, 404.1, 403.7
04:04.1, 402.4, 404.6
04:06.1, 408.0, 409.6
04:08.1, 409.0, 407.8
04:10.1, 406.8, 404.1
04:12.1, 406.3, 408.6
04:14.1, 407.7, 409.6
04:16.1, 408.6, 410.0
04:18.1, 414.0, 416.8
04:20.1, 412.5, 413.1
04:22.1, 414.9, 414.5
04:24.1, 412.8, 411.8
04:26.1, 414.3, 416.8
04:28.1, 414.5, 414.5
04:30.1, 415.8, 417.6
04:32.1, 417.7, 415.9
04:34.1, 418.3, 418.6
04:36.1, 418.9, 418.1
04:38.1, 420.5, 421.7
04:40.1, 420.6, 423.9
04:42.1, 422.5, 426.2
04:44.1, 422.2, 418.1
04:46.1, 423.4, 424.9
04:48.1, 423.5, 423.9
04:50.1, 424.2, 427.1
04:52.1, 426.7, 423.9
04:54.1, 426.6, 424.9
04:56.1, 426.5, 428.0
04:58.1, 428.6, 433.4
05:00.1, 432.6, 430.7
05:02.1, 430.2, 430.7
05:04.1, 430.8, 433.4
05:06.1, 430.1, 428.9
05:08.1, 431.2, 431.1
05:10.1, 431.0, 427.1
05:12.1, 431.6, 432.1
05:14.1, 435.6, 437.9
05:16.1, 434.8, 436.1
05:18.1, 433.8, 431.6
05:20.1, 434.6, 436.1
05:22.1, 435.4, 437.0
05:24.1, 433.7, 431.6
05:26.1, 435.9, 436.1
05:28.1, 437.8, 437.0
05:30.1, 439.8, 441.1
05:32.1, 438.5, 438.8
05:34.1, 438.2, 436.1
05:36.1, 443.0, 445.1
05:38.1, 442.3, 441.1
05:40.1, 442.8, 443.3
05:42.1, 441.5, 443.3
05:44.1, 441.3, 441.5
05:46.1, 445.4, 443.8
05:48.1, 444.6, 445.1
05:50.1, 444.0, 441.5
05:52.1, 446.9, 446.4
05:54.1, 447.8, 453.6
05:56.1, 448.2, 448.7
05:58.1, 446.8, 448.2
06:00.1, 449.8, 450.1
06:02.1, 449.0, 448.7
06:04.1, 449.1, 446.0
06:06.1, 449.9, 449.6
06:08.1, 452.3, 454.6
06:10.1, 451.6, 453.6
06:12.1, 451.6, 448.7
06:14.1, 453.2, 455.9
06:16.1, 454.8, 456.8
06:18.1, 454.1, 453.6
06:20.1, 453.3, 453.2
06:22.1, 456.2, 457.2
06:24.1, 456.9, 455.4
06:26.1, 455.6, 457.2
06:28.1, 454.8, 453.6
06:30.1, 455.0, 458.6
06:32.1, 457.9, 459.5
06:34.1, 456.9, 459.1
06:36.1, 459.2, 459.1
06:38.1, 458.0, 457.7
06:40.1, 458.8, 460.9
06:42.1, 459.4, 456.8
06:44.1, 461.1, 460.9
06:46.1, 458.7, 459.1
06:48.1, 458.0, 459.5
06:50.1, 459.6, 460.9
06:52.1, 460.4, 464.0
06:54.1, 463.6, 461.3
06:56.1, 462.5, 464.0
06:58.1, 464.8, 463.6
07:00.1, 460.5, 464.9
07:02.1, 463.1, 465.8
07:04.1, 462.1, 465.8
07:06.1, 465.6, 464.9
07:08.1, 465.3, 471.2
07:10.1, 465.7, 462.6
07:12.1, 465.6, 463.6
07:14.1, 466.7, 461.3
07:16.1, 466.8, 469.4
07:18.1, 466.8, 469.4
07:20.1, 467.0, 465.4
07:22.1, 470.7, 468.9
07:24.1, 468.4, 468.9
07:26.1, 467.5, 471.2
07:28.1, 470.6, 467.6
07:30.1, 468.3, 471.2
07:32.1, 472.0, 467.6
07:34.1, 470.0, 469.9
07:36.1, 468.2, 468.1
07:38.1, 469.5, 470.8
07:40.1, 473.0, 472.6
07:42.1, 471.8, 474.4
07:44.1, 472.3, 471.2
07:46.1, 473.4, 475.2
07:48.1, 470.9, 465.8
07:50.1, 471.4, 466.7
07:52.1, 471.2, 473.9
07:54.1, 474.4, 477.1
07:56.1, 474.6, 470.3
07:58.1, 472.9, 467.1
08:00.1, 471.3, 470.8
08:02.1, 465.0, 450.5
08:04.1, 433.9, 418.1
08:06.1, 405.4, 393.4
08:08.1, 379.1, 370.4
08:10.1, 362.8, 355.1
08:12.1, 348.0, 342.9
08:14.1, 334.2, 332.6
08:16.1, 322.9, 316.4
08:18.1, 315.8, 314.1
08:20.1, 305.9, 299.3
08:22.1, 296.1, 290.8
08:24.1, 292.3, 287.1
08:26.1, 284.2, 283.6
08:28.1, 279.5, 278.6
08:30.1, 275.0, 270.5
08:32.1, 267.9, 266.0
08:34.1, 261.1, 259.2
08:36.1, 257.2, 254.3
08:38.1, 251.2, 250.7
08:40.1, 250.3, 243.9
