Sumatra Buah Buahan
Run #09,T_amb=72.7
elapsed, t_avg(15), t_bean
00:00.1, 68.5, 74.8
00:02.1, 76.0, 77.9
00:04.1, 84.3, 89.6
00:06.1, 92.7, 97.2
00:08.1, 101.4, 107.2
00:10.1, 114.9, 117.5
00:12.1, 116.8, 119.3
00:14.1, 123.9, 131.4
00:16.1, 128.2, 131.4
00:18.1, 134.2, 143.2
00:20.1, 144.3, 144.5
00:22.1, 147.3, 148.1
00:24.1, 154.5, 158.0
00:26.1, 164.3, 164.8
00:28.1, 168.2, 168.3
00:30.1, 172.1, 171.9
00:32.1, 175.6, 177.3
00:34.1, 184.4, 193.1
00:36.1, 194.6, 193.6
00:38.1, 197.3, 198.9
00:40.1, 205.0, 207.1
00:42.1, 210.9, 214.7
00:44.1, 215.5, 217.8
00:46.1, 221.4, 224.2
00:48.1, 232.8, 232.2
00:50.1, 235.5, 235.4
00:52.1, 238.2, 240.3
00:54.1, 240.5, 240.3
00:56.1, 243.5, 245.8
00:58.1, 246.3, 246.7
01:00.1, 249.6, 250.7
01:02.1, 253.7, 256.1
01:04.1, 258.8, 260.6
01:06.1, 262.6, 264.6
01:08.1, 266.2, 267.8
01:10.1, 268.6, 268.7
01:12.1, 271.3, 273.2
01:14.1, 276.3, 276.4
01:16.1, 280.4, 282.6
01:18.1, 284.1, 285.8
01:20.1, 286.9, 288.1
01:22.1, 289.1, 290.8
01:24.1, 292.2, 293.9
01:26.1, 295.6, 297.1
01:28.1, 296.8, 297.5
01:30.1, 299.8, 300.2
01:32.1, 300.5, 301.1
01:34.1, 302.5, 305.6
01:36.1, 304.9, 306.1
01:38.1, 307.9, 310.1
01:40.1, 308.4, 307.9
01:42.1, 311.1, 312.8
01:44.1, 314.0, 315.9
01:46.1, 316.2, 317.8
01:48.1, 318.0, 317.8
01:50.1, 318.9, 319.6
01:52.1, 320.3, 321.4
01:54.1, 322.9, 322.7
01:56.1, 323.8, 324.9
01:58.1, 325.1, 325.4
02:00.1, 326.6, 326.8
02:02.1, 328.7, 329.9
02:04.1, 331.9, 331.2
02:06.1, 332.4, 333.5
02:08.1, 334.6, 334.4
02:10.1, 336.2, 337.6
02:12.1, 337.7, 338.0
02:14.1, 337.4, 336.2
02:16.1, 337.0, 338.0
02:18.1, 339.4, 341.1
02:20.1, 342.7, 343.4
02:22.1, 345.1, 347.0
02:24.1, 347.4, 347.4
02:26.1, 348.5, 349.2
02:28.1, 348.7, 349.2
02:30.1, 350.7, 351.5
02:32.1, 351.9, 352.9
02:34.1, 352.9, 353.3
02:36.1, 353.7, 353.3
02:38.1, 354.7, 355.6
02:40.1, 357.1, 358.7
02:42.1, 358.4, 359.1
02:44.1, 359.2, 358.7
02:46.1, 358.9, 358.7
02:48.1, 360.2, 360.5
02:50.1, 361.3, 361.9
02:52.1, 360.4, 360.5
02:54.1, 362.7, 361.9
02:56.1, 364.5, 364.1
02:58.1, 365.4, 366.4
03:00.1, 367.2, 366.8
03:02.1, 367.6, 368.6
03:04.1, 369.4, 369.1
03:06.1, 369.9, 370.4
03:08.1, 371.3, 371.3
03:10.1, 371.6, 371.8
03:12.1, 373.0, 373.6
03:14.1, 373.9, 374.4
03:16.1, 375.4, 376.2
03:18.1, 376.2, 376.7
03:20.1, 377.5, 378.1
03:22.1, 378.6, 378.5
03:24.1, 378.6, 379.4
03:26.1, 379.3, 378.5
03:28.1, 380.7, 381.2
03:30.1, 382.0, 382.1
03:32.1, 382.8, 382.6
03:34.1, 383.2, 383.0
03:36.1, 383.5, 384.4
03:38.1, 384.5, 385.2
03:40.1, 385.9, 386.6
03:42.1, 386.9, 386.6
03:44.1, 387.4, 388.4
03:46.1, 387.8, 389.3
03:48.1, 389.3, 389.8
03:50.1, 390.3, 391.1
03:52.1, 391.0, 391.1
03:54.1, 390.3, 390.6
03:56.1, 390.8, 392.4
03:58.1, 392.7, 392.9
04:00.1, 393.0, 393.4
04:02.1, 394.1, 394.2
04:04.1, 394.3, 393.8
04:06.1, 395.6, 396.1
04:08.1, 396.6, 394.7
04:10.1, 397.1, 400.1
04:12.1, 399.6, 400.6
04:14.1, 400.8, 399.6
04:16.1, 399.8, 400.1
04:18.1, 400.0, 400.1
04:20.1, 400.4, 401.0
04:22.1, 401.4, 401.9
04:24.1, 401.4, 400.6
04:26.1, 401.8, 402.8
04:28.1, 403.3, 403.2
04:30.1, 403.6, 403.7
04:32.1, 403.9, 403.7
04:34.1, 403.7, 404.6
04:36.1, 405.2, 405.5
04:38.1, 405.4, 405.9
04:40.1, 407.1, 407.3
04:42.1, 407.0, 407.8
04:44.1, 408.4, 408.2
04:46.1, 408.4, 408.6
04:48.1, 408.7, 409.1
04:50.1, 409.4, 409.1
04:52.1, 409.2, 410.0
04:54.1, 410.3, 410.4
04:56.1, 411.3, 411.4
04:58.1, 411.4, 412.7
05:00.1, 412.7, 412.7
05:02.1, 413.2, 414.1
05:04.1, 413.8, 414.5
05:06.1, 414.2, 414.1
05:08.1, 413.1, 414.1
05:10.1, 413.9, 413.1
05:12.1, 413.5, 413.6
05:14.1, 414.7, 415.4
05:16.1, 415.8, 415.9
05:18.1, 415.4, 415.4
05:20.1, 415.6, 417.6
05:22.1, 416.9, 417.2
05:24.1, 417.0, 417.2
05:26.1, 417.4, 419.9
05:28.1, 419.0, 418.6
05:30.1, 419.6, 418.1
05:32.1, 419.2, 419.4
05:34.1, 420.5, 420.4
05:36.1, 420.0, 421.2
05:38.1, 421.4, 422.1
05:40.1, 421.5, 421.7
05:42.1, 423.9, 423.5
05:44.1, 422.9, 423.1
05:46.1, 423.4, 425.3
05:48.1, 424.2, 424.4
05:50.1, 423.9, 424.9
05:52.1, 425.8, 425.8
05:54.1, 425.5, 426.2
05:56.1, 426.2, 426.6
05:58.1, 426.4, 428.4
06:00.1, 426.3, 425.8
06:02.1, 426.7, 426.2
06:04.1, 426.2, 427.6
06:06.1, 425.4, 417.2
06:08.1, 417.6, 419.0
06:10.1, 422.7, 426.2
06:12.1, 424.9, 426.2
06:14.1, 426.6, 427.1
06:16.1, 427.3, 428.4
06:18.1, 429.8, 432.1
06:20.1, 432.9, 431.1
06:22.1, 434.4, 434.8
06:24.1, 434.4, 433.4
06:26.1, 434.5, 434.3
06:28.1, 435.8, 435.2
06:30.1, 436.4, 438.4
06:32.1, 437.6, 438.8
06:34.1, 438.7, 436.6
06:36.1, 438.6, 438.4
06:38.1, 440.2, 437.9
06:40.1, 440.2, 440.6
06:42.1, 441.3, 443.3
06:44.1, 444.8, 445.6
06:46.1, 445.3, 441.5
06:48.1, 445.2, 443.8
06:50.1, 445.9, 441.9
06:52.1, 444.8, 443.3
06:54.1, 446.1, 446.0
06:56.1, 447.0, 448.7
06:58.1, 448.2, 448.2
07:00.1, 449.7, 450.1
07:02.1, 449.6, 450.9
07:04.1, 449.3, 452.8
07:06.1, 452.1, 448.7
07:08.1, 449.7, 450.1
07:10.1, 451.6, 452.8
07:12.1, 452.2, 451.4
07:14.1, 452.4, 453.6
07:16.1, 452.4, 451.4
07:18.1, 453.2, 453.6
07:20.1, 453.0, 456.8
07:22.1, 454.2, 455.4
07:24.1, 456.9, 454.6
07:26.1, 456.9, 455.4
07:28.1, 457.0, 458.1
07:30.1, 457.3, 456.8
07:32.1, 458.0, 458.6
07:34.1, 459.8, 464.9
07:36.1, 459.6, 458.1
07:38.1, 459.1, 459.1
07:40.1, 459.8, 461.3
07:42.1, 460.1, 464.0
07:44.1, 461.2, 462.2
07:46.1, 460.3, 461.3
07:48.1, 461.2, 460.4
07:50.1, 461.0, 463.6
07:52.1, 463.1, 461.3
07:54.1, 461.5, 460.9
07:56.1, 462.1, 460.9
07:58.1, 462.0, 461.3
08:00.1, 461.1, 459.9
08:02.1, 458.9, 448.2
08:04.1, 430.6, 416.8
08:06.1, 401.7, 389.3
08:08.1, 376.6, 369.1
08:10.1, 359.5, 354.6
08:12.1, 344.4, 337.6
08:14.1, 329.7, 323.1
