Sumatra Buah Buahan
Run #12,T_amb=79.2
elapsed, t_avg(15), t_bean
00:00.1, 68.5, 75.7
00:02.1, 76.0, 77.0
00:04.1, 81.4, 83.8
00:06.1, 90.9, 99.5
00:08.1, 97.8, 101.8
00:10.1, 107.7, 109.8
00:12.1, 117.7, 120.2
00:14.1, 122.6, 126.0
00:16.1, 133.6, 141.3
00:18.1, 146.3, 151.2
00:20.1, 155.8, 158.0
00:22.1, 159.8, 162.9
00:24.1, 163.7, 163.4
00:26.1, 169.3, 171.1
00:28.1, 178.7, 179.6
00:30.1, 188.2, 188.6
00:32.1, 194.5, 197.2
00:34.1, 204.7, 211.1
00:36.1, 208.0, 206.6
00:38.1, 208.5, 209.8
00:40.1, 216.3, 222.3
00:42.1, 226.1, 231.3
00:44.1, 236.5, 238.1
00:46.1, 241.8, 243.5
00:48.1, 246.4, 248.4
00:50.1, 252.7, 252.9
00:52.1, 256.2, 260.1
00:54.1, 259.6, 259.2
00:56.1, 264.6, 266.4
00:58.1, 269.5, 268.7
01:00.1, 270.6, 275.0
01:02.1, 276.2, 275.4
01:04.1, 280.6, 280.9
01:06.1, 283.9, 285.8
01:08.1, 289.4, 291.6
01:10.1, 290.7, 290.8
01:12.1, 294.1, 294.4
01:14.1, 294.4, 294.4
01:16.1, 298.3, 300.6
01:18.1, 300.7, 301.1
01:20.1, 302.6, 304.2
01:22.1, 305.1, 307.4
01:24.1, 306.9, 309.6
01:26.1, 311.1, 310.1
01:28.1, 312.8, 313.2
01:30.1, 316.3, 319.1
01:32.1, 318.7, 320.9
01:34.1, 320.1, 322.2
01:36.1, 323.0, 324.5
01:38.1, 322.9, 324.9
01:40.1, 326.5, 328.1
01:42.1, 330.2, 329.4
01:44.1, 331.7, 330.8
01:46.1, 333.2, 335.3
01:48.1, 337.7, 342.1
01:50.1, 339.6, 336.2
01:52.1, 337.6, 338.4
01:54.1, 339.9, 341.6
01:56.1, 344.6, 343.9
01:58.1, 343.5, 340.7
02:00.1, 340.4, 341.6
02:02.1, 341.1, 341.6
02:04.1, 343.2, 344.8
02:06.1, 343.2, 340.2
02:08.1, 343.0, 344.8
02:10.1, 343.8, 343.9
02:12.1, 343.6, 344.8
02:14.1, 345.2, 342.9
02:16.1, 344.5, 345.2
02:18.1, 346.8, 346.1
02:20.1, 347.9, 346.1
02:22.1, 349.5, 353.8
02:24.1, 352.7, 352.4
02:26.1, 353.2, 352.4
02:28.1, 354.7, 356.4
02:30.1, 356.0, 356.4
02:32.1, 356.3, 358.2
02:34.1, 356.7, 356.9
