Sumatra Buah Buahan
Run #33,T_amb=74.3
elapsed, t_avg(15), t_bean
00:00.1, 68.2, 70.7
00:02.1, 73.9, 76.1
00:04.1, 82.1, 86.5
00:06.1, 91.7, 96.8
00:08.1, 105.5, 105.3
00:10.1, 116.1, 118.8
00:12.1, 123.0, 126.0
00:14.1, 132.8, 133.2
00:16.1, 143.1, 148.1
00:18.1, 151.9, 155.8
00:20.1, 160.3, 159.8
00:22.1, 171.2, 168.3
00:24.1, 173.3, 171.9
00:26.1, 181.4, 189.9
00:28.1, 188.3, 189.5
00:30.1, 200.8, 199.4
00:32.1, 203.2, 211.6
00:34.1, 210.3, 210.7
00:36.1, 215.4, 216.5
00:38.1, 226.1, 229.6
00:40.1, 234.7, 234.5
00:42.1, 235.3, 233.2
00:44.1, 233.7, 239.4
00:46.1, 240.7, 242.6
00:48.1, 246.5, 244.8
00:50.1, 255.9, 257.0
00:52.1, 258.4, 257.9
00:54.1, 262.4, 266.9
00:56.1, 268.1, 267.4
00:58.1, 267.3, 268.2
01:00.1, 270.1, 271.9
01:02.1, 271.5, 268.7
01:04.1, 270.4, 270.9
01:06.1, 272.8, 274.1
01:08.1, 278.1, 276.4
01:10.1, 279.7, 280.9
01:12.1, 283.9, 287.6
01:14.1, 286.6, 283.6
01:16.1, 286.1, 287.6
01:18.1, 286.5, 289.4
01:20.1, 290.1, 297.5
01:22.1, 296.2, 302.9
01:24.1, 300.1, 304.7
01:26.1, 305.4, 305.1
01:28.1, 306.4, 303.8
01:30.1, 309.9, 310.6
01:32.1, 312.8, 310.6
01:34.1, 317.6, 316.4
01:36.1, 312.6, 312.4
01:38.1, 314.0, 314.1
01:40.1, 315.3, 317.3
01:42.1, 318.4, 319.6
01:44.1, 320.7, 325.9
01:46.1, 324.8, 324.5
01:48.1, 324.0, 324.5
01:50.1, 319.7, 318.2
01:52.1, 321.7, 323.1
01:54.1, 327.5, 330.8
01:56.1, 329.0, 330.8
01:58.1, 330.8, 332.1
02:00.1, 329.8, 330.8
02:02.1, 331.7, 332.1
02:04.1, 333.1, 333.5
02:06.1, 335.8, 337.6
02:08.1, 335.5, 333.5
02:10.1, 337.1, 339.8
02:12.1, 342.2, 340.2
02:14.1, 343.4, 344.3
