Sumatra Buah Buahan
Run #05,T_amb=76.0
elapsed, t_avg(15), t_bean
00:00.1, 68.8, 79.2
00:02.1, 81.3, 84.7
00:04.1, 105.7, 123.8
00:06.1, 141.6, 167.0
00:08.1, 169.9, 174.7
00:10.1, 155.4, 170.6
00:12.1, 178.4, 175.6
00:14.1, 172.0, 179.6
00:16.1, 189.9, 200.8
00:18.1, 198.0, 201.2
00:20.1, 192.7, 176.0
00:22.1, 173.0, 179.2
00:24.1, 189.0, 193.6
00:26.1, 194.5, 199.4
00:28.1, 213.1, 215.6
00:30.1, 211.4, 217.4
00:32.1, 229.6, 227.3
00:34.1, 226.6, 223.2
00:36.1, 217.4, 218.3
00:38.1, 213.6, 208.4
00:40.1, 219.7, 224.2
00:42.1, 224.6, 230.4
00:44.1, 240.1, 239.4
00:46.1, 235.9, 232.7
00:48.1, 236.0, 239.9
00:50.1, 240.1, 241.2
00:52.1, 244.6, 246.7
00:54.1, 254.4, 255.7
00:56.1, 278.7, 287.6
00:58.1, 286.2, 288.1
01:00.1, 276.9, 272.3
01:02.1, 273.1, 284.0
01:04.1, 289.1, 293.4
01:06.1, 287.2, 289.4
01:08.1, 291.4, 286.2
01:10.1, 286.2, 284.4
01:12.1, 287.5, 292.6
01:14.1, 288.4, 287.1
01:16.1, 294.4, 300.2
01:18.1, 297.1, 297.1
01:20.1, 299.1, 303.8
01:22.1, 307.5, 312.8
01:24.1, 307.8, 306.1
01:26.1, 307.0, 316.9
01:28.1, 320.1, 318.6
01:30.1, 317.5, 315.9
01:32.1, 322.2, 320.9
01:34.1, 321.8, 317.8
01:36.1, 320.9, 323.1
01:38.1, 323.2, 320.0
01:40.1, 325.3, 327.2
01:42.1, 329.0, 327.6
01:44.1, 330.6, 327.6
01:46.1, 331.3, 338.0
01:48.1, 340.6, 338.9
01:50.1, 339.9, 341.1
01:52.1, 338.6, 339.8
01:54.1, 340.2, 344.3
01:56.1, 341.8, 341.6
01:58.1, 348.9, 349.7
02:00.1, 347.5, 350.1
02:02.1, 349.1, 348.8
02:04.1, 355.2, 357.4
02:06.1, 355.1, 359.6
02:08.1, 356.9, 354.6
02:10.1, 356.4, 356.9
02:12.1, 353.6, 355.6
02:14.1, 356.1, 358.7
02:16.1, 356.7, 356.9
02:18.1, 357.1, 357.8
02:20.1, 359.1, 359.1
02:22.1, 361.7, 368.6
02:24.1, 359.2, 358.7
02:26.1, 353.9, 348.8
02:28.1, 347.1, 344.8
02:30.1, 347.2, 357.4
02:32.1, 360.9, 360.5
02:34.1, 361.8, 358.2
02:36.1, 365.0, 363.6
02:38.1, 366.3, 365.4
02:40.1, 366.0, 369.9
02:42.1, 369.7, 370.4
02:44.1, 370.6, 368.1
02:46.1, 370.3, 368.6
02:48.1, 369.7, 371.3
02:50.1, 370.5, 367.7
02:52.1, 372.2, 371.3
02:54.1, 375.6, 384.8
02:56.1, 376.6, 378.5
02:58.1, 377.4, 382.6
03:00.1, 381.0, 382.1
03:02.1, 378.3, 380.8
03:04.1, 378.1, 380.3
03:06.1, 378.1, 378.9
03:08.1, 377.2, 376.2
03:10.1, 375.5, 374.9
03:12.1, 379.9, 383.4
03:14.1, 379.4, 380.8
03:16.1, 381.1, 381.2
03:18.1, 380.1, 378.9
03:20.1, 381.3, 383.4
03:22.1, 382.5, 382.1
03:24.1, 383.5, 383.4
03:26.1, 382.8, 383.0
03:28.1, 384.4, 383.4
03:30.1, 384.6, 386.1
03:32.1, 385.3, 386.1
03:34.1, 386.8, 387.1
03:36.1, 389.6, 392.4
03:38.1, 391.8, 396.5
03:40.1, 392.4, 391.1
03:42.1, 393.0, 394.2
03:44.1, 392.8, 396.1
03:46.1, 392.8, 389.8
03:48.1, 391.1, 389.3
03:50.1, 391.0, 389.3
03:52.1, 393.1, 394.7
03:54.1, 393.0, 395.6
03:56.1, 403.2, 406.4
03:58.1, 402.2, 401.0
04:00.1, 406.4, 406.4
04:02.1, 406.6, 405.5
04:04.1, 406.9, 408.6
04:06.1, 407.5, 406.9
04:08.1, 405.5, 406.9
04:10.1, 406.6, 405.5
04:12.1, 409.0, 410.4
04:14.1, 411.5, 411.4
04:16.1, 413.6, 415.4
04:18.1, 417.6, 423.1
04:20.1, 418.2, 416.3
