Sumatra Buah Buahan
Run #16,T_amb=79.1
elapsed, t_avg(15), t_bean
00:00.1, 68.3, 72.0
00:02.1, 72.7, 74.8
00:04.1, 79.9, 83.8
00:06.1, 88.9, 91.0
00:08.1, 101.8, 103.5
00:10.1, 109.5, 119.3
00:12.1, 120.0, 119.3
00:14.1, 127.5, 131.9
00:16.1, 135.6, 137.8
00:18.1, 144.0, 141.3
00:20.1, 155.4, 158.9
00:22.1, 161.9, 164.8
00:24.1, 166.8, 171.1
00:26.1, 174.1, 172.8
00:28.1, 179.6, 188.2
00:30.1, 189.5, 191.3
00:32.1, 197.4, 200.3
00:34.1, 202.2, 203.9
00:36.1, 209.8, 211.6
00:38.1, 216.4, 217.8
00:40.1, 221.4, 222.8
00:42.1, 224.6, 230.0
00:44.1, 234.4, 237.2
00:46.1, 242.8, 246.2
00:48.1, 246.8, 250.7
00:50.1, 250.6, 252.5
00:52.1, 253.7, 256.6
00:54.1, 257.8, 256.6
00:56.1, 257.4, 263.3
00:58.1, 262.2, 264.2
01:00.1, 265.5, 265.6
01:02.1, 274.1, 274.1
01:04.1, 277.3, 276.4
01:06.1, 278.6, 281.8
01:08.1, 285.0, 289.9
01:10.1, 288.6, 292.1
01:12.1, 292.2, 291.2
01:14.1, 293.5, 294.4
01:16.1, 295.2, 293.9
01:18.1, 302.5, 303.4
01:20.1, 301.5, 303.4
01:22.1, 304.8, 307.9
01:24.1, 307.5, 308.8
01:26.1, 310.9, 309.6
01:28.1, 314.7, 315.1
01:30.1, 316.9, 319.1
01:32.1, 320.2, 320.9
01:34.1, 322.2, 323.6
01:36.1, 325.0, 324.9
01:38.1, 324.7, 329.4
01:40.1, 327.9, 326.8
01:42.1, 331.6, 334.9
01:44.1, 335.4, 335.8
01:46.1, 337.9, 342.5
01:48.1, 342.5, 339.4
01:50.1, 342.4, 340.2
01:52.1, 344.4, 347.9
01:54.1, 349.3, 355.6
01:56.1, 349.6, 352.4
01:58.1, 355.9, 357.8
02:00.1, 358.8, 360.5
02:02.1, 353.7, 350.1
02:04.1, 348.5, 347.0
02:06.1, 349.6, 348.8
02:08.1, 343.7, 342.9
02:10.1, 344.1, 344.3
02:12.1, 347.8, 349.7
02:14.1, 352.1, 353.8
02:16.1, 352.1, 356.0
02:18.1, 352.1, 353.8
02:20.1, 352.3, 352.9
02:22.1, 352.1, 351.5
02:24.1, 351.3, 348.8
02:26.1, 355.0, 358.2
02:28.1, 360.7, 362.3
02:30.1, 359.9, 355.1
02:32.1, 359.4, 358.7
02:34.1, 365.1, 366.4
02:36.1, 364.1, 361.9
02:38.1, 365.5, 367.7
02:40.1, 365.6, 365.0
02:42.1, 364.0, 364.1
02:44.1, 366.3, 365.9
02:46.1, 368.6, 372.2
02:48.1, 371.5, 371.3
02:50.1, 371.0, 369.9
02:52.1, 372.0, 372.2
02:54.1, 374.4, 375.8
02:56.1, 376.2, 379.4
02:58.1, 379.5, 378.9
03:00.1, 381.6, 380.3
03:02.1, 382.4, 380.3
03:04.1, 379.1, 379.9
03:06.1, 381.4, 380.3
03:08.1, 381.9, 380.3
03:10.1, 381.7, 379.4
03:12.1, 383.5, 383.0
03:14.1, 387.0, 386.6
03:16.1, 385.1, 384.4
03:18.1, 383.1, 383.9
03:20.1, 385.0, 386.1
03:22.1, 386.6, 385.7
03:24.1, 387.1, 390.2
03:26.1, 390.6, 391.6
03:28.1, 393.3, 396.1
03:30.1, 395.4, 396.9
03:32.1, 396.9, 395.6
03:34.1, 403.4, 402.4
03:36.1, 403.0, 398.3
03:38.1, 398.2, 398.3
03:40.1, 400.6, 401.9
03:42.1, 400.1, 398.3
03:44.1, 400.0, 397.9
03:46.1, 399.4, 401.4
03:48.1, 403.9, 400.1
03:50.1, 402.9, 400.1
03:52.1, 399.2, 401.4
03:54.1, 403.8, 405.1
03:56.1, 406.5, 408.6
03:58.1, 411.5, 411.4
04:00.1, 410.9, 409.1
04:02.1, 406.9, 405.5
04:04.1, 404.7, 404.6
04:06.1, 410.7, 417.6
04:08.1, 413.9, 411.4
04:10.1, 412.1, 412.7
04:12.1, 411.6, 407.3
04:14.1, 415.1, 416.3
04:16.1, 417.4, 417.2
04:18.1, 418.0, 421.7
04:20.1, 420.1, 420.4
04:22.1, 420.4, 419.9
04:24.1, 420.9, 420.8
04:26.1, 419.2, 420.4
04:28.1, 418.3, 418.1
04:30.1, 422.3, 422.1
04:32.1, 421.5, 420.8
04:34.1, 423.7, 423.1
04:36.1, 424.3, 425.3
04:38.1, 425.9, 424.9
04:40.1, 425.1, 422.6
04:42.1, 426.3, 426.6
04:44.1, 426.1, 426.6
04:46.1, 425.8, 424.9
04:48.1, 425.2, 423.5
04:50.1, 427.0, 428.9
04:52.1, 427.8, 426.2
04:54.1, 428.2, 428.4
04:56.1, 429.0, 428.9
04:58.1, 432.1, 428.9
05:00.1, 431.6, 430.7
05:02.1, 430.7, 433.4
05:04.1, 434.8, 435.2
05:06.1, 441.5, 442.4
05:08.1, 437.7, 435.6
05:10.1, 439.9, 442.9
05:12.1, 440.9, 442.4
05:14.1, 442.7, 441.9
05:16.1, 442.1, 441.1
05:18.1, 441.1, 441.9
05:20.1, 445.6, 447.4
05:22.1, 469.5, 439.7
05:24.1, 442.1, 444.2
05:26.1, 442.6, 442.9
05:28.1, 445.0, 444.2
05:30.1, 445.0, 442.4
05:32.1, 445.7, 451.4
05:34.1, 448.0, 448.2
05:36.1, 449.7, 452.3
05:38.1, 448.4, 446.9
