Sumatra Buah Buahan
Run #23,T_amb=80.8
elapsed, t_avg(15), t_bean
00:00.1, 69.7, 92.8
00:02.1, 93.0, 95.5
00:04.1, 97.5, 103.1
00:06.1, 107.7, 113.9
00:08.1, 123.3, 126.5
00:10.1, 133.3, 136.8
00:12.1, 143.4, 143.6
00:14.1, 148.1, 152.6
00:16.1, 159.6, 169.2
00:18.1, 169.9, 172.8
00:20.1, 176.1, 180.9
00:22.1, 186.6, 190.8
00:24.1, 191.5, 193.6
00:26.1, 198.2, 202.6
00:28.1, 205.5, 207.9
00:30.1, 207.0, 210.2
00:32.1, 218.5, 221.9
00:34.1, 223.7, 223.2
00:36.1, 222.3, 222.8
00:38.1, 230.2, 234.5
00:40.1, 233.2, 234.9
00:42.1, 233.3, 236.3
00:44.1, 234.6, 235.8
00:46.1, 242.2, 246.2
00:48.1, 247.5, 251.6
00:50.1, 253.3, 252.5
00:52.1, 257.7, 259.7
00:54.1, 259.1, 259.2
00:56.1, 264.9, 263.3
00:58.1, 262.9, 262.4
01:00.1, 264.4, 267.4
01:02.1, 268.9, 265.6
01:04.1, 268.4, 270.5
01:06.1, 271.8, 272.3
01:08.1, 277.0, 278.1
01:10.1, 278.4, 279.9
01:12.1, 283.1, 286.2
01:14.1, 287.9, 290.8
01:16.1, 290.4, 296.6
01:18.1, 301.9, 306.1
01:20.1, 303.1, 297.1
01:22.1, 302.2, 303.8
01:24.1, 306.8, 306.9
01:26.1, 301.8, 299.3
01:28.1, 299.3, 301.6
01:30.1, 302.5, 300.6
01:32.1, 302.9, 303.8
01:34.1, 307.8, 311.4
01:36.1, 310.3, 308.3
01:38.1, 312.0, 315.5
01:40.1, 318.0, 317.3
01:42.1, 316.0, 321.8
01:44.1, 321.2, 319.6
01:46.1, 321.2, 321.4
01:48.1, 322.1, 321.4
01:50.1, 322.6, 326.3
01:52.1, 326.8, 326.3
01:54.1, 329.2, 331.7
01:56.1, 330.1, 328.1
01:58.1, 331.6, 333.9
02:00.1, 335.1, 334.4
02:02.1, 338.3, 339.4
02:04.1, 338.7, 336.6
02:06.1, 338.8, 340.2
02:08.1, 341.8, 343.4
02:10.1, 341.4, 340.2
02:12.1, 341.6, 345.6
02:14.1, 345.6, 346.1
02:16.1, 346.1, 344.8
02:18.1, 349.1, 348.8
02:20.1, 350.4, 349.7
02:22.1, 350.8, 356.9
02:24.1, 353.6, 353.3
02:26.1, 353.7, 353.8
02:28.1, 355.4, 357.8
02:30.1, 359.6, 358.2
02:32.1, 359.1, 359.1
02:34.1, 359.8, 362.8
02:36.1, 360.2, 358.2
02:38.1, 365.6, 365.4
02:40.1, 365.7, 365.4
02:42.1, 366.4, 372.2
02:44.1, 368.6, 368.6
02:46.1, 366.9, 365.9
02:48.1, 367.8, 369.5
02:50.1, 373.4, 374.0
02:52.1, 370.7, 370.4
02:54.1, 372.1, 372.2
02:56.1, 374.4, 375.4
02:58.1, 376.0, 379.9
03:00.1, 375.6, 375.8
03:02.1, 375.3, 376.2
03:04.1, 378.9, 378.5
03:06.1, 380.6, 379.4
03:08.1, 382.2, 386.1
03:10.1, 383.6, 382.6
03:12.1, 385.6, 384.8
03:14.1, 388.2, 385.2
03:16.1, 387.1, 387.9
03:18.1, 387.7, 387.5
03:20.1, 390.1, 389.8
03:22.1, 391.8, 391.6
03:24.1, 391.6, 388.9
03:26.1, 389.9, 390.6
03:28.1, 391.5, 392.4
03:30.1, 392.4, 392.4
03:32.1, 394.1, 396.1
03:34.1, 396.1, 397.4
03:36.1, 399.1, 397.4
03:38.1, 396.3, 396.1
03:40.1, 399.4, 400.6
03:42.1, 399.9, 398.3
03:44.1, 401.6, 399.6
03:46.1, 404.3, 407.3
03:48.1, 403.9, 403.7
03:50.1, 402.2, 401.4
03:52.1, 403.8, 402.4
03:54.1, 405.7, 404.6
03:56.1, 403.8, 403.7
03:58.1, 407.6, 406.9
04:00.1, 405.9, 407.3
04:02.1, 407.5, 409.1
04:04.1, 411.1, 409.6
04:06.1, 410.3, 411.4
04:08.1, 410.8, 409.1
04:10.1, 410.5, 411.8
04:12.1, 411.9, 409.6
04:14.1, 410.0, 412.7
04:16.1, 412.0, 412.7
04:18.1, 413.7, 412.2
04:20.1, 413.4, 414.9
04:22.1, 417.1, 416.3
04:24.1, 416.1, 416.8
04:26.1, 416.1, 418.1
04:28.1, 418.0, 417.2
04:30.1, 417.0, 414.5
04:32.1, 416.9, 414.9
04:34.1, 418.8, 419.4
04:36.1, 417.6, 418.1
04:38.1, 419.7, 420.8
04:40.1, 417.6, 417.2
04:42.1, 419.2, 418.6
04:44.1, 421.9, 420.4
04:46.1, 424.0, 422.6
04:48.1, 421.0, 420.4
04:50.1, 423.4, 422.1
04:52.1, 423.6, 423.5
04:54.1, 426.0, 425.3
04:56.1, 425.8, 426.2
04:58.1, 427.2, 426.6
05:00.1, 428.6, 430.2
05:02.1, 430.0, 429.4
05:04.1, 431.1, 432.1
05:06.1, 431.8, 430.7
05:08.1, 431.4, 429.4
05:10.1, 433.2, 433.4
05:12.1, 434.1, 434.8
05:14.1, 434.5, 435.2
05:16.1, 435.2, 436.1
05:18.1, 435.3, 437.0
05:20.1, 439.2, 438.8
05:22.1, 438.7, 442.4
05:24.1, 442.0, 442.4
05:26.1, 441.9, 442.9
05:28.1, 442.9, 446.9
05:30.1, 445.9, 439.2
05:32.1, 447.4, 450.1
05:34.1, 449.9, 450.5
05:36.1, 447.4, 446.9
05:38.1, 449.3, 447.8
05:40.1, 448.2, 450.9
05:42.1, 452.3, 453.2
05:44.1, 452.6, 452.3
05:46.1, 450.3, 450.1
05:48.1, 451.0, 452.3
05:50.1, 452.7, 453.6
05:52.1, 454.6, 455.4
05:54.1, 455.7, 455.9
05:56.1, 456.1, 455.9
05:58.1, 457.1, 457.7
06:00.1, 458.1, 457.7
06:02.1, 458.0, 464.0
06:04.1, 463.6, 465.4
06:06.1, 463.3, 464.4
06:08.1, 462.6, 461.8
06:10.1, 464.1, 467.1
06:12.1, 467.5, 464.9
06:14.1, 464.9, 466.7
06:16.1, 468.1, 467.1
06:18.1, 466.9, 467.6
06:20.1, 468.8, 469.4
06:22.1, 467.9, 468.9
06:24.1, 469.9, 466.2
06:26.1, 467.7, 471.2
06:28.1, 468.4, 472.1
06:30.1, 473.1, 474.8
06:32.1, 469.5, 467.1
06:34.1, 472.4, 472.6
06:36.1, 474.8, 472.1
06:38.1, 474.6, 470.8
06:40.1, 474.2, 470.8
06:42.1, 474.2, 472.6
06:44.1, 472.5, 471.2
06:46.1, 475.2, 476.1
06:48.1, 474.4, 475.2
06:50.1, 477.0, 478.4
06:52.1, 469.4, 462.2
06:54.1, 441.1, 426.2
06:56.1, 415.4, 407.3
06:58.1, 393.3, 388.9
07:00.1, 371.6, 368.1
07:02.1, 358.8, 354.2
07:04.1, 344.1, 337.6
07:06.1, 332.5, 331.7
07:08.1, 323.0, 322.2
07:10.1, 315.1, 314.6
07:12.1, 308.2, 307.4
07:14.1, 302.7, 296.6
07:16.1, 298.0, 294.8
07:18.1, 289.8, 287.6
07:20.1, 281.8, 280.9
07:22.1, 280.8, 281.3
07:24.1, 278.1, 273.6
07:26.1, 271.5, 270.9
