Decaf Colombia
Run #01
elapsed, t_avg(10)
04:34.2, 428.8
04:35.1, 428.6
04:36.1, 428.5
04:37.0, 428.8
04:38.0, 429.2
04:38.9, 429.5
04:39.9, 430.0
04:40.8, 430.5
04:41.8, 430.8
04:42.7, 430.5
04:43.7, 430.3
04:44.6, 431.1
04:45.6, 431.4
04:46.5, 431.8
04:47.5, 432.1
04:48.5, 432.3
04:49.4, 432.9
04:50.4, 433.1
04:51.3, 433.4
04:52.3, 433.9
04:53.2, 434.8
04:54.2, 435.2
04:55.1, 436.2
04:56.1, 436.7
04:57.0, 437.4
04:58.0, 437.9
04:58.9, 437.7
04:59.9, 438.6
05:00.8, 439.3
05:01.8, 440.0
05:02.7, 439.4
05:03.7, 439.6
05:04.7, 439.2
05:05.6, 439.2
05:06.6, 439.5
05:07.5, 439.7
05:08.5, 440.3
05:09.4, 440.2
05:10.4, 440.1
05:11.3, 439.9
05:12.3, 440.4
05:13.2, 440.7
05:14.2, 441.5
05:15.1, 442.2
05:16.1, 442.2
05:17.0, 442.8
05:18.0, 443.0
05:18.9, 443.5
05:19.9, 443.6
05:20.9, 444.3
05:21.8, 444.5
05:22.8, 444.5
05:23.7, 444.4
05:24.7, 444.6
05:25.6, 445.3
05:26.6, 445.3
05:27.5, 445.5
05:28.5, 445.5
05:29.4, 446.6
05:30.4, 446.7
05:31.3, 447.6
05:32.3, 447.8
05:33.2, 448.0
05:34.2, 448.1
05:35.1, 448.1
05:36.1, 448.4
05:37.0, 448.6
05:38.0, 449.0
05:38.9, 449.3
05:39.9, 449.7
05:40.8, 449.4
05:41.8, 449.6
05:42.7, 450.1
05:43.7, 450.2
05:44.6, 450.5
05:45.6, 450.8
05:46.5, 450.6
05:47.5, 450.7
05:48.5, 450.2
05:49.4, 450.7
05:50.4, 451.6
05:51.3, 451.9
05:52.3, 452.0
05:53.2, 452.5
05:54.2, 452.8
05:55.1, 453.6
05:56.1, 454.8
05:57.0, 454.8
05:58.0, 455.2
05:58.9, 455.3
05:59.9, 455.1
06:00.8, 455.8
06:01.8, 455.9
06:02.7, 456.3
06:03.7, 456.4
06:04.6, 456.1
06:05.6, 455.9
06:06.5, 456.2
06:07.5, 456.5
06:08.5, 456.6
06:09.4, 456.6
06:10.4, 456.8
06:11.3, 457.3
06:12.3, 457.7
06:13.2, 458.2
06:14.2, 459.0
06:15.1, 458.9
06:16.1, 458.9
06:17.0, 458.9
06:18.0, 459.0
06:18.9, 459.4
06:19.9, 459.2
06:20.9, 459.2
06:21.8, 459.3
06:22.8, 459.6
06:23.7, 459.5
06:24.7, 460.6
06:25.6, 461.1
06:26.6, 461.8
06:27.5, 462.7
