Ethiopia Sidamo
Run #38,T_amb=75.2
elapsed, t_avg(15), t_bean
00:00.1, 68.0, 68.5
00:02.1, 69.8, 71.2
00:04.1, 84.5, 99.5
00:06.1, 97.5, 95.9
00:08.1, 114.2, 119.3
00:10.1, 125.7, 122.9
00:12.1, 132.2, 129.2
00:14.1, 142.0, 151.7
00:16.1, 144.5, 149.0
00:18.1, 151.1, 155.3
00:20.1, 162.1, 163.4
00:22.1, 170.8, 172.4
00:24.1, 184.0, 184.6
00:26.1, 192.0, 192.2
00:28.1, 193.0, 194.9
00:30.1, 197.3, 195.3
00:32.1, 203.2, 205.7
00:34.1, 209.7, 219.7
00:36.1, 222.2, 225.9
00:38.1, 228.3, 229.6
00:40.1, 231.6, 239.0
00:42.1, 236.3, 241.7
00:44.1, 243.0, 243.5
00:46.1, 245.8, 248.4
00:48.1, 251.1, 256.1
00:50.1, 257.2, 260.1
00:52.1, 261.1, 263.8
00:54.1, 265.9, 266.0
00:56.1, 272.8, 278.1
00:58.1, 276.5, 277.7
01:00.1, 274.7, 273.6
01:02.1, 280.4, 282.6
01:04.1, 285.4, 285.8
01:06.1, 285.8, 284.9
01:08.1, 288.9, 291.2
01:10.1, 291.7, 299.8
01:12.1, 295.8, 296.6
01:14.1, 301.0, 302.4
01:16.1, 300.8, 297.9
01:18.1, 304.2, 303.8
01:20.1, 307.6, 310.6
01:22.1, 313.5, 317.3
01:24.1, 312.5, 311.4
01:26.1, 313.4, 312.8
01:28.1, 316.0, 317.3
01:30.1, 317.8, 317.3
01:32.1, 320.3, 318.2
01:34.1, 322.5, 326.8
01:36.1, 326.2, 327.2
01:38.1, 329.6, 332.6
01:40.1, 335.5, 338.4
01:42.1, 336.0, 337.1
01:44.1, 336.8, 332.1
01:46.1, 334.5, 337.1
01:48.1, 339.6, 341.6
01:50.1, 341.5, 344.8
01:52.1, 345.3, 347.0
01:54.1, 346.2, 348.8
01:56.1, 344.0, 342.9
01:58.1, 347.8, 352.4
02:00.1, 349.2, 348.8
02:02.1, 350.7, 357.4
02:04.1, 353.2, 355.1
02:06.1, 352.3, 350.1
02:08.1, 355.3, 359.1
02:10.1, 356.9, 360.1
02:12.1, 361.1, 363.2
02:14.1, 364.1, 365.0
02:16.1, 364.4, 361.4
02:18.1, 362.3, 362.8
02:20.1, 364.2, 363.6
02:22.1, 365.0, 367.7
02:24.1, 365.7, 367.2
02:26.1, 369.0, 368.1
02:28.1, 370.8, 370.4
02:30.1, 372.0, 372.2
02:32.1, 375.1, 374.4
02:34.1, 377.9, 376.2
02:36.1, 377.9, 380.3
02:38.1, 379.8, 377.1
02:40.1, 380.6, 378.5
02:42.1, 379.7, 381.2
02:44.1, 382.4, 382.1
02:46.1, 384.7, 383.4
02:48.1, 384.2, 383.4
02:50.1, 385.6, 385.2
02:52.1, 384.1, 383.4
02:54.1, 386.0, 386.1
02:56.1, 386.3, 384.4
02:58.1, 386.5, 387.9
03:00.1, 392.1, 393.8
03:02.1, 391.7, 387.9
03:04.1, 392.3, 396.5
03:06.1, 394.9, 390.6
03:08.1, 395.1, 394.7
03:10.1, 397.4, 397.4
03:12.1, 399.2, 398.3
03:14.1, 398.1, 399.6
03:16.1, 399.4, 396.5
03:18.1, 399.8, 397.4
03:20.1, 402.1, 402.4
03:22.1, 402.0, 401.4
03:24.1, 404.0, 401.9
03:26.1, 403.3, 405.9
03:28.1, 407.0, 406.9
03:30.1, 406.7, 404.1
03:32.1, 406.9, 405.9
03:34.1, 406.9, 406.9
03:36.1, 408.9, 413.6
03:38.1, 409.6, 412.7
03:40.1, 410.8, 409.6
03:42.1, 411.4, 410.9
03:44.1, 412.0, 414.5
03:46.1, 412.6, 415.9
03:48.1, 413.7, 419.4
03:50.1, 417.4, 416.8
03:52.1, 416.1, 416.3
03:54.1, 418.7, 415.4
03:56.1, 417.0, 416.3
03:58.1, 419.3, 420.4
04:00.1, 418.9, 417.2
04:02.1, 419.3, 418.6
04:04.1, 421.7, 422.1
04:06.1, 423.5, 423.5
04:08.1, 426.9, 425.3
04:10.1, 423.7, 425.3
04:12.1, 427.1, 427.1
04:14.1, 426.4, 427.1
04:16.1, 427.0, 427.1
04:18.1, 430.0, 434.8
04:20.1, 430.9, 431.1
04:22.1, 430.3, 431.6
04:24.1, 432.6, 431.1
04:26.1, 431.4, 433.4
04:28.1, 433.9, 432.1
04:30.1, 432.5, 433.4
04:32.1, 431.7, 432.5
04:34.1, 432.9, 432.1
04:36.1, 435.6, 435.2
04:38.1, 433.2, 433.9
04:40.1, 435.9, 436.6
04:42.1, 436.1, 435.2
04:44.1, 438.4, 440.6
04:46.1, 438.7, 437.4
04:48.1, 439.6, 440.1
04:50.1, 440.6, 441.9
04:52.1, 442.1, 443.8
04:54.1, 443.8, 441.9
04:56.1, 443.2, 444.6
04:58.1, 444.5, 443.8
05:00.1, 444.4, 445.1
05:02.1, 445.2, 447.4
05:04.1, 446.4, 446.0
05:06.1, 447.3, 449.1
05:08.1, 447.6, 450.9
05:10.1, 450.5, 453.2
05:12.1, 449.9, 450.1
05:14.1, 451.9, 451.4
05:16.1, 450.8, 448.7
05:18.1, 451.4, 451.9
05:20.1, 453.5, 452.3
05:22.1, 451.6, 451.4
05:24.1, 454.4, 452.8
05:26.1, 455.6, 455.4
05:28.1, 455.1, 456.8
05:30.1, 456.0, 458.1
05:32.1, 456.9, 456.8
05:34.1, 458.0, 457.7
05:36.1, 456.1, 455.9
05:38.1, 456.5, 456.4
05:40.1, 458.9, 459.5
05:42.1, 458.1, 458.1
05:44.1, 460.1, 462.2
05:46.1, 461.6, 459.5
05:48.1, 463.0, 462.2
05:50.1, 462.6, 461.8
05:52.1, 464.7, 462.2
05:54.1, 463.4, 462.6
05:56.1, 464.1, 464.0
05:58.1, 465.9, 466.2
06:00.1, 460.8, 451.9
