Ethiopia Sidamo
Run #37,T_amb=76.0
elapsed, t_avg(15), t_bean
00:00.1, 67.8, 65.3
00:02.1, 65.1, 68.9
00:04.1, 73.3, 80.6
00:06.1, 83.6, 92.3
00:08.1, 88.9, 91.0
00:10.1, 95.4, 102.7
00:12.1, 114.4, 113.5
00:14.1, 116.1, 117.5
00:16.1, 127.2, 139.1
00:18.1, 133.7, 136.8
00:20.1, 139.9, 141.3
00:22.1, 148.3, 155.8
00:24.1, 162.1, 167.0
00:26.1, 167.8, 169.2
00:28.1, 178.4, 185.9
00:30.1, 188.8, 191.3
00:32.1, 194.0, 195.8
00:34.1, 199.6, 203.0
00:36.1, 202.8, 205.2
00:38.1, 208.2, 211.1
00:40.1, 217.7, 223.7
00:42.1, 222.7, 221.9
00:44.1, 229.6, 232.7
00:46.1, 237.2, 241.2
00:48.1, 238.1, 239.4
00:50.1, 242.5, 245.8
00:52.1, 246.3, 247.6
00:54.1, 247.7, 250.2
00:56.1, 256.2, 256.6
00:58.1, 262.6, 265.1
01:00.1, 267.0, 270.1
01:02.1, 268.7, 269.6
01:04.1, 270.4, 273.2
01:06.1, 274.6, 275.0
01:08.1, 280.8, 280.4
01:10.1, 284.2, 289.9
01:12.1, 289.6, 290.8
01:14.1, 292.9, 294.4
01:16.1, 295.2, 296.1
01:18.1, 296.5, 299.3
01:20.1, 297.3, 296.6
01:22.1, 300.8, 301.1
01:24.1, 305.5, 306.1
01:26.1, 308.8, 310.6
01:28.1, 309.8, 312.4
01:30.1, 315.9, 316.9
01:32.1, 316.6, 316.9
01:34.1, 319.1, 320.9
01:36.1, 322.2, 321.4
01:38.1, 322.9, 324.9
01:40.1, 326.7, 331.2
01:42.1, 327.7, 329.0
01:44.1, 329.9, 332.1
01:46.1, 330.8, 330.8
01:48.1, 331.9, 335.3
01:50.1, 336.3, 336.2
01:52.1, 337.9, 341.6
01:54.1, 342.0, 341.6
01:56.1, 342.8, 342.9
01:58.1, 343.6, 343.9
02:00.1, 347.4, 344.8
02:02.1, 348.9, 349.7
02:04.1, 351.3, 351.5
02:06.1, 351.0, 351.5
02:08.1, 350.9, 351.1
02:10.1, 353.0, 352.9
02:12.1, 353.7, 355.6
02:14.1, 355.5, 355.1
02:16.1, 355.5, 359.6
02:18.1, 361.6, 360.1
02:20.1, 363.0, 366.8
02:22.1, 367.1, 365.9
02:24.1, 367.8, 374.4
02:26.1, 367.3, 368.1
02:28.1, 366.3, 365.9
02:30.1, 368.7, 368.1
02:32.1, 370.9, 372.2
02:34.1, 371.4, 373.1
02:36.1, 370.2, 373.6
02:38.1, 375.1, 379.4
02:40.1, 376.3, 375.4
02:42.1, 375.9, 374.9
02:44.1, 377.4, 382.6
02:46.1, 380.1, 379.4
02:48.1, 379.6, 378.1
02:50.1, 379.3, 383.9
02:52.1, 382.5, 380.8
02:54.1, 384.0, 383.4
02:56.1, 385.4, 390.2
02:58.1, 386.5, 385.7
03:00.1, 389.1, 389.8
03:02.1, 389.3, 389.3
03:04.1, 389.2, 389.8
03:06.1, 391.2, 389.8
03:08.1, 390.4, 391.1
03:10.1, 391.9, 392.9
03:12.1, 395.2, 396.9
03:14.1, 397.1, 396.1
03:16.1, 396.6, 398.3
03:18.1, 399.4, 396.9
03:20.1, 399.7, 400.6
03:22.1, 400.3, 400.6
03:24.1, 403.1, 402.4
03:26.1, 401.3, 403.2
03:28.1, 404.2, 402.4
03:30.1, 404.0, 405.5
03:32.1, 409.1, 411.4
03:34.1, 408.0, 406.9
03:36.1, 408.6, 408.2
03:38.1, 408.6, 410.9
03:40.1, 410.1, 409.6
03:42.1, 409.9, 409.1
03:44.1, 411.1, 410.0
03:46.1, 411.9, 413.1
03:48.1, 413.5, 414.1
03:50.1, 413.6, 414.9
03:52.1, 416.1, 415.9
03:54.1, 416.5, 420.4
03:56.1, 417.0, 414.9
03:58.1, 417.2, 417.6
04:00.1, 418.7, 417.2
04:02.1, 419.1, 419.4
04:04.1, 421.9, 423.9
04:06.1, 421.5, 417.6
04:08.1, 422.0, 421.2
04:10.1, 423.4, 422.6
04:12.1, 423.6, 423.1
04:14.1, 425.9, 428.4
04:16.1, 428.0, 427.6
04:18.1, 427.9, 428.0
04:20.1, 428.5, 428.9
04:22.1, 430.5, 430.2
04:24.1, 429.4, 429.8
04:26.1, 428.0, 431.1
04:28.1, 430.6, 429.8
04:30.1, 433.5, 432.5
04:32.1, 432.3, 430.2
04:34.1, 435.6, 438.4
04:36.1, 437.6, 440.6
04:38.1, 437.9, 436.1
04:40.1, 435.2, 433.4
04:42.1, 439.0, 437.4
04:44.1, 439.9, 441.1
04:46.1, 440.7, 439.7
04:48.1, 442.0, 445.6
04:50.1, 442.3, 441.5
04:52.1, 438.8, 437.9
04:54.1, 441.9, 439.7
04:56.1, 440.9, 441.9
04:58.1, 443.0, 446.0
05:00.1, 447.3, 445.1
05:02.1, 444.3, 446.9
05:04.1, 448.2, 447.8
05:06.1, 448.0, 446.0
05:08.1, 449.4, 450.5
05:10.1, 449.8, 452.8
05:12.1, 450.6, 454.1
05:14.1, 451.7, 451.9
05:16.1, 454.2, 453.2
05:18.1, 455.2, 454.6
05:20.1, 456.3, 452.8
05:22.1, 455.3, 455.0
05:24.1, 456.0, 455.9
05:26.1, 456.4, 454.6
05:28.1, 456.4, 455.4
05:30.1, 457.3, 456.8
05:32.1, 458.8, 459.1
05:34.1, 457.4, 455.0
05:36.1, 458.7, 461.8
05:38.1, 460.0, 459.1
05:40.1, 460.7, 459.1
05:42.1, 460.9, 462.6
05:44.1, 460.5, 461.8
05:46.1, 462.0, 459.9
05:48.1, 462.5, 462.6
05:50.1, 462.7, 458.1
