Ethiopia Sidamo
Run #12
elapsed, t_avg(10)
04:34.4, 440.5
04:35.3, 441.1
04:36.3, 441.6
04:37.2, 442.0
04:38.2, 442.2
04:39.1, 442.7
04:40.1, 443.0
04:41.0, 443.0
04:42.0, 443.4
04:42.9, 443.3
04:43.9, 443.4
04:44.8, 443.8
04:45.8, 444.2
04:46.7, 444.4
04:47.7, 444.6
04:48.6, 445.3
04:49.6, 445.7
04:50.6, 446.6
04:51.5, 447.0
04:52.5, 447.6
04:53.4, 448.0
04:54.4, 447.9
04:55.3, 448.2
04:56.3, 447.9
04:57.2, 447.9
04:58.2, 447.5
04:59.1, 447.7
05:00.1, 447.4
05:01.0, 447.3
05:02.0, 447.7
05:02.9, 448.2
05:03.9, 448.4
05:04.8, 448.2
05:05.8, 449.4
05:06.7, 450.1
05:07.7, 450.9
05:08.6, 451.1
05:09.6, 451.5
05:10.6, 452.2
05:11.5, 452.3
05:12.5, 452.7
05:13.4, 453.5
05:14.4, 454.2
05:15.3, 454.3
05:16.3, 454.9
05:17.2, 454.6
05:18.2, 455.0
05:19.1, 455.4
05:20.1, 455.2
05:21.0, 454.8
05:22.0, 454.7
05:22.9, 453.9
05:23.9, 453.7
05:24.8, 453.5
05:25.8, 453.2
05:26.7, 453.6
05:27.7, 453.7
05:28.6, 454.0
05:29.6, 454.7
05:30.6, 455.5
05:31.5, 455.9
05:32.5, 456.7
05:33.4, 457.1
05:34.4, 457.7
05:35.3, 458.3
05:36.3, 458.1
05:37.2, 458.6
05:38.2, 459.2
05:39.1, 459.5
05:40.1, 460.3
05:41.0, 460.5
05:42.0, 461.0
05:42.9, 461.7
05:43.9, 462.3
05:44.8, 462.5
05:45.8, 463.5
05:46.7, 463.8
05:47.7, 464.0
05:48.6, 464.7
05:49.6, 464.6
05:50.6, 465.1
05:51.5, 465.4
05:52.5, 465.8
05:53.4, 466.0
05:54.4, 466.8
05:55.3, 467.2
05:56.3, 467.7
05:57.2, 468.3
05:58.2, 467.9
05:59.1, 467.6
06:00.1, 467.3
06:01.0, 467.0
06:02.0, 466.6
06:02.9, 466.4
06:03.9, 466.0
06:04.8, 465.8
06:05.8, 464.9
06:06.7, 463.8
06:07.7, 463.6
06:08.6, 463.6
06:09.6, 463.5
06:10.6, 463.9
06:11.5, 464.1
06:12.5, 464.3
06:13.4, 464.8
06:14.4, 465.1
06:15.3, 464.9
06:16.3, 464.9
06:17.2, 464.4
06:18.2, 464.3
06:19.1, 464.5
06:20.1, 464.4
06:21.0, 464.0
06:22.0, 464.1
06:22.9, 463.9
06:23.9, 463.6
06:24.8, 464.4
06:25.8, 465.6
06:26.7, 466.6
06:27.7, 467.8
06:28.6, 468.5
06:29.6, 469.4
06:30.6, 470.2
06:31.5, 470.6
06:32.5, 469.7
06:33.4, 467.5
06:34.4, 463.9
06:35.3, 459.0
06:36.3, 453.0
06:37.2, 445.5
06:38.2, 437.3
06:39.1, 428.0
06:40.1, 418.4
06:41.0, 407.9
06:42.0, 398.0
06:42.9, 388.6
06:43.9, 380.1
06:44.8, 372.1
06:45.8, 364.9
06:46.7, 358.3
06:47.7, 352.4
06:48.6, 346.7
06:49.6, 341.1
06:50.6, 335.9
06:51.5, 331.2
06:52.5, 326.6
06:53.4, 322.2
06:54.4, 318.0
06:55.3, 314.0
06:56.3, 310.2
06:57.2, 306.5
06:58.2, 302.8
06:59.1, 299.4
07:00.1, 296.1
07:01.0, 292.8
07:02.0, 290.1
07:02.9, 287.2
07:03.9, 284.3
07:04.8, 281.7
07:05.8, 278.6
07:06.7, 275.8
07:07.7, 273.2
07:08.6, 270.7
07:09.6, 268.2
07:10.6, 266.1
07:11.5, 263.4
07:12.5, 261.3
07:13.4, 259.1
07:14.4, 256.8
07:15.3, 254.9
07:16.3, 252.7
07:17.2, 250.7
07:18.2, 248.6
07:19.1, 246.7
07:20.1, 244.6
07:21.0, 242.7
07:22.0, 240.7
07:22.9, 238.9
07:23.9, 237.2
07:24.8, 235.3
07:25.8, 233.6
07:26.7, 231.9
07:27.7, 230.4
07:28.6, 228.7
07:29.6, 227.1
07:30.6, 225.5
07:31.5, 224.1
07:32.5, 222.6
07:33.4, 221.1
07:34.4, 219.6
07:35.3, 218.1
07:36.3, 216.6
07:37.2, 214.9
07:38.2, 213.8
07:39.1, 212.3
07:40.1, 211.0
07:41.0, 209.4
07:42.0, 208.3
07:42.9, 207.1
07:43.9, 206.0
07:44.8, 205.0
07:45.8, 204.1
07:46.7, 203.2
07:47.7, 201.9
07:48.6, 200.8
07:49.6, 199.7
07:50.6, 198.6
07:51.5, 198.1
07:52.5, 198.0
07:53.4, 195.6
07:54.4, 191.6
07:55.3, 187.1
