Ethiopia Sidamo
Run #28,T_amb=74.3
elapsed, t_avg(15), t_bean
00:00.1, 68.1, 69.3
00:02.1, 71.0, 72.5
00:04.1, 101.0, 121.1
00:06.1, 140.2, 148.1
00:08.1, 157.0, 161.6
00:10.1, 168.5, 176.0
00:12.1, 179.7, 187.7
00:14.1, 218.7, 227.8
00:16.1, 232.0, 224.6
00:18.1, 231.9, 243.1
00:20.1, 242.6, 243.5
00:22.1, 233.1, 231.8
00:24.1, 266.1, 260.1
00:26.1, 250.8, 234.5
00:28.1, 235.5, 232.7
00:30.1, 225.3, 217.8
00:32.1, 220.8, 223.2
00:34.1, 220.4, 216.5
00:36.1, 215.9, 218.8
00:38.1, 223.0, 221.0
00:40.1, 226.7, 231.8
00:42.1, 231.0, 232.2
00:44.1, 233.8, 236.8
00:46.1, 254.1, 271.4
00:48.1, 273.1, 274.6
00:50.1, 274.3, 275.9
00:52.1, 280.2, 274.6
00:54.1, 278.7, 277.2
00:56.1, 278.7, 284.0
00:58.1, 282.2, 277.7
01:00.1, 278.1, 280.4
01:02.1, 285.1, 285.8
01:04.1, 288.4, 294.8
01:06.1, 292.0, 290.3
01:08.1, 292.2, 291.6
01:10.1, 290.6, 291.2
01:12.1, 299.3, 311.9
01:14.1, 300.0, 297.1
01:16.1, 301.7, 307.9
01:18.1, 308.4, 311.0
01:20.1, 308.1, 307.4
01:22.1, 309.0, 306.9
01:24.1, 308.5, 312.8
01:26.1, 314.8, 316.9
01:28.1, 319.3, 316.4
01:30.1, 317.5, 319.1
01:32.1, 326.5, 324.9
01:34.1, 325.8, 324.9
01:36.1, 330.1, 332.6
01:38.1, 335.3, 334.4
01:40.1, 333.9, 334.9
01:42.1, 336.2, 335.8
01:44.1, 337.8, 338.9
01:46.1, 340.8, 344.8
01:48.1, 344.4, 342.5
01:50.1, 345.8, 344.3
01:52.1, 348.8, 352.4
01:54.1, 348.3, 345.6
01:56.1, 342.0, 342.9
01:58.1, 349.5, 349.7
02:00.1, 352.7, 352.9
02:02.1, 351.9, 356.0
02:04.1, 357.3, 355.6
02:06.1, 355.0, 362.3
02:08.1, 360.5, 362.3
02:10.1, 362.2, 361.4
02:12.1, 366.4, 366.8
02:14.1, 364.8, 363.6
02:16.1, 365.5, 365.9
02:18.1, 366.9, 366.4
02:20.1, 365.7, 366.4
02:22.1, 364.5, 365.4
02:24.1, 365.6, 366.8
02:26.1, 368.4, 369.1
02:28.1, 367.7, 365.4
02:30.1, 369.6, 372.6
02:32.1, 373.6, 375.4
02:34.1, 372.3, 376.2
02:36.1, 379.0, 381.2
02:38.1, 380.7, 387.1
02:40.1, 380.7, 380.3
02:42.1, 379.9, 383.9
02:44.1, 381.8, 379.9
02:46.1, 381.8, 380.3
02:48.1, 384.4, 387.5
02:50.1, 384.9, 380.8
02:52.1, 383.2, 382.6
02:54.1, 387.5, 391.1
02:56.1, 394.7, 404.1
02:58.1, 395.2, 395.1
03:00.1, 394.2, 393.4
03:02.1, 395.2, 388.9
03:04.1, 388.4, 390.2
03:06.1, 389.9, 390.6
03:08.1, 392.1, 392.0
03:10.1, 391.4, 392.0
03:12.1, 394.0, 395.1
03:14.1, 393.6, 392.0
03:16.1, 393.4, 393.4
03:18.1, 397.2, 392.0
03:20.1, 393.3, 396.1
03:22.1, 395.5, 397.4
03:24.1, 396.9, 396.5
03:26.1, 396.1, 396.9
03:28.1, 398.3, 397.9
03:30.1, 402.8, 404.6
03:32.1, 403.8, 402.8
03:34.1, 403.2, 404.1
03:36.1, 404.5, 403.7
03:38.1, 405.3, 403.2
03:40.1, 409.0, 412.2
03:42.1, 407.0, 408.2
03:44.1, 414.7, 414.1
03:46.1, 415.7, 410.9
03:48.1, 412.2, 412.2
03:50.1, 412.2, 411.8
03:52.1, 416.1, 419.4
03:54.1, 415.2, 415.4
03:56.1, 417.1, 415.9
03:58.1, 417.0, 419.9
04:00.1, 420.9, 423.5
04:02.1, 421.4, 418.6
04:04.1, 416.4, 414.9
04:06.1, 416.1, 414.5
04:08.1, 421.4, 420.4
04:10.1, 421.5, 421.7
04:12.1, 420.0, 419.0
04:14.1, 424.6, 429.8
04:16.1, 426.5, 424.9
04:18.1, 429.6, 433.9
04:20.1, 429.7, 428.0
04:22.1, 428.9, 429.4
04:24.1, 429.9, 427.1
04:26.1, 427.4, 428.4
04:28.1, 431.3, 429.8
04:30.1, 431.9, 430.7
04:32.1, 433.6, 431.1
04:34.1, 436.1, 437.0
04:36.1, 443.7, 446.4
04:38.1, 447.6, 451.9
04:40.1, 448.7, 450.1
04:42.1, 450.0, 449.1
04:44.1, 453.2, 454.6
04:46.1, 453.6, 455.9
04:48.1, 455.0, 454.1
04:50.1, 456.1, 458.6
04:52.1, 459.1, 460.4
04:54.1, 457.1, 457.7
04:56.1, 453.5, 453.2
04:58.1, 452.5, 446.9
05:00.1, 448.1, 448.7
05:02.1, 448.9, 450.1
05:04.1, 454.1, 450.5
05:06.1, 455.8, 454.1
05:08.1, 455.2, 454.6
05:10.1, 454.2, 454.6
05:12.1, 454.8, 457.7
05:14.1, 454.6, 458.1
05:16.1, 457.3, 463.1
05:18.1, 460.9, 462.6
05:20.1, 459.3, 457.7
05:22.1, 456.1, 460.4
05:24.1, 457.3, 453.6
05:26.1, 456.5, 457.7
05:28.1, 459.0, 457.2
05:30.1, 461.7, 468.5
05:32.1, 461.5, 460.4
05:34.1, 464.0, 462.6
05:36.1, 464.8, 471.2
05:38.1, 467.1, 462.6
05:40.1, 469.4, 467.1
05:42.1, 470.4, 472.6
05:44.1, 472.6, 469.9
05:46.1, 472.3, 471.6
