Ethiopia Sidamo
Run #31,T_amb=71.7
elapsed, t_avg(15), t_bean
00:00.1, 68.4, 73.4
00:02.1, 84.5, 90.5
00:04.1, 114.9, 131.0
00:06.1, 141.5, 139.1
00:08.1, 135.6, 152.2
00:10.1, 171.5, 169.2
00:12.1, 158.8, 156.7
00:14.1, 163.1, 168.3
00:16.1, 183.0, 203.0
00:18.1, 203.7, 201.2
00:20.1, 206.8, 207.1
00:22.1, 220.7, 226.8
00:24.1, 229.4, 230.4
00:26.1, 247.0, 263.3
00:28.1, 268.8, 270.1
00:30.1, 265.0, 276.8
00:32.1, 273.8, 275.9
00:34.1, 271.4, 273.6
00:36.1, 264.1, 262.4
00:38.1, 269.7, 270.5
00:40.1, 281.8, 270.9
00:42.1, 275.2, 288.5
00:44.1, 274.9, 272.8
00:46.1, 287.5, 281.8
00:48.1, 277.4, 273.6
00:50.1, 286.4, 316.9
00:52.1, 293.2, 278.6
00:54.1, 280.5, 282.2
00:56.1, 283.7, 284.9
00:58.1, 277.3, 292.1
01:00.1, 284.8, 284.4
01:02.1, 288.1, 289.4
01:04.1, 283.2, 286.2
01:06.1, 284.2, 292.1
01:08.1, 294.3, 300.6
01:10.1, 305.1, 298.9
01:12.1, 304.7, 297.9
01:14.1, 304.0, 316.4
01:16.1, 311.8, 315.1
01:18.1, 322.8, 321.8
01:20.1, 328.2, 320.9
01:22.1, 315.4, 315.1
01:24.1, 310.6, 302.9
01:26.1, 304.4, 307.4
01:28.1, 309.6, 302.4
01:30.1, 308.6, 311.4
01:32.1, 315.3, 312.8
01:34.1, 323.4, 323.6
01:36.1, 327.6, 323.6
01:38.1, 326.6, 340.2
01:40.1, 335.6, 331.7
01:42.1, 341.4, 340.7
01:44.1, 343.9, 343.4
01:46.1, 342.6, 343.4
01:48.1, 334.5, 331.7
01:50.1, 333.5, 339.8
01:52.1, 339.5, 337.6
01:54.1, 340.6, 344.8
01:56.1, 345.3, 344.3
01:58.1, 342.2, 348.4
02:00.1, 346.5, 350.6
02:02.1, 355.3, 362.3
02:04.1, 357.0, 353.3
02:06.1, 358.6, 356.0
02:08.1, 360.9, 364.6
02:10.1, 359.8, 355.6
02:12.1, 354.7, 354.6
02:14.1, 358.0, 354.2
02:16.1, 360.4, 360.1
02:18.1, 366.2, 363.2
02:20.1, 364.3, 371.3
02:22.1, 366.6, 364.6
02:24.1, 366.7, 369.1
02:26.1, 369.7, 370.4
02:28.1, 367.9, 369.1
02:30.1, 371.0, 374.4
02:32.1, 375.1, 371.8
02:34.1, 377.4, 369.9
02:36.1, 366.3, 369.1
02:38.1, 366.2, 366.8
02:40.1, 370.4, 368.6
02:42.1, 372.8, 375.8
02:44.1, 376.2, 377.6
02:46.1, 386.4, 395.1
02:48.1, 385.7, 383.0
02:50.1, 384.3, 383.0
02:52.1, 385.6, 386.1
02:54.1, 384.4, 383.0
02:56.1, 378.4, 381.6
02:58.1, 382.8, 383.0
03:00.1, 385.0, 386.1
03:02.1, 385.8, 388.4
03:04.1, 385.6, 383.9
03:06.1, 387.9, 394.2
03:08.1, 393.3, 401.9
03:10.1, 396.9, 394.2
03:12.1, 399.2, 396.9
03:14.1, 393.9, 392.0
03:16.1, 390.3, 390.2
03:18.1, 390.4, 392.9
03:20.1, 393.5, 391.6
03:22.1, 397.2, 400.6
03:24.1, 396.2, 397.4
03:26.1, 396.0, 400.6
03:28.1, 400.9, 401.4
03:30.1, 400.3, 405.5
03:32.1, 401.7, 401.9
03:34.1, 402.4, 404.1
03:36.1, 405.4, 406.4
03:38.1, 404.8, 403.7
03:40.1, 404.2, 401.4
03:42.1, 406.4, 403.2
03:44.1, 404.9, 403.2
03:46.1, 404.6, 408.6
03:48.1, 415.1, 416.8
03:50.1, 416.0, 414.9
03:52.1, 416.4, 414.9
03:54.1, 416.1, 414.5
03:56.1, 416.4, 421.7
03:58.1, 414.6, 412.7
04:00.1, 419.0, 416.3
04:02.1, 417.8, 415.9
04:04.1, 417.5, 418.1
04:06.1, 415.0, 415.9
04:08.1, 415.2, 415.4
04:10.1, 421.0, 417.2
04:12.1, 419.0, 416.3
04:14.1, 419.6, 422.6
04:16.1, 428.0, 427.1
04:18.1, 422.1, 422.1
04:20.1, 427.1, 423.5
04:22.1, 423.7, 431.6
04:24.1, 426.4, 424.4
04:26.1, 424.7, 422.6
04:28.1, 424.0, 425.8
04:30.1, 432.7, 434.8
04:32.1, 435.1, 442.9
04:34.1, 436.2, 441.5
04:36.1, 433.0, 432.1
04:38.1, 433.0, 434.3
04:40.1, 433.5, 434.8
04:42.1, 431.6, 431.6
04:44.1, 432.9, 432.5
04:46.1, 432.6, 433.9
04:48.1, 432.4, 432.5
04:50.1, 432.9, 433.4
04:52.1, 438.9, 435.6
04:54.1, 439.8, 438.4
04:56.1, 440.0, 438.4
04:58.1, 439.6, 441.1
05:00.1, 439.6, 440.6
05:02.1, 441.1, 441.5
05:04.1, 441.0, 442.4
05:06.1, 444.2, 445.6
05:08.1, 445.5, 443.8
05:10.1, 443.7, 446.4
05:12.1, 445.3, 443.3
05:14.1, 446.6, 444.6
05:16.1, 447.6, 447.8
05:18.1, 448.2, 450.9
05:20.1, 449.3, 448.7
05:22.1, 449.5, 448.2
05:24.1, 450.2, 449.1
05:26.1, 450.2, 450.1
05:28.1, 452.5, 452.3
05:30.1, 453.3, 451.9
05:32.1, 452.4, 455.9
05:34.1, 456.0, 456.8
05:36.1, 454.3, 455.0
05:38.1, 455.6, 453.6
05:40.1, 455.5, 457.7
05:42.1, 457.5, 458.6
05:44.1, 458.1, 458.1
05:46.1, 458.2, 458.6
05:48.1, 459.6, 459.5
05:50.1, 458.9, 457.2
05:52.1, 461.4, 459.9
05:54.1, 458.2, 459.9
05:56.1, 459.8, 456.8
05:58.1, 457.1, 452.8
06:00.1, 455.5, 455.9
06:02.1, 456.0, 459.5
06:04.1, 458.7, 458.1
06:06.1, 657.9, 456.4
06:08.1, 457.7, 455.9
06:10.1, 457.5, 456.8
06:12.1, 459.3, 452.8
06:14.1, 458.2, 456.8
06:16.1, 456.1, 452.8
06:18.1, 461.9, 465.4
06:20.1, 462.3, 461.3
06:22.1, 462.7, 464.4
