Ethiopia Sidamo
Run #21,T_amb=75.4
elapsed, t_avg(15), t_bean
06:34.1, 320.6, 319.1
06:36.1, 314.1, 309.2
06:38.1, 303.8, 300.2
06:40.1, 298.4, 295.7
06:42.1, 294.1, 289.9
06:44.1, 285.3, 282.2
06:46.1, 278.4, 276.4
06:48.1, 273.2, 270.5
06:50.1, 269.0, 267.8
06:52.1, 264.9, 262.4
06:54.1, 258.9, 257.4
06:56.1, 254.6, 251.2
06:58.1, 250.2, 248.9
07:00.1, 246.3, 244.8
