Ethiopia Sidamo
Run #20,T_amb=74.5
elapsed, t_avg(15), t_bean
00:00.1, 68.3, 72.5
00:02.1, 77.3, 83.8
00:04.1, 92.2, 92.8
00:06.1, 98.9, 102.7
00:08.1, 110.5, 120.2
00:10.1, 119.5, 116.2
00:12.1, 126.2, 140.4
00:14.1, 139.0, 142.2
00:16.1, 143.2, 141.8
00:18.1, 151.3, 162.5
00:20.1, 167.2, 162.1
00:22.1, 168.2, 174.7
00:24.1, 178.5, 178.2
00:26.1, 177.1, 175.6
00:28.1, 182.5, 187.2
00:30.1, 194.2, 193.6
00:32.1, 194.3, 202.6
00:34.1, 203.0, 212.9
00:36.1, 215.6, 218.8
00:38.1, 220.7, 221.9
00:40.1, 222.4, 225.9
00:42.1, 229.7, 230.4
00:44.1, 227.3, 229.6
00:46.1, 232.8, 235.8
00:48.1, 236.3, 236.8
00:50.1, 239.7, 243.1
00:52.1, 244.9, 245.3
00:54.1, 249.0, 249.3
00:56.1, 255.5, 260.1
00:58.1, 259.1, 261.1
01:00.1, 260.7, 262.9
01:02.1, 265.8, 268.2
01:04.1, 271.1, 272.8
01:06.1, 279.6, 287.6
01:08.1, 288.3, 284.4
01:10.1, 282.3, 282.2
01:12.1, 284.2, 284.0
01:14.1, 284.3, 284.0
01:16.1, 287.8, 288.9
01:18.1, 290.4, 290.8
01:20.1, 291.8, 294.8
01:22.1, 297.9, 298.9
01:24.1, 299.9, 300.2
01:26.1, 301.5, 304.7
01:28.1, 305.0, 306.5
01:30.1, 307.7, 308.8
01:32.1, 309.1, 310.1
01:34.1, 311.3, 312.4
01:36.1, 314.2, 315.5
01:38.1, 317.8, 318.2
01:40.1, 318.9, 320.4
01:42.1, 321.6, 321.8
01:44.1, 322.1, 321.4
01:46.1, 323.3, 325.4
01:48.1, 325.4, 325.4
01:50.1, 328.6, 334.4
01:52.1, 335.1, 334.4
01:54.1, 334.2, 333.9
01:56.1, 334.8, 336.2
01:58.1, 339.5, 343.9
02:00.1, 341.5, 341.1
02:02.1, 342.8, 343.9
02:04.1, 343.3, 346.1
02:06.1, 345.9, 346.6
02:08.1, 349.9, 349.7
02:10.1, 351.1, 349.7
02:12.1, 352.0, 350.1
02:14.1, 351.3, 349.7
02:16.1, 350.7, 351.1
02:18.1, 355.0, 356.0
02:20.1, 354.6, 356.0
02:22.1, 354.5, 354.6
02:24.1, 357.4, 357.4
02:26.1, 357.4, 359.6
02:28.1, 362.1, 365.0
02:30.1, 362.8, 363.2
02:32.1, 365.1, 365.9
02:34.1, 365.9, 364.6
02:36.1, 366.4, 369.9
02:38.1, 370.0, 369.1
02:40.1, 371.0, 371.3
02:42.1, 370.9, 373.1
02:44.1, 371.0, 370.4
02:46.1, 374.6, 374.0
02:48.1, 373.7, 375.4
02:50.1, 375.5, 374.9
02:52.1, 374.2, 373.6
02:54.1, 375.8, 375.8
02:56.1, 375.7, 376.7
02:58.1, 382.0, 383.0
03:00.1, 381.2, 381.2
03:02.1, 381.9, 382.6
03:04.1, 383.4, 383.0
03:06.1, 382.8, 381.6
03:08.1, 381.6, 382.1
03:10.1, 383.1, 381.2
03:12.1, 383.5, 384.8
03:14.1, 384.1, 383.9
03:16.1, 386.4, 386.6
03:18.1, 387.7, 386.6
03:20.1, 386.2, 385.7
03:22.1, 389.0, 390.6
03:24.1, 388.3, 387.1
03:26.1, 390.7, 390.6
03:28.1, 391.5, 391.6
03:30.1, 392.2, 392.0
03:32.1, 393.1, 392.0
03:34.1, 393.0, 394.7
03:36.1, 393.7, 392.0
03:38.1, 393.4, 394.2
03:40.1, 393.6, 393.8
03:42.1, 393.9, 393.8
03:44.1, 395.9, 395.1
03:46.1, 395.6, 396.5
03:48.1, 397.2, 398.3
03:50.1, 400.1, 404.6
03:52.1, 401.6, 400.1
03:54.1, 406.5, 406.4
03:56.1, 410.0, 410.0
03:58.1, 412.6, 410.4
04:00.1, 411.6, 413.1
04:02.1, 410.4, 409.6
04:04.1, 409.4, 415.9
04:06.1, 415.5, 414.5
04:08.1, 411.4, 409.6
04:10.1, 418.9, 414.5
04:12.1, 413.8, 410.9
04:14.1, 410.4, 407.3
04:16.1, 410.5, 414.5
04:18.1, 412.4, 413.6
04:20.1, 411.2, 414.1
04:22.1, 412.0, 410.9
04:24.1, 414.8, 412.7
04:26.1, 416.7, 416.8
04:28.1, 416.0, 413.6
04:30.1, 413.7, 414.1
04:32.1, 413.4, 417.6
04:34.1, 415.5, 412.7
04:36.1, 415.5, 416.3
04:38.1, 415.6, 415.4
04:40.1, 416.4, 415.9
04:42.1, 416.2, 418.6
04:44.1, 418.7, 418.1
04:46.1, 421.2, 423.9
04:48.1, 422.8, 423.5
04:50.1, 425.1, 426.6
04:52.1, 425.3, 426.6
04:54.1, 425.4, 423.9
04:56.1, 425.2, 426.6
04:58.1, 425.9, 425.3
05:00.1, 425.3, 426.2
05:02.1, 425.1, 427.6
05:04.1, 427.9, 425.3
05:06.1, 425.9, 428.0
05:08.1, 429.8, 429.8
05:10.1, 431.5, 433.9
05:12.1, 432.3, 431.1
05:14.1, 432.1, 431.6
05:16.1, 432.2, 430.7
05:18.1, 433.5, 434.8
05:20.1, 434.7, 436.1
05:22.1, 436.4, 437.0
05:24.1, 437.2, 437.9
05:26.1, 437.8, 438.4
05:28.1, 438.9, 439.2
05:30.1, 439.2, 439.7
05:32.1, 439.5, 440.1
05:34.1, 440.4, 439.2
05:36.1, 441.8, 442.4
05:38.1, 443.2, 441.1
05:40.1, 441.2, 445.1
05:42.1, 444.5, 442.9
05:44.1, 441.7, 438.8
05:46.1, 442.0, 443.3
05:48.1, 430.5, 444.6
05:50.1, 447.1, 448.2
05:52.1, 445.6, 446.9
05:54.1, 445.2, 446.4
05:56.1, 447.7, 446.9
05:58.1, 447.2, 450.9
06:00.1, 449.1, 448.2
06:02.1, 449.3, 449.6
06:04.1, 450.1, 450.9
06:06.1, 450.4, 450.9
06:08.1, 452.4, 453.2
06:10.1, 453.5, 452.8
06:12.1, 452.8, 452.8
06:14.1, 452.9, 454.1
06:16.1, 454.5, 454.6
06:18.1, 455.5, 456.4
06:20.1, 455.8, 455.0
06:22.1, 458.3, 458.6
06:24.1, 458.2, 458.1
06:26.1, 458.1, 457.7
06:28.1, 458.5, 458.6
06:30.1, 457.3, 456.4
06:32.1, 458.4, 459.9
06:34.1, 459.9, 462.6
06:36.1, 459.4, 460.4
06:38.1, 462.6, 464.0
06:40.1, 461.0, 456.4
06:42.1, 458.8, 460.9
06:44.1, 460.3, 458.6
06:46.1, 461.4, 465.4
06:48.1, 462.0, 459.5
06:50.1, 439.1, 457.2
06:52.1, 459.2, 459.5
06:54.1, 461.1, 463.1
06:56.1, 464.4, 466.2
06:58.1, 463.3, 460.4
07:00.1, 463.5, 463.6
07:02.1, 462.0, 458.6
