Ethiopia Sidamo
Run #34,T_amb=75.8
elapsed, t_avg(15), t_bean
00:00.1, 68.6, 76.5
00:02.1, 77.8, 80.6
00:04.1, 85.7, 88.2
00:06.1, 94.0, 100.0
00:08.1, 108.7, 113.9
00:10.1, 123.0, 123.3
00:12.1, 130.4, 128.8
00:14.1, 133.4, 139.6
00:16.1, 147.7, 153.5
00:18.1, 156.7, 158.4
00:20.1, 164.0, 168.3
00:22.1, 172.6, 175.1
00:24.1, 179.8, 182.8
00:26.1, 185.4, 189.1
00:28.1, 194.3, 194.9
00:30.1, 200.0, 203.4
00:32.1, 206.8, 207.1
00:34.1, 212.9, 216.1
00:36.1, 220.7, 222.3
00:38.1, 224.6, 226.4
00:40.1, 231.8, 235.8
00:42.1, 234.7, 236.8
00:44.1, 239.6, 239.9
00:46.1, 243.7, 247.1
00:48.1, 250.0, 253.4
00:50.1, 255.8, 257.9
00:52.1, 260.4, 259.7
00:54.1, 263.6, 265.1
00:56.1, 267.2, 267.8
00:58.1, 269.2, 272.3
01:00.1, 274.7, 275.9
01:02.1, 276.1, 277.2
01:04.1, 281.7, 283.6
01:06.1, 285.8, 286.7
01:08.1, 289.8, 290.8
01:10.1, 294.1, 296.1
01:12.1, 295.8, 297.1
01:14.1, 298.1, 297.9
01:16.1, 301.8, 304.2
01:18.1, 304.4, 304.2
01:20.1, 305.8, 306.1
01:22.1, 308.6, 309.6
01:24.1, 311.6, 313.7
01:26.1, 314.1, 316.4
01:28.1, 316.9, 318.2
01:30.1, 318.2, 320.9
01:32.1, 321.6, 322.7
01:34.1, 324.3, 324.1
01:36.1, 327.1, 327.2
01:38.1, 327.6, 327.2
01:40.1, 331.6, 333.5
01:42.1, 333.7, 333.9
01:44.1, 337.0, 336.2
01:46.1, 338.3, 340.7
01:48.1, 340.5, 342.1
01:50.1, 341.3, 343.4
01:52.1, 343.4, 344.3
01:54.1, 345.5, 346.6
01:56.1, 346.4, 347.4
01:58.1, 348.2, 347.9
02:00.1, 349.8, 351.9
02:02.1, 353.0, 352.9
02:04.1, 353.9, 356.9
02:06.1, 357.8, 356.9
02:08.1, 360.4, 359.6
02:10.1, 361.3, 362.8
02:12.1, 362.2, 362.8
02:14.1, 363.9, 368.1
02:16.1, 365.0, 365.4
02:18.1, 366.8, 367.2
02:20.1, 368.0, 368.1
02:22.1, 368.3, 369.1
02:24.1, 371.6, 371.8
02:26.1, 374.6, 374.9
02:28.1, 374.9, 373.6
02:30.1, 372.9, 375.8
02:32.1, 373.8, 375.8
02:34.1, 375.9, 373.1
02:36.1, 376.2, 375.4
02:38.1, 375.8, 377.1
02:40.1, 379.1, 379.9
02:42.1, 381.2, 380.8
02:44.1, 381.7, 381.2
02:46.1, 381.9, 382.6
02:48.1, 384.4, 385.2
02:50.1, 385.9, 387.1
02:52.1, 388.6, 390.2
02:54.1, 389.5, 392.4
02:56.1, 390.1, 388.4
02:58.1, 388.9, 389.3
03:00.1, 394.2, 392.9
03:02.1, 393.6, 393.4
03:04.1, 392.7, 390.2
03:06.1, 393.3, 395.6
03:08.1, 393.8, 394.2
03:10.1, 395.0, 396.9
03:12.1, 396.3, 396.9
03:14.1, 396.3, 397.4
03:16.1, 399.4, 399.6
03:18.1, 400.3, 399.6
03:20.1, 398.9, 399.6
03:22.1, 399.1, 397.4
03:24.1, 401.3, 400.1
03:26.1, 402.1, 400.1
03:28.1, 403.7, 405.9
03:30.1, 405.0, 407.3
03:32.1, 405.9, 407.8
03:34.1, 406.6, 405.9
03:36.1, 408.2, 410.0
03:38.1, 408.0, 410.9
03:40.1, 408.8, 409.6
03:42.1, 409.4, 410.4
03:44.1, 411.2, 410.0
03:46.1, 411.3, 412.7
03:48.1, 414.2, 413.1
03:50.1, 414.3, 414.9
03:52.1, 417.7, 419.4
03:54.1, 417.5, 417.6
03:56.1, 417.2, 416.3
03:58.1, 418.7, 417.6
04:00.1, 418.8, 420.4
04:02.1, 420.5, 423.9
04:04.1, 420.0, 420.4
04:06.1, 419.3, 419.4
04:08.1, 420.8, 420.4
04:10.1, 422.0, 424.4
04:12.1, 423.4, 423.5
04:14.1, 425.0, 424.4
04:16.1, 424.7, 423.5
04:18.1, 426.7, 426.6
