Ethiopia Sidamo
Run #16,T_amb=71.5
elapsed, t_avg(15), t_bean
00:00.1, 67.7, 63.5
00:02.1, 62.8, 61.7
00:04.1, 75.7, 84.2
00:06.1, 90.9, 105.3
00:08.1, 106.1, 104.5
00:10.1, 108.2, 108.5
00:12.1, 116.6, 122.5
00:14.1, 123.4, 131.0
00:16.1, 129.0, 128.8
00:18.1, 140.1, 143.2
00:20.1, 152.6, 154.8
00:22.1, 156.4, 158.9
00:24.1, 163.1, 165.7
00:26.1, 169.9, 173.3
00:28.1, 182.1, 189.1
00:30.1, 186.1, 198.1
00:32.1, 194.3, 191.8
00:34.1, 196.7, 200.8
00:36.1, 204.4, 204.8
00:38.1, 211.8, 212.9
00:40.1, 213.5, 217.4
00:42.1, 221.1, 223.7
00:44.1, 226.4, 227.8
00:46.1, 234.1, 237.2
00:48.1, 239.2, 239.9
00:50.1, 245.6, 252.5
00:52.1, 250.2, 251.6
00:54.1, 252.5, 253.4
00:56.1, 259.6, 259.7
00:58.1, 260.6, 260.1
01:00.1, 261.9, 264.6
01:02.1, 266.9, 269.1
01:04.1, 268.9, 269.1
01:06.1, 276.1, 276.4
01:08.1, 278.7, 278.6
01:10.1, 283.4, 286.2
01:12.1, 287.5, 288.5
01:14.1, 287.8, 284.4
01:16.1, 290.9, 293.4
01:18.1, 292.2, 295.7
01:20.1, 295.9, 294.8
01:22.1, 298.5, 299.3
01:24.1, 303.8, 305.6
01:26.1, 304.2, 308.3
01:28.1, 308.8, 308.8
01:30.1, 310.9, 312.4
01:32.1, 317.3, 321.4
01:34.1, 319.4, 318.2
01:36.1, 321.5, 329.4
01:38.1, 326.1, 325.9
01:40.1, 329.2, 329.4
01:42.1, 335.9, 333.9
01:44.1, 340.4, 342.1
01:46.1, 337.3, 333.9
01:48.1, 339.5, 342.5
01:50.1, 343.2, 338.9
01:52.1, 352.2, 363.6
01:54.1, 358.9, 359.1
01:56.1, 355.6, 357.4
01:58.1, 360.1, 365.4
02:00.1, 363.4, 362.3
02:02.1, 363.9, 364.1
02:04.1, 367.6, 367.2
02:06.1, 372.8, 376.7
02:08.1, 375.4, 376.2
02:10.1, 373.9, 367.2
02:12.1, 376.8, 381.2
02:14.1, 380.1, 377.6
02:16.1, 378.5, 374.4
02:18.1, 375.4, 376.7
02:20.1, 366.4, 362.8
02:22.1, 373.3, 372.6
02:24.1, 381.9, 376.7
02:26.1, 386.1, 383.4
02:28.1, 377.2, 371.8
02:30.1, 376.7, 383.4
02:32.1, 377.4, 379.4
02:34.1, 375.4, 380.8
02:36.1, 385.9, 380.8
02:38.1, 379.4, 378.1
02:40.1, 374.0, 371.3
02:42.1, 370.2, 366.4
02:44.1, 364.9, 365.0
02:46.1, 346.0, 289.9
02:48.1, 272.2, 265.6
02:50.1, 235.7, 219.2
02:52.1, 238.9, 279.1
02:54.1, 319.1, 334.9
02:56.1, 339.6, 340.2
02:58.1, 339.7, 339.8
03:00.1, 343.1, 344.8
03:02.1, 346.6, 348.4
03:04.1, 349.4, 351.9
03:06.1, 351.8, 352.9
03:08.1, 355.2, 357.4
03:10.1, 357.9, 359.6
03:12.1, 361.3, 362.3
03:14.1, 365.1, 368.6
03:16.1, 366.3, 367.2
03:18.1, 366.8, 365.9
03:20.1, 367.6, 367.2
03:22.1, 368.0, 367.7
03:24.1, 369.1, 368.1
03:26.1, 370.5, 370.9
03:28.1, 371.6, 372.6
03:30.1, 370.6, 369.9
03:32.1, 370.8, 372.2
03:34.1, 372.4, 373.1
03:36.1, 373.5, 372.6
03:38.1, 372.1, 373.6
03:40.1, 372.6, 372.6
03:42.1, 374.4, 375.4
03:44.1, 375.6, 376.2
03:46.1, 376.4, 375.8
03:48.1, 376.0, 375.4
03:50.1, 376.7, 377.1
03:52.1, 378.1, 378.9
03:54.1, 378.6, 379.9
03:56.1, 380.1, 379.9
03:58.1, 379.3, 380.3
04:00.1, 381.4, 382.6
04:02.1, 381.9, 380.8
04:04.1, 383.0, 383.9
04:06.1, 383.6, 383.4
04:08.1, 384.9, 386.6
04:10.1, 386.4, 387.1
04:12.1, 387.1, 387.5
04:14.1, 389.7, 390.6
04:16.1, 390.9, 392.0
04:18.1, 391.9, 393.8
04:20.1, 393.8, 394.2
04:22.1, 394.3, 394.7
04:24.1, 394.5, 395.1
04:26.1, 396.4, 397.4
04:28.1, 398.6, 397.4
04:30.1, 399.6, 398.8
04:32.1, 399.4, 400.6
04:34.1, 401.1, 402.8
04:36.1, 403.1, 403.2
04:38.1, 404.6, 403.7
04:40.1, 405.2, 407.8
04:42.1, 406.9, 407.3
04:44.1, 408.6, 408.6
04:46.1, 409.2, 409.1
04:48.1, 408.4, 408.2
04:50.1, 409.8, 410.4
04:52.1, 411.9, 412.2
04:54.1, 412.0, 414.1
04:56.1, 413.5, 414.1
04:58.1, 413.5, 412.7
05:00.1, 415.9, 416.3
05:02.1, 416.3, 416.3
05:04.1, 415.2, 414.1
05:06.1, 415.8, 415.9
05:08.1, 417.3, 420.4
05:10.1, 418.5, 417.2
05:12.1, 417.6, 417.6
05:14.1, 419.3, 419.0
05:16.1, 418.9, 418.6
05:18.1, 419.5, 418.6
05:20.1, 419.8, 419.9
05:22.1, 420.4, 421.7
05:24.1, 421.4, 420.4
05:26.1, 422.4, 422.1
05:28.1, 424.3, 422.1
05:30.1, 423.7, 425.8
05:32.1, 426.1, 426.2
05:34.1, 425.2, 424.9
05:36.1, 425.1, 424.4
05:38.1, 426.6, 427.6
05:40.1, 429.5, 429.8
05:42.1, 432.1, 433.9
05:44.1, 432.9, 434.8
05:46.1, 431.6, 431.1
05:48.1, 433.8, 432.5
05:50.1, 434.7, 434.8
05:52.1, 435.6, 439.7
05:54.1, 435.9, 438.8
05:56.1, 436.2, 438.4
05:58.1, 437.8, 440.1
06:00.1, 438.9, 441.5
06:02.1, 439.9, 442.4
06:04.1, 441.5, 441.5
06:06.1, 441.5, 441.1
06:08.1, 442.1, 441.1
06:10.1, 442.7, 442.4
06:12.1, 441.1, 442.9
06:14.1, 441.7, 443.3
06:16.1, 444.0, 446.0
06:18.1, 444.0, 444.2
06:20.1, 445.1, 444.6
06:22.1, 445.3, 443.3
06:24.1, 445.5, 447.8
06:26.1, 447.1, 448.2
06:28.1, 447.6, 449.1
06:30.1, 448.8, 448.7
06:32.1, 448.7, 450.1
06:34.1, 449.7, 449.6
06:36.1, 448.2, 451.9
06:38.1, 450.4, 452.3
06:40.1, 452.1, 452.3
06:42.1, 451.2, 451.4
06:44.1, 452.9, 452.8
06:46.1, 453.4, 453.2
06:48.1, 454.0, 454.6
06:50.1, 455.1, 453.6
06:52.1, 456.2, 454.6
06:54.1, 455.1, 454.6
06:56.1, 455.9, 453.2
06:58.1, 454.5, 455.0
07:00.1, 455.4, 457.7
07:02.1, 456.5, 457.2
07:04.1, 456.3, 453.6
07:06.1, 456.7, 459.1
07:08.1, 457.8, 457.7
07:10.1, 458.2, 460.9
07:12.1, 458.6, 459.9
07:14.1, 460.2, 456.8
07:16.1, 459.6, 461.3
07:18.1, 458.8, 460.4
07:20.1, 461.2, 462.2
07:22.1, 461.0, 463.6
07:24.1, 461.8, 461.8
07:26.1, 460.4, 461.8
07:28.1, 462.3, 460.4
07:30.1, 461.1, 461.8
07:32.1, 461.7, 464.0
07:34.1, 462.9, 463.1
07:36.1, 462.3, 462.6
07:38.1, 462.5, 461.3
07:40.1, 463.0, 464.0
07:42.1, 464.5, 464.4
07:44.1, 464.8, 467.1
07:46.1, 451.5, 438.4
