Ethiopia Sidamo
Run #25,T_amb=76.7
elapsed, t_avg(15), t_bean
00:00.1, 68.4, 73.4
00:02.1, 74.5, 77.0
00:04.1, 86.2, 96.3
00:06.1, 95.1, 95.5
00:08.1, 103.3, 117.0
00:10.1, 113.7, 119.3
00:12.1, 128.9, 129.7
00:14.1, 141.6, 150.8
00:16.1, 149.1, 148.1
00:18.1, 152.0, 151.2
00:20.1, 162.7, 163.8
00:22.1, 170.3, 177.3
00:24.1, 176.0, 176.0
00:26.1, 184.6, 190.4
00:28.1, 197.2, 207.1
00:30.1, 201.7, 206.6
00:32.1, 207.8, 221.4
00:34.1, 217.8, 217.8
00:36.1, 231.6, 227.8
00:38.1, 230.2, 228.2
00:40.1, 230.7, 231.8
00:42.1, 235.6, 237.2
00:44.1, 240.8, 241.7
00:46.1, 241.9, 243.9
00:48.1, 247.6, 252.9
00:50.1, 255.3, 257.9
00:52.1, 251.9, 249.3
00:54.1, 250.7, 254.8
00:56.1, 260.8, 268.2
00:58.1, 267.9, 271.9
01:00.1, 273.6, 284.4
01:02.1, 278.6, 284.0
01:04.1, 280.7, 282.6
01:06.1, 287.4, 290.8
01:08.1, 289.7, 289.4
01:10.1, 287.1, 287.6
01:12.1, 292.3, 292.1
01:14.1, 296.4, 300.2
01:16.1, 300.3, 302.0
01:18.1, 305.4, 303.8
01:20.1, 306.2, 303.4
01:22.1, 309.3, 311.4
01:24.1, 310.5, 313.7
01:26.1, 313.6, 314.6
01:28.1, 317.1, 316.9
01:30.1, 321.3, 329.0
01:32.1, 319.9, 319.6
01:34.1, 320.0, 321.4
01:36.1, 322.9, 321.4
01:38.1, 322.6, 323.1
01:40.1, 324.6, 325.4
01:42.1, 327.6, 329.0
01:44.1, 330.6, 330.8
01:46.1, 331.6, 330.8
01:48.1, 331.8, 335.8
01:50.1, 335.8, 335.8
01:52.1, 337.2, 338.0
01:54.1, 340.6, 341.6
01:56.1, 341.0, 344.3
01:58.1, 343.6, 344.3
02:00.1, 344.1, 345.2
02:02.1, 345.9, 345.2
02:04.1, 348.1, 350.1
02:06.1, 352.8, 354.2
02:08.1, 357.1, 358.2
02:10.1, 356.4, 357.8
02:12.1, 358.2, 358.7
02:14.1, 358.1, 360.1
02:16.1, 361.6, 364.6
02:18.1, 363.5, 359.1
02:20.1, 365.5, 365.9
02:22.1, 367.5, 369.9
02:24.1, 368.8, 366.8
02:26.1, 367.9, 368.6
02:28.1, 369.4, 373.6
02:30.1, 373.2, 374.0
02:32.1, 373.6, 374.9
02:34.1, 375.9, 374.0
02:36.1, 376.1, 382.1
02:38.1, 380.9, 383.0
02:40.1, 383.2, 376.2
02:42.1, 380.0, 383.9
02:44.1, 383.8, 383.0
02:46.1, 390.0, 393.4
02:48.1, 388.7, 390.6
02:50.1, 385.7, 383.4
02:52.1, 388.8, 399.6
02:54.1, 390.4, 385.7
02:56.1, 383.6, 377.6
02:58.1, 370.9, 370.9
03:00.1, 373.6, 378.1
03:02.1, 378.6, 374.9
03:04.1, 374.2, 377.6
03:06.1, 379.2, 378.9
03:08.1, 381.3, 381.2
03:10.1, 378.0, 383.0
03:12.1, 383.4, 383.0
03:14.1, 383.1, 386.1
03:16.1, 388.1, 388.4
03:18.1, 391.8, 391.6
03:20.1, 389.6, 384.8
03:22.1, 385.7, 387.9
03:24.1, 387.6, 388.9
03:26.1, 392.8, 392.4
03:28.1, 395.5, 396.9
03:30.1, 396.6, 398.3
03:32.1, 394.2, 392.9
03:34.1, 392.7, 393.4
03:36.1, 396.3, 398.3
03:38.1, 398.3, 400.1
03:40.1, 399.3, 395.1
03:42.1, 396.1, 396.9
03:44.1, 398.3, 398.3
03:46.1, 400.2, 399.2
03:48.1, 400.2, 400.1
03:50.1, 400.7, 401.4
03:52.1, 403.9, 405.1
03:54.1, 406.8, 406.4
03:56.1, 403.4, 401.0
03:58.1, 397.6, 398.3
04:00.1, 402.3, 405.1
04:02.1, 406.6, 407.3
04:04.1, 405.9, 410.4
04:06.1, 409.8, 407.8
04:08.1, 412.0, 411.8
04:10.1, 410.2, 403.7
04:12.1, 402.1, 400.6
04:14.1, 404.8, 406.4
04:16.1, 408.5, 412.2
04:18.1, 412.1, 413.1
04:20.1, 412.1, 412.7
04:22.1, 409.5, 408.2
04:24.1, 410.1, 413.1
04:26.1, 406.1, 400.6
04:28.1, 404.1, 409.1
04:30.1, 411.5, 412.7
04:32.1, 414.3, 411.8
04:34.1, 411.4, 414.1
04:36.1, 414.9, 415.4
04:38.1, 417.4, 420.8
04:40.1, 418.0, 417.6
04:42.1, 418.7, 421.2
04:44.1, 422.0, 421.7
04:46.1, 421.6, 421.2
04:48.1, 420.4, 422.6
04:50.1, 423.7, 425.8
04:52.1, 424.6, 427.1
04:54.1, 425.5, 429.4
04:56.1, 430.7, 432.9
04:58.1, 432.5, 432.5
05:00.1, 432.4, 428.0
05:02.1, 430.5, 428.4
05:04.1, 431.3, 432.9
05:06.1, 432.5, 434.3
05:08.1, 433.9, 434.8
05:10.1, 433.6, 434.3
05:12.1, 435.9, 437.9
05:14.1, 436.2, 437.4
05:16.1, 438.1, 437.4
05:18.1, 439.0, 440.1
05:20.1, 439.4, 439.7
05:22.1, 441.1, 439.7
05:24.1, 438.4, 437.0
05:26.1, 437.5, 437.4
05:28.1, 441.5, 443.3
05:30.1, 444.0, 444.2
05:32.1, 445.2, 442.9
05:34.1, 442.8, 444.6
05:36.1, 438.9, 435.6
05:38.1, 436.2, 437.4
05:40.1, 437.8, 439.7
05:42.1, 436.4, 439.2
05:44.1, 440.8, 440.6
05:46.1, 443.1, 443.8
05:48.1, 444.2, 445.1
05:50.1, 445.3, 447.4
05:52.1, 445.3, 448.2
05:54.1, 445.3, 446.0
05:56.1, 447.1, 447.8
05:58.1, 450.1, 452.3
06:00.1, 453.3, 453.6
06:02.1, 455.0, 458.1
06:04.1, 456.1, 453.2
06:06.1, 456.5, 455.4
06:08.1, 454.6, 455.0
06:10.1, 457.6, 458.6
06:12.1, 456.7, 457.2
06:14.1, 456.1, 456.4
06:16.1, 456.1, 454.1
06:18.1, 458.1, 455.4
06:20.1, 456.2, 458.6
06:22.1, 456.1, 454.6
06:24.1, 457.5, 456.8
06:26.1, 458.1, 459.9
06:28.1, 458.2, 459.5
06:30.1, 459.8, 459.9
06:32.1, 460.0, 459.5
06:34.1, 457.9, 455.0
06:36.1, 456.0, 459.9
06:38.1, 455.6, 454.6
06:40.1, 455.5, 457.7
06:42.1, 456.2, 454.6
06:44.1, 460.6, 459.9
06:46.1, 461.6, 462.2
06:48.1, 460.1, 459.9
06:50.1, 461.7, 464.9
06:52.1, 459.9, 459.5
06:54.1, 461.1, 457.7
06:56.1, 463.9, 464.9
06:58.1, 462.6, 459.5
07:00.1, 463.6, 463.1
07:02.1, 465.6, 467.6
07:04.1, 465.3, 465.4
07:06.1, 467.2, 466.2
07:08.1, 467.2, 467.6
07:10.1, 453.9, 440.1
07:12.1, 425.7, 415.9
07:14.1, 403.7, 393.4
07:16.1, 383.8, 378.1
07:18.1, 367.2, 358.7
07:20.1, 351.7, 345.2
07:22.1, 340.7, 338.9
07:24.1, 330.3, 324.9
07:26.1, 321.9, 321.8
07:28.1, 315.1, 307.9
07:30.1, 308.4, 305.6
07:32.1, 301.5, 297.9
07:34.1, 295.4, 292.1
07:36.1, 288.1, 285.4
07:38.1, 282.2, 280.4
07:40.1, 277.8, 277.7
07:42.1, 273.7, 269.6
07:44.1, 269.9, 267.4
07:46.1, 265.1, 261.5
07:48.1, 260.3, 257.4
07:50.1, 256.6, 255.7
07:52.1, 252.7, 251.2
07:54.1, 248.4, 246.2
07:56.1, 244.5, 242.6
07:58.1, 241.6, 238.6
08:00.1, 238.4, 236.3
08:02.1, 234.3, 231.3
08:04.1, 230.7, 229.1
08:06.1, 227.8, 226.4
08:08.1, 224.5, 224.6
08:10.1, 222.5, 221.4
