Ethiopia Sidamo
Run #27,T_amb=71.3
elapsed, t_avg(15), t_bean
00:00.1, 68.1, 68.9
00:02.1, 68.9, 73.8
00:04.1, 95.6, 113.0
00:06.1, 105.8, 100.4
00:08.1, 113.8, 118.8
00:10.1, 127.2, 127.8
00:12.1, 130.5, 130.6
00:14.1, 150.9, 163.4
00:16.1, 169.9, 173.3
00:18.1, 169.8, 176.4
00:20.1, 181.1, 171.9
00:22.1, 172.5, 170.2
00:24.1, 173.5, 173.8
00:26.1, 178.4, 187.2
00:28.1, 194.1, 194.0
00:30.1, 196.4, 194.4
00:32.1, 201.6, 215.2
00:34.1, 216.1, 215.6
00:36.1, 221.6, 225.5
00:38.1, 228.6, 231.8
00:40.1, 241.9, 240.3
00:42.1, 237.3, 240.3
00:44.1, 242.9, 249.8
00:46.1, 250.1, 249.8
00:48.1, 254.7, 257.9
00:50.1, 259.2, 266.9
00:52.1, 265.9, 266.4
00:54.1, 268.1, 271.4
00:56.1, 269.8, 266.0
00:58.1, 278.5, 286.7
01:00.1, 286.6, 281.3
01:02.1, 286.2, 283.6
01:04.1, 298.1, 295.7
01:06.1, 298.4, 307.4
01:08.1, 297.9, 295.2
01:10.1, 303.8, 313.7
01:12.1, 304.8, 307.9
01:14.1, 313.4, 318.2
01:16.1, 316.3, 315.1
01:18.1, 310.6, 308.3
01:20.1, 309.4, 306.9
01:22.1, 311.5, 311.9
01:24.1, 311.3, 315.5
01:26.1, 314.7, 314.1
01:28.1, 315.4, 316.4
01:30.1, 321.3, 324.9
01:32.1, 326.1, 326.8
01:34.1, 341.4, 345.6
01:36.1, 342.6, 343.4
01:38.1, 342.3, 342.5
01:40.1, 343.3, 339.4
01:42.1, 343.8, 343.4
01:44.1, 343.9, 339.8
01:46.1, 343.2, 345.2
01:48.1, 345.4, 345.2
01:50.1, 343.4, 341.6
01:52.1, 347.0, 350.6
01:54.1, 348.1, 349.7
01:56.1, 351.6, 353.3
01:58.1, 350.6, 351.1
02:00.1, 354.6, 354.2
02:02.1, 354.6, 352.9
02:04.1, 352.7, 352.4
02:06.1, 353.5, 357.8
02:08.1, 359.4, 358.2
02:10.1, 362.2, 363.2
02:12.1, 362.4, 360.9
02:14.1, 361.5, 359.6
02:16.1, 363.1, 362.8
02:18.1, 362.3, 365.0
02:20.1, 373.0, 374.9
02:22.1, 374.4, 374.4
02:24.1, 375.9, 384.4
02:26.1, 376.5, 381.2
02:28.1, 378.7, 374.4
02:30.1, 366.1, 369.9
02:32.1, 367.2, 367.7
02:34.1, 367.4, 370.9
02:36.1, 369.3, 369.5
02:38.1, 374.0, 372.2
02:40.1, 374.7, 373.6
02:42.1, 377.0, 374.9
02:44.1, 377.8, 378.5
02:46.1, 379.6, 381.2
02:48.1, 381.5, 386.6
02:50.1, 383.3, 382.1
02:52.1, 383.5, 380.8
02:54.1, 381.6, 380.8
02:56.1, 382.2, 384.4
02:58.1, 386.9, 385.7
03:00.1, 388.0, 389.3
03:02.1, 386.5, 383.0
03:04.1, 386.4, 387.5
03:06.1, 389.4, 393.4
03:08.1, 392.8, 392.0
03:10.1, 392.4, 391.1
03:12.1, 392.4, 395.1
03:14.1, 394.9, 392.4
03:16.1, 400.5, 396.5
03:18.1, 396.2, 394.7
03:20.1, 393.0, 392.9
03:22.1, 400.9, 402.4
03:24.1, 399.2, 400.1
03:26.1, 401.7, 400.1
03:28.1, 398.3, 400.1
03:30.1, 402.5, 402.8
03:32.1, 402.0, 400.6
03:34.1, 405.0, 404.1
03:36.1, 404.3, 404.1
03:38.1, 407.1, 413.1
03:40.1, 409.6, 411.4
03:42.1, 411.3, 412.7
03:44.1, 410.9, 413.1
03:46.1, 411.4, 411.8
03:48.1, 411.9, 415.4
03:50.1, 413.2, 413.1
03:52.1, 412.8, 415.4
03:54.1, 414.1, 414.1
03:56.1, 415.8, 415.4
03:58.1, 417.2, 419.0
04:00.1, 419.0, 423.1
04:02.1, 419.1, 416.3
04:04.1, 419.3, 421.7
04:06.1, 421.0, 419.4
04:08.1, 424.2, 423.5
04:10.1, 425.0, 426.2
04:12.1, 431.6, 429.4
04:14.1, 432.8, 432.1
04:16.1, 434.5, 433.9
04:18.1, 439.0, 438.4
04:20.1, 441.9, 438.8
04:22.1, 440.4, 441.5
04:24.1, 442.9, 440.6
04:26.1, 438.3, 433.9
04:28.1, 434.3, 432.5
04:30.1, 431.4, 429.8
04:32.1, 432.6, 434.8
04:34.1, 434.4, 432.9
04:36.1, 438.4, 439.7
04:38.1, 440.2, 438.8
04:40.1, 438.2, 438.8
04:42.1, 438.9, 439.2
04:44.1, 440.7, 445.6
04:46.1, 441.8, 446.9
04:48.1, 442.1, 442.9
04:50.1, 441.9, 437.4
04:52.1, 443.6, 445.1
04:54.1, 441.8, 439.7
04:56.1, 441.4, 439.7
04:58.1, 439.7, 446.9
05:00.1, 443.3, 441.1
05:02.1, 442.9, 440.6
05:04.1, 441.6, 444.2
05:06.1, 440.8, 443.3
05:08.1, 444.7, 446.9
05:10.1, 445.2, 443.8
05:12.1, 446.5, 446.9
05:14.1, 447.2, 445.1
05:16.1, 447.6, 449.1
05:18.1, 450.7, 450.9
05:20.1, 451.0, 449.6
05:22.1, 458.2, 455.9
05:24.1, 458.4, 459.1
05:26.1, 457.5, 454.6
05:28.1, 453.6, 454.1
05:30.1, 457.4, 459.5
05:32.1, 458.0, 453.2
05:34.1, 461.6, 462.6
05:36.1, 459.5, 459.9
05:38.1, 460.0, 462.6
05:40.1, 466.0, 468.9
05:42.1, 471.9, 473.0
05:44.1, 472.4, 469.4
05:46.1, 471.1, 468.1
05:48.1, 453.2, 441.1
05:50.1, 412.2, 396.5
