Ethiopia Sidamo
Run #23,T_amb=75.7
elapsed, t_avg(15), t_bean
00:00.1, 68.5, 74.8
00:02.1, 75.4, 74.8
00:04.1, 83.6, 94.1
00:06.1, 111.6, 121.1
00:08.1, 123.4, 138.7
00:10.1, 136.1, 140.0
00:12.1, 152.4, 154.4
00:14.1, 156.2, 158.0
00:16.1, 170.1, 178.2
00:18.1, 175.7, 178.7
00:20.1, 188.4, 189.1
00:22.1, 197.1, 194.0
00:24.1, 199.6, 201.2
00:26.1, 206.4, 208.4
00:28.1, 212.8, 216.5
00:30.1, 222.9, 220.1
00:32.1, 228.0, 231.8
00:34.1, 232.5, 234.9
00:36.1, 240.1, 238.6
00:38.1, 242.8, 244.4
00:40.1, 249.3, 253.8
00:42.1, 253.7, 259.2
00:44.1, 259.4, 259.7
00:46.1, 262.3, 260.1
00:48.1, 266.1, 270.1
00:50.1, 270.0, 275.0
00:52.1, 272.2, 272.3
00:54.1, 276.0, 274.6
00:56.1, 281.2, 277.7
00:58.1, 280.7, 286.2
01:00.1, 288.1, 289.4
01:02.1, 292.2, 294.8
01:04.1, 292.2, 289.4
01:06.1, 293.2, 297.9
01:08.1, 290.7, 290.3
01:10.1, 292.7, 294.4
01:12.1, 292.2, 293.0
01:14.1, 293.6, 293.9
01:16.1, 294.8, 295.2
01:18.1, 294.4, 295.2
01:20.1, 296.0, 295.7
01:22.1, 297.8, 297.9
01:24.1, 297.8, 297.9
01:26.1, 297.6, 296.1
01:28.1, 297.9, 297.5
01:30.1, 300.0, 301.1
01:32.1, 301.8, 304.2
01:34.1, 304.0, 304.7
01:36.1, 306.6, 307.9
01:38.1, 309.0, 310.1
01:40.1, 312.0, 313.2
01:42.1, 314.4, 315.1
01:44.1, 315.9, 315.9
01:46.1, 316.9, 316.9
01:48.1, 318.4, 317.3
01:50.1, 320.0, 321.4
01:52.1, 320.2, 321.8
01:54.1, 321.5, 320.0
01:56.1, 321.6, 322.7
01:58.1, 321.0, 315.5
02:00.1, 267.0, 247.1
02:02.1, 225.0, 203.4
02:04.1, 220.7, 288.5
02:06.1, 317.1, 332.1
02:08.1, 336.2, 340.2
02:10.1, 342.7, 345.2
02:12.1, 346.0, 342.9
02:14.1, 346.2, 348.4
02:16.1, 348.1, 349.7
02:18.1, 349.3, 351.1
02:20.1, 352.9, 354.6
02:22.1, 352.5, 354.2
02:24.1, 356.8, 359.6
02:26.1, 363.0, 365.0
02:28.1, 366.1, 368.6
02:30.1, 367.6, 365.4
02:32.1, 371.9, 372.6
02:34.1, 374.1, 375.4
02:36.1, 373.7, 376.2
02:38.1, 377.1, 376.7
02:40.1, 378.3, 378.9
02:42.1, 380.4, 382.1
02:44.1, 381.8, 380.3
02:46.1, 384.6, 386.1
02:48.1, 384.9, 382.1
02:50.1, 381.1, 384.8
02:52.1, 382.9, 381.6
02:54.1, 379.5, 379.9
02:56.1, 381.6, 382.6
02:58.1, 382.6, 381.6
03:00.1, 383.6, 383.0
03:02.1, 384.8, 384.4
03:04.1, 385.1, 387.1
03:06.1, 387.9, 387.9
03:08.1, 389.0, 387.9
03:10.1, 388.9, 389.8
03:12.1, 389.6, 390.2
03:14.1, 390.9, 392.4
03:16.1, 390.9, 391.6
03:18.1, 390.6, 388.9
03:20.1, 387.1, 390.6
03:22.1, 391.6, 391.6
03:24.1, 392.2, 394.7
03:26.1, 395.2, 396.5
03:28.1, 396.5, 396.9
03:30.1, 398.1, 401.4
03:32.1, 400.4, 399.6
03:34.1, 400.1, 401.0
03:36.1, 400.8, 400.1
03:38.1, 401.1, 401.4
03:40.1, 401.1, 401.4
03:42.1, 401.4, 402.4
03:44.1, 403.3, 404.6
03:46.1, 404.8, 404.1
03:48.1, 405.7, 405.1
03:50.1, 407.5, 408.6
03:52.1, 408.6, 407.3
03:54.1, 409.0, 414.5
03:56.1, 410.9, 412.2
03:58.1, 412.3, 410.9
04:00.1, 411.2, 410.0
04:02.1, 411.7, 410.0
04:04.1, 414.4, 414.1
04:06.1, 416.3, 414.9
04:08.1, 408.3, 410.9
04:10.1, 415.6, 417.6
04:12.1, 419.1, 422.6
04:14.1, 424.9, 427.6
04:16.1, 429.3, 427.6
04:18.1, 423.3, 424.9
04:20.1, 426.4, 428.9
04:22.1, 427.3, 424.4
04:24.1, 426.6, 432.5
04:26.1, 432.9, 432.5
04:28.1, 435.4, 440.1
04:30.1, 439.0, 436.1
04:32.1, 436.3, 440.1
04:34.1, 437.2, 435.2
04:36.1, 435.5, 435.6
04:38.1, 433.3, 433.4
04:40.1, 434.5, 435.6
04:42.1, 434.9, 436.6
04:44.1, 436.1, 434.3
04:46.1, 435.2, 437.4
04:48.1, 436.5, 433.4
04:50.1, 432.8, 434.3
04:52.1, 433.4, 437.4
04:54.1, 437.3, 441.5
04:56.1, 440.2, 445.6
04:58.1, 444.8, 443.8
05:00.1, 443.2, 441.5
05:02.1, 444.3, 444.2
05:04.1, 442.5, 442.9
05:06.1, 441.4, 441.5
05:08.1, 439.4, 437.0
05:10.1, 441.8, 443.8
05:12.1, 447.0, 447.8
05:14.1, 448.5, 448.7
05:16.1, 452.1, 450.1
05:18.1, 452.4, 452.8
05:20.1, 453.8, 460.4
05:22.1, 466.8, 467.6
05:24.1, 468.4, 461.3
05:26.1, 464.9, 469.4
05:28.1, 473.5, 476.1
05:30.1, 476.9, 477.9
05:32.1, 480.8, 483.8
05:34.1, 468.3, 435.6
05:36.1, 362.9, 333.1
05:38.1, 319.9, 308.3
05:40.1, 296.5, 284.4
05:42.1, 269.8, 266.0
05:44.1, 307.9, 326.8
05:46.1, 275.5, 237.2
05:48.1, 242.3, 267.8
05:50.1, 274.7, 252.1
05:52.1, 276.3, 280.4
05:54.1, 283.6, 286.7
05:56.1, 282.7, 282.6
05:58.1, 278.3, 267.8
06:00.1, 218.9, 203.4
06:02.1, 195.2, 190.8
06:04.1, 179.6, 171.9
06:06.1, 166.5, 162.9
06:08.1, 156.2, 151.7
06:10.1, 148.5, 145.8
06:12.1, 143.5, 141.3
06:14.1, 138.7, 137.8
06:16.1, 135.8, 133.7
06:18.1, 132.5, 131.9
06:20.1, 131.2, 130.1
06:22.1, 128.7, 127.4
06:24.1, 125.1, 123.8
06:26.1, 122.4, 121.1
06:28.1, 119.6, 118.4
06:30.1, 115.9, 114.8
06:32.1, 112.0, 110.3
06:34.1, 109.4, 108.0
06:36.1, 106.1, 105.8
06:38.1, 104.2, 103.5
06:40.1, 102.0, 101.8
06:42.1, 99.2, 98.2
06:44.1, 98.3, 97.2
06:46.1, 97.8, 97.2
06:48.1, 96.1, 95.5
