Ethiopia Sidamo
Run #14,T_amb=71.5
elapsed, t_avg(15), t_bean
00:00.1, 68.0, 68.0
00:02.1, 68.4, 68.0
00:04.1, 76.4, 82.8
00:06.1, 90.2, 101.8
00:08.1, 102.1, 109.0
00:10.1, 121.5, 122.9
00:12.1, 130.2, 130.6
00:14.1, 143.9, 145.4
00:16.1, 151.6, 152.6
00:18.1, 158.5, 158.4
00:20.1, 164.9, 171.5
00:22.1, 177.8, 183.2
00:24.1, 182.7, 185.9
00:26.1, 189.3, 196.2
00:28.1, 196.7, 198.5
00:30.1, 203.6, 204.3
00:32.1, 208.7, 210.7
00:34.1, 218.6, 221.9
00:36.1, 225.0, 228.7
00:38.1, 230.7, 230.4
00:40.1, 232.7, 233.2
00:42.1, 236.3, 238.1
00:44.1, 243.3, 244.4
00:46.1, 250.1, 247.6
00:48.1, 254.9, 260.1
00:50.1, 258.7, 257.9
00:52.1, 263.6, 265.6
00:54.1, 267.1, 269.1
00:56.1, 271.9, 274.1
00:58.1, 275.8, 278.1
01:00.1, 279.5, 280.9
01:02.1, 282.5, 281.8
01:04.1, 284.4, 293.0
01:06.1, 288.1, 289.4
01:08.1, 291.7, 295.7
01:10.1, 296.4, 300.2
01:12.1, 298.9, 300.2
01:14.1, 302.4, 304.7
01:16.1, 303.7, 308.3
01:18.1, 305.9, 307.4
01:20.1, 310.6, 312.8
01:22.1, 314.0, 315.5
01:24.1, 314.6, 317.3
01:26.1, 314.6, 312.8
01:28.1, 310.0, 311.0
01:30.1, 314.8, 314.6
01:32.1, 313.8, 315.5
01:34.1, 314.4, 316.4
01:36.1, 317.4, 320.4
01:38.1, 321.1, 322.7
01:40.1, 324.4, 324.5
01:42.1, 326.0, 328.6
01:44.1, 329.1, 329.4
01:46.1, 330.1, 330.8
01:48.1, 330.2, 332.1
01:50.1, 334.5, 334.4
01:52.1, 337.9, 337.6
01:54.1, 339.0, 339.4
01:56.1, 340.1, 339.8
01:58.1, 342.1, 342.9
02:00.1, 343.0, 342.9
02:02.1, 344.0, 344.8
02:04.1, 346.5, 347.9
02:06.1, 347.6, 347.4
02:08.1, 349.0, 351.1
02:10.1, 350.6, 353.8
02:12.1, 353.9, 355.6
02:14.1, 356.9, 360.9
02:16.1, 359.6, 359.1
02:18.1, 360.7, 359.1
02:20.1, 360.0, 359.6
02:22.1, 361.0, 361.9
02:24.1, 362.3, 362.8
02:26.1, 363.9, 365.4
02:28.1, 363.4, 364.1
02:30.1, 366.8, 365.4
02:32.1, 366.4, 366.4
02:34.1, 366.0, 365.4
02:36.1, 368.2, 369.9
02:38.1, 369.7, 370.9
02:40.1, 371.6, 371.3
02:42.1, 371.8, 373.1
02:44.1, 371.6, 372.6
02:46.1, 373.6, 373.6
02:48.1, 374.3, 375.4
02:50.1, 374.8, 374.0
02:52.1, 375.0, 374.9
02:54.1, 377.2, 381.6
02:56.1, 375.9, 376.7
02:58.1, 378.7, 380.8
03:00.1, 379.2, 381.2
03:02.1, 380.9, 381.6
03:04.1, 382.9, 382.6
03:06.1, 384.9, 384.8
03:08.1, 385.8, 386.6
03:10.1, 386.5, 385.2
03:12.1, 388.1, 388.4
03:14.1, 388.0, 390.2
03:16.1, 388.1, 389.3
03:18.1, 389.2, 389.8
03:20.1, 390.7, 390.6
03:22.1, 388.7, 392.4
03:24.1, 393.6, 393.4
03:26.1, 392.2, 393.8
03:28.1, 394.9, 393.4
03:30.1, 396.8, 397.4
03:32.1, 396.0, 396.1
03:34.1, 394.6, 394.7
03:36.1, 395.9, 398.3
03:38.1, 398.7, 398.8
03:40.1, 399.5, 399.2
03:42.1, 399.8, 400.1
03:44.1, 400.5, 400.6
03:46.1, 399.8, 401.9
03:48.1, 402.3, 401.9
03:50.1, 403.0, 402.8
03:52.1, 403.3, 402.8
03:54.1, 403.7, 405.1
03:56.1, 404.3, 404.6
03:58.1, 406.5, 410.0
04:00.1, 407.1, 406.4
04:02.1, 406.5, 406.4
04:04.1, 408.5, 408.6
04:06.1, 410.1, 410.9
04:08.1, 411.1, 412.2
04:10.1, 411.9, 411.4
04:12.1, 411.0, 410.9
04:14.1, 410.4, 409.6
04:16.1, 411.0, 410.0
04:18.1, 410.1, 409.6
04:20.1, 411.4, 412.2
04:22.1, 412.4, 413.6
04:24.1, 414.7, 414.5
04:26.1, 415.3, 417.2
04:28.1, 417.6, 418.1
04:30.1, 420.2, 420.4
04:32.1, 419.8, 420.4
04:34.1, 424.3, 422.1
04:36.1, 421.0, 420.8
04:38.1, 422.3, 419.9
04:40.1, 421.7, 422.1
04:42.1, 423.7, 423.9
04:44.1, 423.8, 425.8
04:46.1, 423.8, 422.1
04:48.1, 422.6, 423.5
04:50.1, 423.5, 423.1
04:52.1, 425.2, 428.0
04:54.1, 426.3, 424.9
04:56.1, 426.2, 428.0
04:58.1, 427.8, 429.4
05:00.1, 429.6, 426.2
05:02.1, 428.5, 428.9
05:04.1, 429.7, 431.6
05:06.1, 430.8, 428.4
05:08.1, 430.5, 429.8
05:10.1, 429.5, 433.4
05:12.1, 431.6, 432.1
05:14.1, 433.2, 430.7
05:16.1, 434.1, 433.9
05:18.1, 434.7, 432.5
05:20.1, 437.0, 442.4
05:22.1, 438.9, 438.4
05:24.1, 437.2, 433.4
05:26.1, 438.2, 438.4
05:28.1, 438.4, 439.2
05:30.1, 440.2, 436.1
05:32.1, 440.1, 440.1
05:34.1, 440.7, 439.2
05:36.1, 443.9, 442.4
05:38.1, 442.1, 440.6
05:40.1, 442.6, 444.2
05:42.1, 442.4, 441.5
05:44.1, 443.0, 441.9
05:46.1, 445.1, 446.0
05:48.1, 444.7, 442.9
05:50.1, 443.2, 443.3
05:52.1, 444.4, 447.8
05:54.1, 446.3, 448.7
05:56.1, 447.6, 445.6
05:58.1, 450.2, 451.9
06:00.1, 450.5, 449.1
06:02.1, 450.0, 449.1
06:04.1, 449.0, 447.4
06:06.1, 451.9, 456.8
06:08.1, 457.8, 454.6
06:10.1, 456.7, 457.7
06:12.1, 452.9, 447.8
06:14.1, 450.0, 452.8
06:16.1, 455.4, 455.9
06:18.1, 459.1, 459.9
06:20.1, 459.9, 459.9
06:22.1, 460.1, 459.1
