Ethiopia Sidamo
Run #13,T_amb=70.0
elapsed, t_avg(10), t_bean
00:00.1, 68.0, 67.5
00:02.1, 71.2, 72.5
00:04.1, 81.7, 84.7
00:06.1, 96.8, 108.0
00:08.1, 109.4, 116.2
00:10.1, 122.0, 121.1
00:12.1, 133.3, 137.3
00:14.1, 139.2, 144.9
00:16.1, 149.5, 154.4
00:18.1, 159.1, 163.4
00:20.1, 173.6, 173.8
00:22.1, 169.8, 172.4
00:24.1, 178.3, 180.5
00:26.1, 184.7, 191.3
00:28.1, 193.1, 197.6
00:30.1, 196.5, 201.7
00:32.1, 207.2, 207.9
00:34.1, 211.1, 212.9
00:36.1, 217.4, 223.2
00:38.1, 225.1, 230.9
00:40.1, 230.0, 231.3
00:42.1, 234.0, 235.4
00:44.1, 238.6, 238.6
00:46.1, 244.5, 249.3
00:48.1, 254.3, 252.5
00:50.1, 253.9, 250.7
00:52.1, 258.3, 262.9
00:54.1, 261.9, 261.9
00:56.1, 268.5, 268.7
00:58.1, 271.2, 269.6
01:00.1, 275.2, 277.2
01:02.1, 276.2, 277.7
01:04.1, 280.9, 281.8
01:06.1, 282.3, 279.9
01:08.1, 284.6, 286.2
01:10.1, 288.9, 295.2
01:12.1, 293.4, 292.6
01:14.1, 293.9, 293.0
01:16.1, 298.8, 301.1
01:18.1, 300.8, 299.8
01:20.1, 301.6, 305.1
01:22.1, 305.1, 303.8
01:24.1, 308.3, 309.2
01:26.1, 310.3, 308.8
01:28.1, 314.2, 313.2
01:30.1, 317.5, 319.6
01:32.1, 319.4, 320.0
01:34.1, 320.9, 323.1
01:36.1, 322.7, 322.7
01:38.1, 325.7, 329.4
01:40.1, 330.7, 337.6
01:42.1, 337.7, 338.9
01:44.1, 337.4, 342.9
01:46.1, 339.1, 343.4
01:48.1, 339.0, 340.2
01:50.1, 342.4, 343.4
01:52.1, 344.9, 348.8
01:54.1, 346.1, 347.4
01:56.1, 346.9, 347.4
01:58.1, 350.9, 350.6
02:00.1, 354.2, 355.6
02:02.1, 358.3, 362.3
02:04.1, 361.0, 363.2
02:06.1, 359.0, 358.7
02:08.1, 364.2, 363.2
02:10.1, 370.7, 373.1
02:12.1, 370.6, 374.4
02:14.1, 375.5, 374.0
02:16.1, 375.9, 380.3
02:18.1, 372.5, 370.9
02:20.1, 372.9, 372.6
02:22.1, 373.8, 376.7
02:24.1, 379.1, 378.5
02:26.1, 377.2, 380.8
02:28.1, 379.1, 380.8
02:30.1, 381.7, 388.4
02:32.1, 389.0, 389.8
02:34.1, 382.3, 380.3
02:36.1, 381.2, 383.0
02:38.1, 382.3, 379.9
02:40.1, 382.8, 384.4
02:42.1, 381.9, 379.4
02:44.1, 381.1, 382.1
02:46.1, 383.0, 383.0
02:48.1, 382.3, 381.6
02:50.1, 386.4, 387.1
02:52.1, 387.8, 387.5
02:54.1, 388.4, 397.9
02:56.1, 392.9, 391.6
02:58.1, 387.9, 387.9
03:00.1, 387.1, 390.6
03:02.1, 392.5, 393.8
03:04.1, 390.7, 392.4
03:06.1, 390.4, 389.8
03:08.1, 393.0, 395.1
03:10.1, 400.8, 399.2
03:12.1, 398.4, 397.9
03:14.1, 399.7, 398.3
03:16.1, 399.0, 398.8
03:18.1, 398.0, 398.3
03:20.1, 399.0, 397.4
03:22.1, 398.3, 399.2
03:24.1, 400.0, 397.9
03:26.1, 397.7, 399.2
03:28.1, 400.2, 399.6
03:30.1, 399.7, 401.9
03:32.1, 402.0, 401.4
03:34.1, 401.1, 402.8
03:36.1, 406.2, 405.1
03:38.1, 406.4, 404.6
03:40.1, 406.1, 407.8
03:42.1, 406.2, 404.6
03:44.1, 407.1, 409.1
03:46.1, 409.6, 407.3
03:48.1, 408.2, 408.6
03:50.1, 406.5, 405.9
03:52.1, 408.4, 410.4
03:54.1, 409.6, 414.5
03:56.1, 411.8, 412.7
03:58.1, 411.9, 413.1
04:00.1, 413.1, 411.4
04:02.1, 413.7, 414.5
04:04.1, 414.3, 416.8
04:06.1, 414.0, 413.1
04:08.1, 417.4, 428.0
04:10.1, 418.5, 419.0
04:12.1, 419.4, 417.6
04:14.1, 419.7, 418.1
04:16.1, 418.8, 422.6
04:18.1, 420.8, 427.1
04:20.1, 421.7, 418.6
04:22.1, 421.8, 422.6
04:24.1, 423.3, 422.1
04:26.1, 423.7, 424.4
04:28.1, 424.2, 422.1
04:30.1, 426.0, 424.9
04:32.1, 428.4, 426.6
04:34.1, 426.4, 425.3
04:36.1, 424.0, 428.0
04:38.1, 425.9, 428.4
04:40.1, 426.4, 425.8
04:42.1, 426.1, 425.8
04:44.1, 425.0, 428.0
04:46.1, 428.6, 427.6
04:48.1, 430.1, 431.6
04:50.1, 431.4, 433.9
04:52.1, 433.9, 434.8
04:54.1, 435.6, 436.6
04:56.1, 436.9, 435.2
04:58.1, 437.2, 438.4
05:00.1, 438.5, 441.5
05:02.1, 442.9, 442.4
05:04.1, 440.0, 441.1
05:06.1, 439.9, 443.3
05:08.1, 442.7, 443.3
05:10.1, 444.2, 440.6
05:12.1, 444.2, 442.9
05:14.1, 445.2, 441.5
05:16.1, 443.1, 442.9
05:18.1, 442.2, 440.6
05:20.1, 444.0, 444.6
05:22.1, 444.7, 440.1
05:24.1, 446.4, 445.1
05:26.1, 445.2, 442.9
05:28.1, 443.1, 444.2
05:30.1, 447.8, 445.1
05:32.1, 447.2, 450.1
05:34.1, 451.3, 451.9
05:36.1, 452.4, 454.6
05:38.1, 454.2, 453.6
05:40.1, 455.9, 455.4
05:42.1, 458.2, 457.2
05:44.1, 458.2, 460.9
05:46.1, 458.2, 456.4
05:48.1, 456.6, 462.6
05:50.1, 455.0, 456.8
05:52.1, 454.9, 453.6
05:54.1, 456.8, 460.4
