Ethiopia Sidamo
Run #35,T_amb=75.5
elapsed, t_avg(15), t_bean
00:00.1, 67.9, 66.7
00:02.1, 73.2, 85.5
00:04.1, 106.6, 116.2
00:06.1, 129.5, 135.5
00:08.1, 151.4, 160.7
00:10.1, 163.3, 169.7
00:12.1, 173.9, 177.8
00:14.1, 181.1, 184.6
00:16.1, 183.0, 189.1
00:18.1, 188.1, 186.8
00:20.1, 193.2, 193.1
00:22.1, 200.1, 199.4
00:24.1, 199.5, 209.8
00:26.1, 206.4, 205.2
00:28.1, 210.6, 215.2
00:30.1, 210.5, 207.9
00:32.1, 215.2, 224.6
00:34.1, 217.1, 211.6
00:36.1, 219.9, 222.3
00:38.1, 218.0, 216.5
00:40.1, 226.7, 228.2
00:42.1, 226.4, 230.0
00:44.1, 234.8, 237.2
00:46.1, 240.9, 237.2
00:48.1, 239.5, 248.0
00:50.1, 249.5, 249.8
00:52.1, 250.9, 243.1
00:54.1, 248.4, 251.2
00:56.1, 253.7, 254.3
00:58.1, 263.9, 266.9
01:00.1, 262.7, 257.4
01:02.1, 262.0, 269.1
01:04.1, 270.7, 276.4
01:06.1, 274.6, 276.4
01:08.1, 279.1, 281.3
01:10.1, 286.3, 286.7
01:12.1, 291.5, 293.0
01:14.1, 293.2, 299.8
01:16.1, 298.1, 297.9
01:18.1, 298.9, 289.9
01:20.1, 292.7, 297.9
01:22.1, 294.9, 295.7
01:24.1, 302.7, 306.9
01:26.1, 303.4, 303.4
01:28.1, 308.0, 308.3
01:30.1, 309.5, 310.1
01:32.1, 312.7, 313.7
01:34.1, 311.2, 310.6
01:36.1, 314.3, 315.1
01:38.1, 317.2, 319.6
01:40.1, 321.6, 324.9
01:42.1, 327.4, 322.7
01:44.1, 324.0, 329.4
01:46.1, 330.8, 330.4
01:48.1, 330.9, 333.1
01:50.1, 334.4, 337.1
01:52.1, 336.3, 334.4
01:54.1, 336.6, 333.5
01:56.1, 334.7, 336.2
01:58.1, 338.1, 343.4
02:00.1, 340.4, 341.6
02:02.1, 343.0, 339.8
02:04.1, 342.9, 338.4
02:06.1, 342.3, 344.3
02:08.1, 346.5, 346.6
02:10.1, 351.1, 350.1
02:12.1, 349.9, 350.6
02:14.1, 351.1, 355.1
02:16.1, 354.5, 351.1
02:18.1, 356.0, 357.4
02:20.1, 356.0, 359.6
02:22.1, 360.3, 360.9
02:24.1, 357.5, 356.0
02:26.1, 356.8, 358.2
02:28.1, 360.3, 363.6
02:30.1, 361.7, 362.8
02:32.1, 362.2, 360.9
02:34.1, 362.3, 359.1
02:36.1, 362.0, 363.2
02:38.1, 366.4, 368.1
02:40.1, 365.8, 366.4
02:42.1, 366.3, 369.5
02:44.1, 365.4, 365.4
02:46.1, 368.4, 367.2
02:48.1, 369.2, 370.9
02:50.1, 372.9, 375.8
02:52.1, 377.4, 376.2
02:54.1, 373.9, 371.8
02:56.1, 375.5, 374.4
02:58.1, 379.1, 378.5
03:00.1, 378.5, 379.9
03:02.1, 380.1, 381.6
03:04.1, 378.3, 378.1
03:06.1, 379.9, 382.6
03:08.1, 383.5, 384.8
03:10.1, 382.8, 382.6
03:12.1, 380.0, 378.9
03:14.1, 381.8, 382.1
03:16.1, 384.1, 385.7
03:18.1, 381.9, 383.0
03:20.1, 387.4, 386.1
03:22.1, 390.9, 389.8
03:24.1, 388.8, 389.8
03:26.1, 387.9, 385.2
03:28.1, 387.5, 389.3
03:30.1, 383.5, 386.1
03:32.1, 387.9, 391.6
03:34.1, 388.1, 388.4
03:36.1, 391.1, 396.1
03:38.1, 395.1, 390.2
03:40.1, 392.9, 392.0
03:42.1, 394.0, 394.7
03:44.1, 393.3, 390.2
03:46.1, 395.3, 396.5
03:48.1, 398.2, 399.2
03:50.1, 397.7, 394.2
03:52.1, 397.3, 399.2
03:54.1, 398.1, 402.8
03:56.1, 397.7, 395.6
03:58.1, 400.8, 405.1
04:00.1, 399.9, 397.9
04:02.1, 401.2, 404.1
04:04.1, 402.8, 402.4
04:06.1, 402.2, 405.9
04:08.1, 406.1, 407.3
