Ethiopia Sidamo
Run #17,T_amb=72.7
elapsed, t_avg(15), t_bean
00:00.1, 68.0, 67.5
00:02.1, 67.5, 68.0
00:04.1, 75.6, 84.7
00:06.1, 94.3, 104.5
00:08.1, 111.7, 117.0
00:10.1, 128.4, 133.7
00:12.1, 136.8, 147.2
00:14.1, 150.3, 149.9
00:16.1, 157.0, 161.6
00:18.1, 164.1, 165.7
00:20.1, 173.3, 175.1
00:22.1, 180.9, 182.8
00:24.1, 188.1, 189.1
00:26.1, 193.1, 198.9
00:28.1, 202.0, 204.3
00:30.1, 209.5, 210.2
00:32.1, 213.8, 216.1
00:34.1, 217.8, 221.9
00:36.1, 225.0, 225.5
00:38.1, 231.1, 230.9
00:40.1, 234.1, 239.0
00:42.1, 240.8, 241.7
00:44.1, 244.2, 244.8
00:46.1, 248.8, 251.2
00:48.1, 255.2, 257.4
00:50.1, 261.6, 261.9
00:52.1, 264.8, 266.4
00:54.1, 267.9, 266.0
00:56.1, 272.9, 276.4
00:58.1, 275.1, 278.1
01:00.1, 276.5, 275.9
01:02.1, 279.4, 280.9
01:04.1, 282.3, 286.2
01:06.1, 286.7, 288.9
01:08.1, 289.0, 288.5
01:10.1, 292.1, 293.9
01:12.1, 295.0, 293.9
01:14.1, 297.6, 300.2
01:16.1, 302.2, 303.8
01:18.1, 303.6, 306.1
01:20.1, 304.6, 302.9
01:22.1, 308.1, 312.8
01:24.1, 313.5, 315.1
01:26.1, 318.1, 317.3
01:28.1, 318.4, 317.8
01:30.1, 320.3, 323.6
01:32.1, 323.8, 328.6
01:34.1, 326.8, 323.6
01:36.1, 327.5, 332.1
01:38.1, 329.2, 330.8
01:40.1, 333.0, 336.2
01:42.1, 334.6, 331.2
01:44.1, 335.0, 337.1
01:46.1, 337.6, 337.6
01:48.1, 337.8, 337.1
01:50.1, 338.4, 340.2
01:52.1, 339.9, 345.2
01:54.1, 340.9, 342.5
01:56.1, 343.6, 343.4
01:58.1, 342.1, 342.1
02:00.1, 344.9, 347.4
02:02.1, 346.7, 349.2
02:04.1, 347.4, 347.9
02:06.1, 351.9, 354.2
02:08.1, 355.0, 354.6
02:10.1, 355.2, 352.9
02:12.1, 355.2, 355.6
02:14.1, 355.6, 360.1
02:16.1, 359.0, 357.4
02:18.1, 359.8, 360.1
02:20.1, 360.2, 361.4
02:22.1, 360.5, 361.4
02:24.1, 361.5, 364.1
02:26.1, 368.5, 367.7
02:28.1, 369.3, 368.6
02:30.1, 370.0, 367.7
02:32.1, 372.0, 370.4
02:34.1, 374.7, 373.6
02:36.1, 376.6, 378.5
02:38.1, 377.3, 376.2
02:40.1, 378.1, 382.1
02:42.1, 379.5, 381.6
02:44.1, 380.3, 381.2
02:46.1, 381.5, 383.0
02:48.1, 380.4, 378.1
02:50.1, 379.0, 381.2
02:52.1, 381.5, 383.0
02:54.1, 383.9, 387.9
02:56.1, 384.4, 389.8
02:58.1, 386.5, 383.0
03:00.1, 387.1, 387.9
03:02.1, 387.0, 387.5
03:04.1, 385.3, 386.1
03:06.1, 387.4, 386.6
03:08.1, 387.8, 387.9
03:10.1, 386.8, 386.6
03:12.1, 390.3, 395.6
03:14.1, 394.9, 394.2
03:16.1, 395.6, 394.7
03:18.1, 397.7, 398.3
03:20.1, 397.8, 397.9
03:22.1, 398.7, 401.0
03:24.1, 400.6, 399.2
03:26.1, 402.1, 404.1
03:28.1, 402.5, 399.6
03:30.1, 399.6, 403.7
03:32.1, 402.0, 401.9
03:34.1, 405.5, 407.3
03:36.1, 407.4, 408.2
03:38.1, 409.3, 409.6
03:40.1, 411.5, 410.4
03:42.1, 408.5, 405.5
03:44.1, 406.6, 408.6
03:46.1, 409.3, 410.0
03:48.1, 409.7, 408.6
03:50.1, 408.3, 404.1
03:52.1, 410.0, 411.8
03:54.1, 412.6, 414.9
03:56.1, 414.6, 414.5
03:58.1, 416.0, 417.2
04:00.1, 415.9, 416.3
04:02.1, 419.0, 423.5
04:04.1, 420.7, 419.0
04:06.1, 421.0, 423.1
04:08.1, 423.4, 420.4
04:10.1, 423.7, 427.1
04:12.1, 424.5, 425.3
04:14.1, 424.1, 423.9
04:16.1, 425.3, 428.0
04:18.1, 427.3, 427.1
04:20.1, 428.7, 430.7
04:22.1, 428.5, 429.4
04:24.1, 432.5, 432.5
04:26.1, 432.8, 433.9
04:28.1, 434.9, 431.1
04:30.1, 433.8, 433.9
04:32.1, 434.8, 434.3
04:34.1, 438.0, 440.6
04:36.1, 439.3, 437.0
04:38.1, 439.4, 444.6
04:40.1, 443.1, 443.3
04:42.1, 441.3, 443.8
04:44.1, 443.5, 443.8
04:46.1, 444.2, 443.3
04:48.1, 444.9, 444.2
04:50.1, 447.6, 446.9
04:52.1, 445.9, 445.1
04:54.1, 447.5, 446.0
04:56.1, 450.4, 450.5
04:58.1, 454.8, 459.1
05:00.1, 456.3, 459.1
05:02.1, 455.1, 453.6
05:04.1, 452.8, 450.1
05:06.1, 447.2, 446.0
05:08.1, 444.9, 443.8
05:10.1, 442.4, 438.8
05:12.1, 439.5, 440.6
05:14.1, 441.5, 441.5
05:16.1, 442.9, 445.6
05:18.1, 443.7, 441.1
05:20.1, 445.0, 441.5
05:22.1, 449.0, 450.1
05:24.1, 452.0, 452.3
05:26.1, 453.7, 452.3
05:28.1, 456.7, 458.1
05:30.1, 456.3, 455.0
05:32.1, 456.9, 454.6
05:34.1, 457.4, 458.6
05:36.1, 461.4, 464.4
05:38.1, 464.8, 464.4
05:40.1, 466.0, 463.1
05:42.1, 464.5, 467.1
05:44.1, 468.1, 469.9
05:46.1, 471.0, 475.7
05:48.1, 467.9, 462.6
05:50.1, 461.8, 440.1
05:52.1, 418.9, 411.4
05:54.1, 401.8, 394.7
05:56.1, 388.3, 385.2
05:58.1, 366.6, 349.7
06:00.1, 337.7, 328.6
06:02.1, 316.5, 307.4
06:04.1, 296.9, 293.0
06:06.1, 283.3,
