Ethiopia Sidamo
Run #30,T_amb=74.6
elapsed, t_avg(15), t_bean
00:00.1, 68.5, 74.8
00:02.1, 77.8, 89.2
00:04.1, 104.0, 107.2
00:06.1, 121.3, 148.6
00:08.1, 146.6, 137.3
00:10.1, 156.1, 149.0
00:12.1, 154.8, 153.9
00:14.1, 161.7, 157.1
00:16.1, 172.8, 183.7
00:18.1, 178.4, 181.4
00:20.1, 178.9, 196.7
00:22.1, 190.9, 194.9
00:24.1, 201.2, 206.6
00:26.1, 220.5, 225.9
00:28.1, 236.6, 236.8
00:30.1, 232.6, 232.7
00:32.1, 234.6, 237.7
00:34.1, 241.7, 245.3
00:36.1, 250.2, 255.7
00:38.1, 251.3, 254.8
00:40.1, 258.4, 257.9
00:42.1, 258.2, 263.8
00:44.1, 264.9, 266.0
00:46.1, 274.4, 279.9
00:48.1, 279.4, 283.6
00:50.1, 281.5, 272.3
00:52.1, 277.5, 278.6
00:54.1, 279.0, 277.2
00:56.1, 278.8, 274.6
00:58.1, 283.5, 286.2
01:00.1, 287.0, 284.9
01:02.1, 289.0, 295.7
01:04.1, 295.5, 295.7
01:06.1, 302.5, 304.7
01:08.1, 306.9, 312.8
01:10.1, 308.3, 314.1
01:12.1, 312.6, 316.4
01:14.1, 312.9, 315.9
01:16.1, 316.9, 325.4
01:18.1, 321.4, 315.5
01:20.1, 317.2, 311.4
01:22.1, 303.5, 300.6
01:24.1, 309.2, 312.8
01:26.1, 312.8, 315.9
01:28.1, 319.7, 321.4
01:30.1, 314.9, 312.4
01:32.1, 318.3, 323.1
01:34.1, 324.3, 331.7
01:36.1, 321.2, 316.9
01:38.1, 319.4, 326.8
01:40.1, 326.4, 327.6
01:42.1, 328.7, 329.4
01:44.1, 330.4, 330.4
01:46.1, 337.8, 334.9
01:48.1, 334.5, 338.0
01:50.1, 338.5, 340.2
01:52.1, 339.4, 341.6
01:54.1, 345.1, 335.8
01:56.1, 334.7, 332.6
01:58.1, 336.2, 338.0
02:00.1, 345.0, 348.8
02:02.1, 347.0, 350.6
02:04.1, 352.9, 350.1
02:06.1, 355.4, 356.0
02:08.1, 354.1, 353.3
02:10.1, 350.7, 352.4
02:12.1, 350.3, 353.3
02:14.1, 356.7, 353.8
02:16.1, 354.6, 355.1
02:18.1, 353.8, 357.4
02:20.1, 359.1, 362.8
02:22.1, 362.7, 357.4
02:24.1, 362.9, 359.1
02:26.1, 360.3, 355.6
02:28.1, 361.6, 364.1
02:30.1, 365.2, 364.6
02:32.1, 369.4, 367.7
02:34.1, 367.5, 362.8
02:36.1, 362.4, 365.9
02:38.1, 366.1, 370.4
02:40.1, 369.2, 372.6
02:42.1, 371.2, 369.1
02:44.1, 374.7, 376.7
02:46.1, 379.5, 374.0
02:48.1, 370.1, 372.2
02:50.1, 372.2, 372.2
02:52.1, 376.2, 377.6
02:54.1, 381.3, 380.3
02:56.1, 387.7, 387.9
02:58.1, 384.1, 378.5
03:00.1, 375.4, 374.9
03:02.1, 378.6, 380.8
03:04.1, 380.7, 379.9
03:06.1, 382.6, 388.9
03:08.1, 384.0, 374.0
03:10.1, 378.4, 379.4
03:12.1, 383.7, 388.9
03:14.1, 389.6, 394.2
03:16.1, 385.9, 380.8
03:18.1, 382.0, 385.2
03:20.1, 385.5, 387.1
03:22.1, 389.6, 384.8
03:24.1, 382.5, 382.6
03:26.1, 388.9, 392.0
03:28.1, 389.8, 388.9
03:30.1, 392.1, 398.8
03:32.1, 394.6, 397.9
03:34.1, 396.8, 398.8
03:36.1, 402.9, 402.8
03:38.1, 403.1, 404.1
03:40.1, 404.0, 406.4
03:42.1, 405.8, 405.5
03:44.1, 401.7, 401.0
03:46.1, 399.0, 396.9
03:48.1, 402.1, 404.6
03:50.1, 403.0, 401.4
03:52.1, 402.1, 405.5
03:54.1, 405.7, 405.9
03:56.1, 407.6, 410.4
03:58.1, 407.8, 411.8
04:00.1, 413.0, 413.6
04:02.1, 414.7, 416.3
04:04.1, 415.5, 417.2
04:06.1, 415.7, 417.2
04:08.1, 416.6, 419.4
04:10.1, 418.3, 418.6
04:12.1, 420.4, 420.4
04:14.1, 417.7, 420.8
04:16.1, 419.4, 420.4
04:18.1, 421.6, 422.6
04:20.1, 420.8, 421.2
04:22.1, 423.7, 424.4
04:24.1, 427.1, 433.4
04:26.1, 426.0, 422.1
04:28.1, 426.4, 428.9
04:30.1, 428.0, 423.9
04:32.1, 429.2, 428.4
04:34.1, 429.4, 427.1
04:36.1, 430.1, 429.4
04:38.1, 431.0, 431.1
04:40.1, 432.0, 435.2
04:42.1, 430.9, 435.2
04:44.1, 432.7, 431.1
04:46.1, 431.7, 427.6
04:48.1, 431.7, 431.1
04:50.1, 433.1, 437.0
04:52.1, 438.4, 441.9
04:54.1, 438.9, 436.6
04:56.1, 436.6, 435.6
04:58.1, 436.9, 433.9
05:00.1, 436.7, 436.1
05:02.1, 439.2, 438.8
05:04.1, 440.5, 441.9
05:06.1, 442.6, 441.9
05:08.1, 446.3, 447.4
05:10.1, 446.0, 441.1
05:12.1, 447.6, 444.6
05:14.1, 445.0, 442.4
05:16.1, 444.7, 444.2
05:18.1, 447.1, 451.9
05:20.1, 447.0, 446.4
05:22.1, 445.4, 443.8
05:24.1, 448.3, 450.5
05:26.1, 447.7, 445.1
05:28.1, 446.4, 446.4
05:30.1, 449.7, 450.1
05:32.1, 448.2, 449.1
05:34.1, 450.9, 448.7
05:36.1, 451.7, 454.1
05:38.1, 448.5, 450.9
05:40.1, 453.6, 457.7
05:42.1, 455.8, 460.9
05:44.1, 459.1, 462.2
05:46.1, 459.7, 459.1
05:48.1, 456.1, 453.6
05:50.1, 454.7, 455.0
05:52.1, 458.6, 457.7
05:54.1, 460.3, 456.8
05:56.1, 463.3, 462.6
05:58.1, 461.3, 457.2
06:00.1, 459.7, 460.4
06:02.1, 460.8, 461.3
06:04.1, 463.9, 464.0
06:06.1, 462.5, 464.4
06:08.1, 464.6, 467.1
06:10.1, 463.2, 459.1
06:12.1, 462.3, 464.9
06:14.1, 467.6, 472.1
06:16.1, 466.1, 469.9
06:18.1, 471.2, 466.2
06:20.1, 447.6, 433.9
06:22.1, 411.8, 390.6
