Ethiopia Sidamo
Run #32,T_amb=74.4
elapsed, t_avg(15), t_bean
00:00.1, 68.3, 72.5
00:02.1, 74.3, 81.5
00:04.1, 82.9, 84.7
00:06.1, 107.7, 123.3
00:08.1, 118.7, 119.3
00:10.1, 121.2, 122.9
00:12.1, 135.4, 132.8
00:14.1, 140.9, 151.7
00:16.1, 151.1, 164.3
00:18.1, 157.9, 160.7
00:20.1, 165.1, 164.8
00:22.1, 170.9, 171.9
00:24.1, 178.4, 180.1
00:26.1, 189.3, 189.9
00:28.1, 195.5, 205.7
00:30.1, 204.3, 211.6
00:32.1, 210.6, 212.9
00:34.1, 218.8, 230.0
00:36.1, 224.6, 224.6
00:38.1, 226.1, 229.1
00:40.1, 230.0, 230.0
00:42.1, 233.3, 239.9
00:44.1, 237.5, 241.7
00:46.1, 245.8, 241.2
00:48.1, 247.3, 249.3
00:50.1, 254.7, 251.6
00:52.1, 252.7, 254.3
00:54.1, 260.2, 263.8
00:56.1, 265.5, 264.6
00:58.1, 265.4, 265.6
01:00.1, 266.4, 266.0
01:02.1, 269.7, 270.5
01:04.1, 273.6, 275.4
01:06.1, 277.7, 281.3
01:08.1, 286.5, 291.2
01:10.1, 287.6, 287.1
01:12.1, 286.2, 287.1
01:14.1, 288.6, 290.3
01:16.1, 297.0, 300.2
01:18.1, 301.2, 305.1
01:20.1, 306.1, 306.9
01:22.1, 306.6, 308.8
01:24.1, 312.3, 312.8
01:26.1, 314.0, 312.4
01:28.1, 318.7, 321.8
01:30.1, 320.5, 320.4
01:32.1, 321.6, 320.0
01:34.1, 318.9, 320.4
01:36.1, 321.6, 325.4
01:38.1, 325.9, 327.2
01:40.1, 325.4, 324.9
01:42.1, 327.3, 325.9
01:44.1, 327.6, 328.1
01:46.1, 331.4, 333.5
01:48.1, 333.8, 335.8
01:50.1, 337.9, 338.9
01:52.1, 339.4, 344.8
01:54.1, 344.1, 343.4
01:56.1, 343.7, 347.9
01:58.1, 345.0, 344.3
02:00.1, 345.6, 349.7
02:02.1, 349.3, 347.9
02:04.1, 351.2, 347.0
02:06.1, 354.0, 356.9
02:08.1, 355.3, 357.4
02:10.1, 356.9, 356.4
02:12.1, 358.4, 356.4
02:14.1, 361.3, 360.9
02:16.1, 359.8, 359.1
02:18.1, 363.6, 364.1
02:20.1, 362.0, 366.8
02:22.1, 363.0, 363.2
02:24.1, 364.4, 364.6
02:26.1, 365.8, 365.0
02:28.1, 370.2, 371.3
02:30.1, 372.6, 372.6
02:32.1, 374.4, 374.0
02:34.1, 376.0, 374.4
02:36.1, 370.6, 368.6
02:38.1, 370.1, 368.6
02:40.1, 365.9, 365.9
02:42.1, 365.4, 366.4
02:44.1, 367.9, 373.1
02:46.1, 371.5, 372.6
02:48.1, 374.7, 376.2
02:50.1, 376.8, 373.6
02:52.1, 374.8, 373.1
02:54.1, 376.7, 378.1
02:56.1, 378.1, 378.1
02:58.1, 378.2, 380.8
03:00.1, 382.3, 380.3
03:02.1, 378.4, 376.7
03:04.1, 374.4, 379.4
03:06.1, 380.0, 387.9
03:08.1, 386.8, 388.9
03:10.1, 388.6, 387.5
03:12.1, 393.2, 397.9
03:14.1, 395.1, 399.6
03:16.1, 398.3, 398.8
03:18.1, 398.2, 396.9
03:20.1, 398.7, 399.2
03:22.1, 397.5, 399.6
03:24.1, 399.5, 402.8
03:26.1, 397.3, 396.5
03:28.1, 399.5, 397.4
03:30.1, 398.2, 395.1
03:32.1, 398.9, 401.0
03:34.1, 400.8, 399.6
03:36.1, 404.3, 405.9
03:38.1, 404.9, 403.7
03:40.1, 403.3, 404.1
03:42.1, 406.5, 413.1
03:44.1, 406.0, 404.1
03:46.1, 408.4, 410.9
03:48.1, 410.0, 412.7
03:50.1, 410.0, 408.2
03:52.1, 408.2, 404.1
03:54.1, 408.8, 408.6
03:56.1, 409.6, 412.2
03:58.1, 413.4, 414.5
04:00.1, 414.7, 419.4
04:02.1, 415.5, 414.5
04:04.1, 415.6, 415.4
04:06.1, 416.8, 417.6
04:08.1, 417.5, 419.4
04:10.1, 421.4, 423.9
04:12.1, 419.1, 418.1
04:14.1, 419.2, 419.4
04:16.1, 420.5, 418.6
04:18.1, 420.0, 419.9
04:20.1, 424.5, 424.4
04:22.1, 425.1, 426.2
04:24.1, 428.3, 423.5
04:26.1, 429.5, 431.6
04:28.1, 429.4, 429.8
04:30.1, 426.1, 428.9
04:32.1, 429.1, 430.2
04:34.1, 430.9, 431.6
04:36.1, 431.0, 434.3
04:38.1, 433.2, 432.9
04:40.1, 431.0, 428.9
04:42.1, 431.1, 433.9
04:44.1, 433.4, 431.6
04:46.1, 436.9, 437.0
04:48.1, 436.1, 434.8
04:50.1, 432.9, 435.2
04:52.1, 433.5, 434.8
04:54.1, 435.6, 434.3
04:56.1, 438.0, 439.2
04:58.1, 441.2, 442.4
05:00.1, 442.8, 441.9
05:02.1, 444.0, 445.6
05:04.1, 448.0, 448.7
05:06.1, 446.5, 442.9
05:08.1, 449.0, 452.3
05:10.1, 448.9, 448.2
05:12.1, 450.2, 450.9
05:14.1, 452.3, 448.7
05:16.1, 449.4, 449.1
05:18.1, 452.6, 456.8
05:20.1, 452.0, 450.5
05:22.1, 452.1, 452.8
05:24.1, 455.9, 458.1
05:26.1, 454.8, 455.4
05:28.1, 458.7, 460.9
05:30.1, 459.0, 458.6
05:32.1, 457.5, 457.2
05:34.1, 459.9, 460.4
05:36.1, 459.0, 461.8
05:38.1, 459.4, 455.9
05:40.1, 459.1, 462.2
05:42.1, 462.8, 460.9
05:44.1, 466.8, 466.7
05:46.1, 466.5, 464.4
05:48.1, 463.9, 461.3
05:50.1, 464.5, 466.2
05:52.1, 464.7, 464.9
05:54.1, 466.5, 470.8
05:56.1, 466.3, 465.8
05:58.1, 468.4, 473.0
06:00.1, 467.4, 468.5
06:02.1, 467.8, 469.4
06:04.1, 445.5, 374.0
