Ethiopia Sidamo,,,,,,
Run #18,T_amb=71.7,,,,,
elapsed, t_avg(15), t_bean,,,,
05:10,427.7,424.4,Err:502,,,
05:12,422.3,420.4,Err:502,,,
05:14,427.1,429.8,Err:502,,,
05:16,430.6,431.6,Err:502,,,
05:18,432.8,432.5,Err:502,,,
05:20,431.5,415.4,Err:502,,,
05:22,434.4,437,Err:502,,,
05:24,433.9,437,Err:502,,,
05:26,432.4,429.8,Err:502,,,
05:28,434.5,436.1,Err:502,,,
05:30,436.3,437,Err:502,,,
05:32,433.6,437.4,Err:502,,,
05:34,438.6,438.4,Err:502,,,
05:36,439.1,440.6,Err:502,,,
05:38,438.4,440.1,Err:502,,,
05:40,441.1,441.1,Err:502,,,
05:42,439.9,432.1,Err:502,,,
05:44,433.4,439.2,Err:502,,,
05:46,441.5,440.1,Err:502,,,
05:48,441.9,442.4,Err:502,,,
05:50,443.8,445.1,Err:502,,,
05:52,444.1,445.6,Err:502,,,
05:54,445.3,447.8,Err:502,,,
05:56,446,444.2,Err:502,,,
05:58,444.2,427.1,Err:502,,,
06:00,445,445.6,Err:502,,,
06:02,447.1,447.4,Err:502,,,
06:04,445.7,443.3,Err:502,,,
06:06,443.8,442.4,Err:502,,,
06:08,446.3,450.5,Err:502,,,
06:10,450,451.4,Err:502,,,
06:12,452.2,450.1,Err:502,,,
06:14,451.6,451.4,Err:502,,,
06:16,450.7,451.4,Err:502,,,
06:18,452.8,451.4,Err:502,,,
06:20,452.1,452.3,Err:502,,,
06:22,452.1,454.1,Err:502,,,
06:24,455.2,455.4,Err:502,,,
06:26,454.1,454.6,Err:502,,,
06:28,456,454.1,Err:502,,,
06:30,455.6,457.2,Err:502,,,
06:32,457,457.7,Err:502,,,
06:34,456.7,456.4,Err:502,,,
06:36,458,457.7,Err:502,,,
06:38,459,459.9,Err:502,,,
06:40,460.5,461.3,Err:502,,,
06:42,460,459.5,Err:502,,,
06:44,459.8,462.6,Err:502,,,
06:46,461.9,462.2,Err:502,,,
06:48,461.5,459.9,Err:502,,,
