Ethiopia Sidamo
Run #15,T_amb=70.5
elapsed, t_avg(15), t_bean
00:00.1, 68.0, 68.0
00:02.1, 70.1, 73.0
00:04.1, 80.4, 84.2
00:06.1, 90.2, 89.6
00:08.1, 92.5, 96.3
00:10.1, 103.2, 105.8
00:12.1, 110.8, 116.6
00:14.1, 123.1, 131.9
00:16.1, 134.6, 136.4
00:18.1, 141.7, 144.1
00:20.1, 149.7, 153.5
00:22.1, 158.8, 157.1
00:24.1, 164.5, 167.0
00:26.1, 171.7, 179.6
00:28.1, 180.4, 180.5
00:30.1, 186.2, 191.3
00:32.1, 192.6, 197.6
00:34.1, 198.4, 202.6
00:36.1, 209.2, 210.7
00:38.1, 214.7, 215.6
00:40.1, 222.6, 225.1
00:42.1, 226.1, 227.3
00:44.1, 233.0, 233.6
00:46.1, 240.2, 244.4
00:48.1, 243.1, 242.6
00:50.1, 248.1, 248.4
00:52.1, 253.8, 256.6
00:54.1, 257.0, 257.4
00:56.1, 261.5, 262.4
00:58.1, 261.8, 266.4
01:00.1, 269.0, 272.3
01:02.1, 273.5, 274.1
01:04.1, 278.7, 280.4
01:06.1, 279.6, 279.5
01:08.1, 279.4, 281.8
01:10.1, 284.8, 288.5
01:12.1, 287.8, 288.9
01:14.1, 290.9, 293.0
01:16.1, 295.6, 294.8
01:18.1, 296.8, 296.1
01:20.1, 298.5, 301.1
01:22.1, 302.2, 305.6
01:24.1, 306.4, 311.0
01:26.1, 307.7, 307.9
01:28.1, 310.3, 311.0
01:30.1, 311.8, 313.7
01:32.1, 317.0, 317.8
01:34.1, 319.1, 321.8
01:36.1, 320.6, 321.4
01:38.1, 323.5, 324.9
01:40.1, 329.0, 330.4
01:42.1, 329.0, 327.6
01:44.1, 331.6, 333.9
01:46.1, 334.9, 334.4
01:48.1, 336.7, 337.1
01:50.1, 336.3, 336.6
01:52.1, 336.0, 338.4
01:54.1, 337.0, 337.1
01:56.1, 342.8, 344.8
01:58.1, 345.7, 346.6
02:00.1, 345.8, 347.4
02:02.1, 349.5, 351.5
02:04.1, 351.9, 352.9
02:06.1, 356.0, 356.4
02:08.1, 355.8, 357.4
02:10.1, 360.6, 364.6
02:12.1, 362.8, 361.9
02:14.1, 365.0, 365.0
02:16.1, 365.0, 364.1
02:18.1, 366.9, 365.9
02:20.1, 366.4, 371.8
02:22.1, 367.7, 365.4
02:24.1, 371.4, 374.4
02:26.1, 372.8, 368.6
02:28.1, 374.7, 378.1
02:30.1, 381.0, 387.1
02:32.1, 383.2, 381.6
02:34.1, 382.2, 381.6
02:36.1, 378.6, 377.1
02:38.1, 375.5, 371.8
02:40.1, 374.7, 378.1
02:42.1, 377.8, 378.5
02:44.1, 380.8, 380.3
02:46.1, 386.1, 392.4
02:48.1, 386.8, 385.7
02:50.1, 388.0, 387.9
02:52.1, 390.9, 395.1
02:54.1, 390.0, 388.9
02:56.1, 390.5, 390.6
02:58.1, 391.9, 394.2
03:00.1, 395.4, 394.2
03:02.1, 395.0, 398.3
03:04.1, 399.1, 396.1
03:06.1, 398.8, 397.4
03:08.1, 401.5, 408.2
03:10.1, 403.9, 402.8
03:12.1, 403.7, 403.7
03:14.1, 403.7, 402.8
03:16.1, 402.2, 409.6
03:18.1, 406.8, 412.7
03:20.1, 407.4, 402.4
03:22.1, 408.9, 410.0
03:24.1, 413.0, 415.4
03:26.1, 413.2, 410.0
03:28.1, 411.5, 405.5
03:30.1, 412.6, 410.9
03:32.1, 413.9, 414.5
03:34.1, 409.8, 409.6
03:36.1, 408.4, 410.9
03:38.1, 409.6, 413.1
03:40.1, 411.9, 413.1
03:42.1, 411.6, 413.6
03:44.1, 413.8, 412.7
03:46.1, 413.0, 414.5
03:48.1, 415.1, 414.9
03:50.1, 415.2, 414.5
03:52.1, 413.8, 414.1
03:54.1, 416.1, 415.9
03:56.1, 416.3, 419.4
03:58.1, 415.6, 416.8
04:00.1, 415.3, 415.4
04:02.1, 418.1, 416.3
04:04.1, 420.4, 420.4
04:06.1, 420.7, 421.7
04:08.1, 423.5, 423.9
04:10.1, 424.0, 423.5
04:12.1, 425.3, 427.6
04:14.1, 428.0, 429.8
04:16.1, 427.5, 428.4
04:18.1, 428.0, 429.4
04:20.1, 428.3, 430.2
04:22.1, 430.9, 433.4
04:24.1, 435.8, 441.1
04:26.1, 436.9, 435.6
04:28.1, 434.8, 434.8
04:30.1, 433.5, 431.6
04:32.1, 435.1, 433.9
04:34.1, 435.0, 433.4
04:36.1, 433.1, 431.1
04:38.1, 433.5, 433.4
04:40.1, 435.4, 436.6
04:42.1, 439.1, 438.4
04:44.1, 438.5, 434.3
04:46.1, 437.1, 437.9
04:48.1, 436.5, 438.4
04:50.1, 437.3, 436.1
04:52.1, 434.5, 433.4
04:54.1, 436.0, 436.6
04:56.1, 438.0, 442.4
04:58.1, 439.6, 440.1
05:00.1, 441.5, 446.0
05:02.1, 444.3, 446.4
05:04.1, 447.3, 449.1
05:06.1, 450.7, 448.7
05:08.1, 451.4, 454.6
05:10.1, 452.9, 456.4
05:12.1, 455.5, 450.9
05:14.1, 452.9, 451.9
05:16.1, 448.6, 447.8
05:18.1, 449.7, 448.2
05:20.1, 449.2, 453.6
05:22.1, 454.1, 458.6
05:24.1, 452.5, 452.3
05:26.1, 453.8, 460.4
05:28.1, 457.4, 458.1
05:30.1, 458.9, 462.2
05:32.1, 455.0, 453.2
05:34.1, 456.5, 460.4
05:36.1, 455.0, 452.8
05:38.1, 452.7, 455.0
05:40.1, 459.0, 455.9
05:42.1, 456.7, 457.2
05:44.1, 454.8, 455.0
05:46.1, 454.6, 455.4
05:48.1, 456.8, 457.2
05:50.1, 455.2, 455.9
05:52.1, 458.7, 455.0
05:54.1, 454.9, 453.2
05:56.1, 455.0, 457.2
05:58.1, 460.8, 457.2
06:00.1, 464.8, 464.4
06:02.1, 463.8, 464.9
06:04.1, 463.1, 462.6
06:06.1, 469.2, 469.9
06:08.1, 474.1, 472.6
06:10.1, 469.5, 469.4
06:12.1, 463.2, 451.9
06:14.1, 437.1, 426.2
06:16.1, 417.0, 407.8
06:18.1, 393.7, 382.6
06:20.1, 378.1, 374.4
06:22.1, 367.0, 363.6
